tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
AAPL,2021,1,2021/01/27 17:00:00.000,,,118.0,0.049,6.0,291.0
AAPL,2021,1,2021/01/27 17:00:01.000,,,,,19.0,2068.0
AAPL,2021,1,2021/01/27 17:00:02.000,,,,,8.0,432.0
AAPL,2021,1,2021/01/27 17:00:03.000,,,,,24.0,3261.0
AAPL,2021,1,2021/01/27 17:00:04.000,,,,,2.0,50.0
AAPL,2021,1,2021/01/27 17:00:05.000,,,,,1.0,100.0
AAPL,2021,1,2021/01/27 17:00:06.000,,,,,5.0,28.0
AAPL,2021,1,2021/01/27 17:00:07.000,,,,,3.0,46.0
AAPL,2021,1,2021/01/27 17:00:08.000,,,,,2.0,27.0
AAPL,2021,1,2021/01/27 17:00:09.000,,,,,9.0,869.0
AAPL,2021,1,2021/01/27 17:00:10.000,,,,,3.0,273.0
AAPL,2021,1,2021/01/27 17:00:11.000,,,,,13.0,1047.0
AAPL,2021,1,2021/01/27 17:00:12.000,,,,,3.0,32.0
AAPL,2021,1,2021/01/27 17:00:13.000,,,,,7.0,636.0
AAPL,2021,1,2021/01/27 17:00:14.000,,,,,8.0,308.0
AAPL,2021,1,2021/01/27 17:00:15.000,,,,,9.0,689.0
AAPL,2021,1,2021/01/27 17:00:16.000,,,,,2.0,150.0
AAPL,2021,1,2021/01/27 17:00:17.000,,,,,7.0,292.0
AAPL,2021,1,2021/01/27 17:00:18.000,,,,,4.0,18.0
AAPL,2021,1,2021/01/27 17:00:19.000,,,,,3.0,39.0
AAPL,2021,1,2021/01/27 17:00:20.000,,,,,7.0,240.0
AAPL,2021,1,2021/01/27 17:00:21.000,,,,,8.0,1066.0
AAPL,2021,1,2021/01/27 17:00:22.000,,,,,5.0,315.0
AAPL,2021,1,2021/01/27 17:00:23.000,,,,,5.0,31.0
AAPL,2021,1,2021/01/27 17:00:24.000,,,,,2.0,26.0
AAPL,2021,1,2021/01/27 17:00:25.000,,,,,6.0,402.0
AAPL,2021,1,2021/01/27 17:00:26.000,,,,,8.0,1105.0
AAPL,2021,1,2021/01/27 17:00:27.000,,,,,1.0,1.0
AAPL,2021,1,2021/01/27 17:00:28.000,,,,,4.0,15.0
AAPL,2021,1,2021/01/27 17:00:29.000,,,,,6.0,97.0
AAPL,2021,1,2021/01/27 17:00:29.470,0.0,-0.333,,,,
AAPL,2021,1,2021/01/27 17:00:30.000,,,,,4.0,24.0
AAPL,2021,1,2021/01/27 17:00:31.000,,,,,6.0,121.0
AAPL,2021,1,2021/01/27 17:00:33.000,,,,,11.0,306.0
AAPL,2021,1,2021/01/27 17:00:34.000,,,,,16.0,1551.0
AAPL,2021,1,2021/01/27 17:00:35.000,,,,,10.0,619.0
AAPL,2021,1,2021/01/27 17:00:35.200,0.0,-0.959,,,,
AAPL,2021,1,2021/01/27 17:00:36.000,,,,,16.0,1302.0
AAPL,2021,1,2021/01/27 17:00:37.000,,,,,3.0,9.0
AAPL,2021,1,2021/01/27 17:00:38.000,,,,,6.0,220.0
AAPL,2021,1,2021/01/27 17:00:39.000,,,,,4.0,150.0
AAPL,2021,1,2021/01/27 17:00:40.000,,,,,1.0,2.0
AAPL,2021,1,2021/01/27 17:00:41.000,,,,,3.0,81.0
AAPL,2021,1,2021/01/27 17:00:42.000,,,,,8.0,1631.0
AAPL,2021,1,2021/01/27 17:00:43.000,,,,,5.0,204.0
AAPL,2021,1,2021/01/27 17:00:44.000,,,,,8.0,512.0
AAPL,2021,1,2021/01/27 17:00:44.688,0.0,-0.964,,,,
AAPL,2021,1,2021/01/27 17:00:45.000,,,,,2.0,6.0
AAPL,2021,1,2021/01/27 17:00:46.000,,,,,14.0,1020.0
AAPL,2021,1,2021/01/27 17:00:47.000,,,,,11.0,269.0
AAPL,2021,1,2021/01/27 17:00:48.000,,,,,8.0,606.0
AAPL,2021,1,2021/01/27 17:00:49.000,,,,,7.0,264.0
AAPL,2021,1,2021/01/27 17:00:50.000,,,,,5.0,101.0
AAPL,2021,1,2021/01/27 17:00:51.000,,,,,3.0,4.0
AAPL,2021,1,2021/01/27 17:00:52.000,,,,,2.0,104.0
AAPL,2021,1,2021/01/27 17:00:53.000,,,,,15.0,1220.0
AAPL,2021,1,2021/01/27 17:00:54.000,,,,,3.0,1104.0
AAPL,2021,1,2021/01/27 17:00:54.378,0.0,0.0,,,,
AAPL,2021,1,2021/01/27 17:00:55.000,,,,,10.0,208.0
AAPL,2021,1,2021/01/27 17:00:56.000,,,,,2.0,2.0
AAPL,2021,1,2021/01/27 17:00:57.000,,,,,6.0,461.0
AAPL,2021,1,2021/01/27 17:00:58.000,,,,,5.0,259.0
AAPL,2021,1,2021/01/27 17:00:59.000,,,,,5.0,104.0
AAPL,2021,1,2021/01/27 17:01:00.000,,,130.0,0.072,6.0,127.0
AAPL,2021,1,2021/01/27 17:01:01.000,,,,,5.0,29.0
AAPL,2021,1,2021/01/27 17:01:02.000,,,,,13.0,5702.0
AAPL,2021,1,2021/01/27 17:01:03.000,,,,,2.0,20.0
AAPL,2021,1,2021/01/27 17:01:04.000,,,,,4.0,102.0
AAPL,2021,1,2021/01/27 17:01:05.000,,,,,2.0,100.0
AAPL,2021,1,2021/01/27 17:01:06.000,,,,,13.0,313.0
AAPL,2021,1,2021/01/27 17:01:07.000,,,,,20.0,1631.0
AAPL,2021,1,2021/01/27 17:01:08.000,,,,,4.0,47.0
AAPL,2021,1,2021/01/27 17:01:09.000,,,,,14.0,959.0
AAPL,2021,1,2021/01/27 17:01:10.000,,,,,6.0,225.0
AAPL,2021,1,2021/01/27 17:01:11.000,,,,,10.0,1071.0
AAPL,2021,1,2021/01/27 17:01:12.000,,,,,4.0,110.0
AAPL,2021,1,2021/01/27 17:01:13.000,,,,,7.0,469.0
AAPL,2021,1,2021/01/27 17:01:14.000,,,,,3.0,101.0
AAPL,2021,1,2021/01/27 17:01:15.000,,,,,7.0,460.0
AAPL,2021,1,2021/01/27 17:01:16.000,,,,,2.0,10.0
AAPL,2021,1,2021/01/27 17:01:17.000,,,,,9.0,267.0
AAPL,2021,1,2021/01/27 17:01:17.196,0.0,0.0,,,,
AAPL,2021,1,2021/01/27 17:01:18.000,,,,,6.0,402.0
AAPL,2021,1,2021/01/27 17:01:19.000,,,,,1.0,30.0
AAPL,2021,1,2021/01/27 17:01:20.000,,,,,5.0,36.0
AAPL,2021,1,2021/01/27 17:01:21.000,,,,,6.0,415.0
AAPL,2021,1,2021/01/27 17:01:22.000,,,,,3.0,19.0
AAPL,2021,1,2021/01/27 17:01:23.000,,,,,39.0,3814.0
AAPL,2021,1,2021/01/27 17:01:24.000,,,,,14.0,642.0
AAPL,2021,1,2021/01/27 17:01:25.000,,,,,68.0,7877.0
AAPL,2021,1,2021/01/27 17:01:26.000,,,,,17.0,1112.0
AAPL,2021,1,2021/01/27 17:01:27.000,,,,,19.0,3774.0
AAPL,2021,1,2021/01/27 17:01:28.000,,,,,5.0,311.0
AAPL,2021,1,2021/01/27 17:01:29.000,,,,,5.0,224.0
AAPL,2021,1,2021/01/27 17:01:30.000,,,,,185.0,64113.0
AAPL,2021,1,2021/01/27 17:01:31.000,,,,,8.0,481.0
AAPL,2021,1,2021/01/27 17:01:32.000,,,,,38.0,2783.0
AAPL,2021,1,2021/01/27 17:01:33.000,,,,,44.0,3936.0
AAPL,2021,1,2021/01/27 17:01:34.000,,,,,7.0,194.0
AAPL,2021,1,2021/01/27 17:01:35.000,,,,,14.0,533.0
AAPL,2021,1,2021/01/27 17:01:36.000,,,,,3.0,11.0
AAPL,2021,1,2021/01/27 17:01:37.000,,,,,6.0,296.0
AAPL,2021,1,2021/01/27 17:01:37.677,0.001,0.077,,,,
AAPL,2021,1,2021/01/27 17:01:38.000,,,,,6.0,262.0
