tic,year,quarter,ts_min,Timestamp_ET,Timestamp_UTC,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,trade_count,trade_volume,trade_vwap,timestamp_et_full
AVGO,2021,1,2021-03-04 17:00:00,2021-03-04 17:00:15.491247,2021-03-04 22:00:15.491247,0.004,0.0,5,0.649,6.0,310.0,428.0340322580645,2021-03-04 17:00:15.491247-05:00
AVGO,2021,1,2021-03-04 17:00:00,2021-03-04 17:00:16.644726,2021-03-04 22:00:16.644726,0.007,0.0,5,0.649,6.0,310.0,428.0340322580645,2021-03-04 17:00:16.644726-05:00
AVGO,2021,1,2021-03-04 17:07:00,2021-03-04 17:07:12.308512,2021-03-04 22:07:12.308512,0.005,-0.5,8,0.612,48.0,877.0,427.8689395667047,2021-03-04 17:07:12.308512-05:00
AVGO,2021,1,2021-03-04 17:07:00,2021-03-04 17:07:12.308615,2021-03-04 22:07:12.308615,0.005,-0.333,8,0.612,48.0,877.0,427.8689395667047,2021-03-04 17:07:12.308615-05:00
AVGO,2021,1,2021-03-04 17:07:00,2021-03-04 17:07:49.696675,2021-03-04 22:07:49.696675,0.004,0.0,8,0.612,48.0,877.0,427.8689395667047,2021-03-04 17:07:49.696675-05:00
AVGO,2021,1,2021-03-04 17:10:00,2021-03-04 17:10:30.301171,2021-03-04 22:10:30.301171,0.009,-0.579,6,134.72,5.0,11.0,426.69181818181823,2021-03-04 17:10:30.301171-05:00
AVGO,2021,1,2021-03-04 17:10:00,2021-03-04 17:10:43.574187,2021-03-04 22:10:43.574187,0.005,-0.2,6,134.72,5.0,11.0,426.69181818181823,2021-03-04 17:10:43.574187-05:00
AVGO,2021,1,2021-03-04 17:11:00,2021-03-04 17:11:48.528508,2021-03-04 22:11:48.528508,,,6,300.825,17.0,1366.0,426.584326500732,2021-03-04 17:11:48.528508-05:00
AVGO,2021,1,2021-03-04 17:12:00,2021-03-04 17:12:27.513222,2021-03-04 22:12:27.513222,0.008,0.0,5,0.88,15.0,81.0,425.6414197530864,2021-03-04 17:12:27.513221999-05:00
AVGO,2021,1,2021-03-04 17:13:00,2021-03-04 17:13:49.609291,2021-03-04 22:13:49.609291,0.007,-0.333,4,172.585,53.0,1243.0,429.9669629927595,2021-03-04 17:13:49.609291-05:00
AVGO,2021,1,2021-03-04 17:14:00,2021-03-04 17:14:17.731914,2021-03-04 22:14:17.731914,0.008,0.0,4,0.791,17.0,1887.0,425.78162692103865,2021-03-04 17:14:17.731914-05:00
AVGO,2021,1,2021-03-04 17:18:00,2021-03-04 17:18:12.585493,2021-03-04 22:18:12.585493,0.004,-0.5,30,1.539,45.0,4395.0,429.4335836177474,2021-03-04 17:18:12.585493-05:00
AVGO,2021,1,2021-03-04 17:18:00,2021-03-04 17:18:23.915516,2021-03-04 22:18:23.915516,0.004,-0.5,30,1.539,45.0,4395.0,429.4335836177474,2021-03-04 17:18:23.915516-05:00
AVGO,2021,1,2021-03-04 17:18:00,2021-03-04 17:18:37.526482,2021-03-04 22:18:37.526482,0.01,-0.5,30,1.539,45.0,4395.0,429.4335836177474,2021-03-04 17:18:37.526482-05:00
AVGO,2021,1,2021-03-04 17:18:00,2021-03-04 17:18:37.528625,2021-03-04 22:18:37.528625,0.011,0.0,30,1.539,45.0,4395.0,429.4335836177474,2021-03-04 17:18:37.528625-05:00
AVGO,2021,1,2021-03-04 17:19:00,2021-03-04 17:19:20.290134,2021-03-04 22:19:20.290134,0.016,0.0,10,13.659,11.0,1282.0,430.0454056162246,2021-03-04 17:19:20.290134-05:00
AVGO,2021,1,2021-03-04 17:20:00,2021-03-04 17:20:21.083700,2021-03-04 22:20:21.083700,0.009,0.0,4,303.152,13.0,147.0,429.9578231292517,2021-03-04 17:20:21.083700-05:00
AVGO,2021,1,2021-03-04 17:25:00,2021-03-04 17:25:08.825711,2021-03-04 22:25:08.825711,0.005,0.0,6,0.408,9.0,166.0,430.2583132530121,2021-03-04 17:25:08.825711-05:00
AVGO,2021,1,2021-03-04 17:26:00,2021-03-04 17:26:01.511590,2021-03-04 22:26:01.511590,0.008,-0.5,7,10.574,10.0,36.0,430.863611111111,2021-03-04 17:26:01.511590-05:00
AVGO,2021,1,2021-03-04 17:26:00,2021-03-04 17:26:26.971196,2021-03-04 22:26:26.971196,0.009,0.0,7,10.574,10.0,36.0,430.863611111111,2021-03-04 17:26:26.971196-05:00
AVGO,2021,1,2021-03-04 17:26:00,2021-03-04 17:26:57.632619,2021-03-04 22:26:57.632619,0.009,0.333,7,10.574,10.0,36.0,430.863611111111,2021-03-04 17:26:57.632619-05:00
AVGO,2021,1,2021-03-04 17:29:00,2021-03-04 17:29:58.927865,2021-03-04 22:29:58.927865,0.009,0.2,7,1.917,24.0,2453.0,433.0514716673461,2021-03-04 17:29:58.927865-05:00
AVGO,2021,1,2021-03-04 17:30:00,2021-03-04 17:30:02.979725,2021-03-04 22:30:02.979725,0.009,-0.333,23,131.475,36.0,1445.0,435.0441038062284,2021-03-04 17:30:02.979725-05:00
AVGO,2021,1,2021-03-04 17:30:00,2021-03-04 17:30:08.480665,2021-03-04 22:30:08.480665,0.002,-0.333,23,131.475,36.0,1445.0,435.0441038062284,2021-03-04 17:30:08.480665-05:00
AVGO,2021,1,2021-03-04 17:30:00,2021-03-04 17:30:27.705396,2021-03-04 22:30:27.705396,0.003,0.0,23,131.475,36.0,1445.0,435.0441038062284,2021-03-04 17:30:27.705396-05:00
AVGO,2021,1,2021-03-04 17:30:00,2021-03-04 17:30:27.705506,2021-03-04 22:30:27.705506,0.004,0.333,23,131.475,36.0,1445.0,435.0441038062284,2021-03-04 17:30:27.705506-05:00
AVGO,2021,1,2021-03-04 17:30:00,2021-03-04 17:30:28.091320,2021-03-04 22:30:28.091320,,,23,131.475,36.0,1445.0,435.0441038062284,2021-03-04 17:30:28.091320-05:00
AVGO,2021,1,2021-03-04 17:31:00,2021-03-04 17:31:20.643643,2021-03-04 22:31:20.643643,0.007,0.0,11,4.979,53.0,2750.0,438.6098254545456,2021-03-04 17:31:20.643643-05:00
AVGO,2021,1,2021-03-04 17:32:00,2021-03-04 17:32:40.968104,2021-03-04 22:32:40.968104,0.014,0.0,10,172.803,42.0,3259.0,439.6594507517643,2021-03-04 17:32:40.968104-05:00
AVGO,2021,1,2021-03-04 17:33:00,2021-03-04 17:33:17.714596,2021-03-04 22:33:17.714596,0.025,0.0,17,104.973,33.0,1390.0,438.704654676259,2021-03-04 17:33:17.714596-05:00
AVGO,2021,1,2021-03-04 17:33:00,2021-03-04 17:33:38.728701,2021-03-04 22:33:38.728701,0.008,0.333,17,104.973,33.0,1390.0,438.704654676259,2021-03-04 17:33:38.728701-05:00
AVGO,2021,1,2021-03-04 17:33:00,2021-03-04 17:33:39.068600,2021-03-04 22:33:39.068600,0.009,0.6,17,104.973,33.0,1390.0,438.704654676259,2021-03-04 17:33:39.068600-05:00
AVGO,2021,1,2021-03-04 17:33:00,2021-03-04 17:33:46.070332,2021-03-04 22:33:46.070332,0.009,0.0,17,104.973,33.0,1390.0,438.704654676259,2021-03-04 17:33:46.070332-05:00
AVGO,2021,1,2021-03-04 17:34:00,2021-03-04 17:34:46.942621,2021-03-04 22:34:46.942621,2.0,-1.0,6,86.454,28.0,1167.0,437.6246615252785,2021-03-04 17:34:46.942621-05:00
AVGO,2021,1,2021-03-04 17:35:00,2021-03-04 17:35:53.046625,2021-03-04 22:35:53.046625,0.007,0.0,6,85.887,12.0,226.0,437.9676991150442,2021-03-04 17:35:53.046625-05:00
AVGO,2021,1,2021-03-04 17:36:00,2021-03-04 17:36:35.499958,2021-03-04 22:36:35.499958,0.007,0.2,11,4.553,11.0,525.0,437.83704761904767,2021-03-04 17:36:35.499958-05:00
AVGO,2021,1,2021-03-04 17:37:00,2021-03-04 17:37:37.929834,2021-03-04 22:37:37.929834,0.038,-0.333,6,5.832,8.0,2184.0,438.81570512820514,2021-03-04 17:37:37.929834-05:00
AVGO,2021,1,2021-03-04 17:38:00,2021-03-04 17:38:14.977051,2021-03-04 22:38:14.977051,0.027,-0.5,21,2.983,25.0,1842.0,439.0618431053204,2021-03-04 17:38:14.977051-05:00
AVGO,2021,1,2021-03-04 17:38:00,2021-03-04 17:38:37.800534,2021-03-04 22:38:37.800534,0.009,-0.333,21,2.983,25.0,1842.0,439.0618431053204,2021-03-04 17:38:37.800534-05:00
AVGO,2021,1,2021-03-04 17:38:00,2021-03-04 17:38:44.593538,2021-03-04 22:38:44.593538,0.008,-0.333,21,2.983,25.0,1842.0,439.0618431053204,2021-03-04 17:38:44.593538-05:00
AVGO,2021,1,2021-03-04 17:42:00,2021-03-04 17:42:51.583439,2021-03-04 22:42:51.583439,0.01,0.0,6,10.76,3.0,8.0,438.245,2021-03-04 17:42:51.583439-05:00
AVGO,2021,2,2021-06-03 17:45:00,2021-06-03 17:45:32.428579,2021-06-03 21:45:32.428579,2.0,-1.0,3,133.33,16.0,468.0,464.043311965812,2021-06-03 17:45:32.428579-04:00
AVGO,2021,2,2021-06-03 17:46:00,2021-06-03 17:46:08.152663,2021-06-03 21:46:08.152663,0.003,-0.333,3,268.523,1.0,11.0,464.0,2021-06-03 17:46:08.152663-04:00
AVGO,2021,3,2021-09-02 17:01:00,2021-09-02 17:01:08.371764,2021-09-02 21:01:08.371764,0.005,0.0,7,0.694,12.0,1150.0,487.9555217391304,2021-09-02 17:01:08.371764-04:00
AVGO,2021,3,2021-09-02 17:05:00,2021-09-02 17:05:59.881693,2021-09-02 21:05:59.881693,0.008,0.0,5,173.153,17.0,1181.0,488.3932514817951,2021-09-02 17:05:59.881693-04:00
AVGO,2021,3,2021-09-02 17:06:00,2021-09-02 17:06:00.058165,2021-09-02 21:06:00.058165,0.004,0.0,31,133.446,31.0,1220.0,488.40797131147536,2021-09-02 17:06:00.058165-04:00
AVGO,2021,3,2021-09-02 17:06:00,2021-09-02 17:06:31.972226,2021-09-02 21:06:31.972226,0.006,0.0,31,133.446,31.0,1220.0,488.40797131147536,2021-09-02 17:06:31.972226-04:00
AVGO,2021,3,2021-09-02 17:06:00,2021-09-02 17:06:31.972933,2021-09-02 21:06:31.972933,0.006,0.0,31,133.446,31.0,1220.0,488.40797131147536,2021-09-02 17:06:31.972933-04:00
AVGO,2021,3,2021-09-02 17:06:00,2021-09-02 17:06:38.462964,2021-09-02 21:06:38.462964,0.002,0.333,31,133.446,31.0,1220.0,488.40797131147536,2021-09-02 17:06:38.462964-04:00
AVGO,2021,3,2021-09-02 17:08:00,2021-09-02 17:08:26.795532,2021-09-02 21:08:26.795532,0.001,0.667,3,140.608,11.0,495.0,487.84858585858575,2021-09-02 17:08:26.795532-04:00
AVGO,2021,3,2021-09-02 17:16:00,2021-09-02 17:16:20.674471,2021-09-02 21:16:20.674471,0.003,0.714,4,0.149,8.0,215.0,487.9846046511628,2021-09-02 17:16:20.674471-04:00
AVGO,2021,3,2021-09-02 17:18:00,2021-09-02 17:18:02.199226,2021-09-02 21:18:02.199226,0.001,0.667,3,0.012,8.0,164.0,487.9519085365853,2021-09-02 17:18:02.199226-04:00
AVGO,2021,3,2021-09-02 17:19:00,2021-09-02 17:19:06.636776,2021-09-02 21:19:06.636776,0.002,-0.333,3,241.523,13.0,668.0,487.9895958083832,2021-09-02 17:19:06.636776-04:00
AVGO,2021,3,2021-09-02 17:21:00,2021-09-02 17:21:32.888533,2021-09-02 21:21:32.888533,0.003,0.333,17,136.73,20.0,905.0,488.0236740331492,2021-09-02 17:21:32.888533-04:00
AVGO,2021,3,2021-09-02 17:21:00,2021-09-02 17:21:35.203803,2021-09-02 21:21:35.203803,0.014,0.0,17,136.73,20.0,905.0,488.0236740331492,2021-09-02 17:21:35.203803-04:00
AVGO,2021,3,2021-09-02 17:21:00,2021-09-02 17:21:59.531209,2021-09-02 21:21:59.531209,-2.0,1.0,17,136.73,20.0,905.0,488.0236740331492,2021-09-02 17:21:59.531209-04:00
AVGO,2021,3,2021-09-02 17:22:00,2021-09-02 17:22:44.583642,2021-09-02 21:22:44.583642,0.003,0.0,6,239.937,10.0,16.0,488.74375,2021-09-02 17:22:44.583642-04:00
AVGO,2021,3,2021-09-02 17:22:00,2021-09-02 17:22:52.451229,2021-09-02 21:22:52.451229,0.003,-0.333,6,239.937,10.0,16.0,488.74375,2021-09-02 17:22:52.451229-04:00
AVGO,2021,3,2021-09-02 17:23:00,2021-09-02 17:23:25.533806,2021-09-02 21:23:25.533806,0.013,0.0,12,146.202,27.0,1055.0,489.3610426540285,2021-09-02 17:23:25.533806-04:00
AVGO,2021,3,2021-09-02 17:23:00,2021-09-02 17:23:26.637511,2021-09-02 21:23:26.637511,0.014,0.333,12,146.202,27.0,1055.0,489.3610426540285,2021-09-02 17:23:26.637511-04:00
AVGO,2021,3,2021-09-02 17:23:00,2021-09-02 17:23:26.639546,2021-09-02 21:23:26.639546,0.013,0.0,12,146.202,27.0,1055.0,489.3610426540285,2021-09-02 17:23:26.639546-04:00
AVGO,2021,3,2021-09-02 17:24:00,2021-09-02 17:24:01.006094,2021-09-02 21:24:01.006094,0.014,0.0,9,1.517,29.0,1243.0,489.7864038616252,2021-09-02 17:24:01.006094-04:00
AVGO,2021,3,2021-09-02 17:25:00,2021-09-02 17:25:19.170279,2021-09-02 21:25:19.170279,0.003,-0.818,17,0.785,43.0,1413.0,490.8046072186836,2021-09-02 17:25:19.170279-04:00
AVGO,2021,3,2021-09-02 17:25:00,2021-09-02 17:25:27.683039,2021-09-02 21:25:27.683039,0.003,-0.818,17,0.785,43.0,1413.0,490.8046072186836,2021-09-02 17:25:27.683039-04:00
AVGO,2021,3,2021-09-02 17:25:00,2021-09-02 17:25:31.260575,2021-09-02 21:25:31.260575,0.01,0.333,17,0.785,43.0,1413.0,490.8046072186836,2021-09-02 17:25:31.260575-04:00
AVGO,2021,3,2021-09-02 17:25:00,2021-09-02 17:25:54.419211,2021-09-02 21:25:54.419211,0.008,-0.2,17,0.785,43.0,1413.0,490.8046072186836,2021-09-02 17:25:54.419211-04:00
AVGO,2021,3,2021-09-02 17:27:00,2021-09-02 17:27:56.617770,2021-09-02 21:27:56.617770,0.008,0.455,2,1.899,31.0,545.0,490.0187155963303,2021-09-02 17:27:56.617770-04:00
AVGO,2021,3,2021-09-02 17:44:00,2021-09-02 17:44:00.190850,2021-09-02 21:44:00.190850,0.006,0.333,3,1.024,5.0,440.0,490.8656136363636,2021-09-02 17:44:00.190850-04:00
AVGO,2021,3,2021-09-02 17:45:00,2021-09-02 17:45:32.698323,2021-09-02 21:45:32.698323,0.003,0.0,4,0.099,8.0,207.0,490.5627053140096,2021-09-02 17:45:32.698323-04:00
AVGO,2021,3,2021-09-02 17:46:00,2021-09-02 17:46:49.360628,2021-09-02 21:46:49.360628,0.003,0.333,1,,7.0,112.0,490.6836607142856,2021-09-02 17:46:49.360628-04:00
AVGO,2021,4,2021-12-09 17:00:00,2021-12-09 17:00:31.061309,2021-12-09 22:00:31.061309,0.003,0.2,1,,3.0,16.0,617.73,2021-12-09 17:00:31.061309-05:00
AVGO,2021,4,2021-12-09 17:01:00,2021-12-09 17:01:20.803471,2021-12-09 22:01:20.803471,0.005,-0.857,15,0.64,62.0,1618.0,618.7075587144623,2021-12-09 17:01:20.803471-05:00
AVGO,2021,4,2021-12-09 17:01:00,2021-12-09 17:01:20.803560,2021-12-09 22:01:20.803560,0.003,-0.733,15,0.64,62.0,1618.0,618.7075587144623,2021-12-09 17:01:20.803560-05:00
AVGO,2021,4,2021-12-09 17:01:00,2021-12-09 17:01:37.356934,2021-12-09 22:01:37.356934,0.003,-0.846,15,0.64,62.0,1618.0,618.7075587144623,2021-12-09 17:01:37.356934-05:00
AVGO,2021,4,2021-12-09 17:02:00,2021-12-09 17:02:13.939937,2021-12-09 22:02:13.939937,0.003,0.0,11,0.501,96.0,4468.0,619.9280841539838,2021-12-09 17:02:13.939937-05:00
AVGO,2021,4,2021-12-09 17:02:00,2021-12-09 17:02:31.887538,2021-12-09 22:02:31.887538,0.003,0.333,11,0.501,96.0,4468.0,619.9280841539838,2021-12-09 17:02:31.887538-05:00
AVGO,2021,4,2021-12-09 17:02:00,2021-12-09 17:02:38.468265,2021-12-09 22:02:38.468265,0.002,0.0,11,0.501,96.0,4468.0,619.9280841539838,2021-12-09 17:02:38.468265-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:03.202988,2021-12-09 22:03:03.202988,0.003,0.333,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:03.202988-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:10.446433,2021-12-09 22:03:10.446433,0.003,0.333,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:10.446433-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:24.086302,2021-12-09 22:03:24.086302,0.007,0.0,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:24.086302-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:24.086324,2021-12-09 22:03:24.086324,0.01,-0.714,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:24.086324-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:24.086356,2021-12-09 22:03:24.086356,0.01,-0.714,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:24.086356-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:25.965454,2021-12-09 22:03:25.965454,0.008,0.0,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:25.965454-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:55.660490,2021-12-09 22:03:55.660490,0.005,0.0,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:55.660490-05:00
AVGO,2021,4,2021-12-09 17:04:00,2021-12-09 17:04:38.235255,2021-12-09 22:04:38.235255,0.002,0.333,13,1.246,60.0,2105.0,622.1155795724466,2021-12-09 17:04:38.235255-05:00
AVGO,2021,4,2021-12-09 17:05:00,2021-12-09 17:05:13.327457,2021-12-09 22:05:13.327457,0.004,0.0,16,0.896,61.0,2532.0,622.5165896524486,2021-12-09 17:05:13.327457-05:00
AVGO,2021,4,2021-12-09 17:05:00,2021-12-09 17:05:45.360906,2021-12-09 22:05:45.360906,0.001,0.0,16,0.896,61.0,2532.0,622.5165896524486,2021-12-09 17:05:45.360906-05:00
