tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
CPA,2021,1,2021/05/06 11:00:00.000,,,30.0,26.31,,
CPA,2021,1,2021/05/06 11:00:09.179,0.002,0.6,,,,
CPA,2021,1,2021/05/06 11:00:09.179,0.003,0.333,,,,
CPA,2021,1,2021/05/06 11:00:09.179,0.006,0.333,,,,
CPA,2021,1,2021/05/06 11:00:09.180,0.004,0.333,,,,
CPA,2021,1,2021/05/06 11:00:09.180,0.006,-0.333,,,,
CPA,2021,1,2021/05/06 11:00:09.180,0.006,0.0,,,,
CPA,2021,1,2021/05/06 11:00:09.181,-2.0,1.0,,,,
CPA,2021,1,2021/05/06 11:00:09.437,-2.0,1.0,,,,
CPA,2021,1,2021/05/06 11:00:10.099,0.004,0.333,,,,
CPA,2021,1,2021/05/06 11:00:10.168,0.003,-0.333,,,,
CPA,2021,1,2021/05/06 11:00:10.250,0.003,0.5,,,,
CPA,2021,1,2021/05/06 11:00:10.252,0.003,0.0,,,,
CPA,2021,1,2021/05/06 11:00:10.252,0.003,0.333,,,,
CPA,2021,1,2021/05/06 11:00:10.253,-2.0,1.0,,,,
CPA,2021,1,2021/05/06 11:00:10.256,0.003,0.0,,,,
CPA,2021,1,2021/05/06 11:00:11.069,-2.0,1.0,,,,
CPA,2021,1,2021/05/06 11:00:11.070,,,,,,
CPA,2021,1,2021/05/06 11:00:12.573,0.003,-0.333,,,,
CPA,2021,1,2021/05/06 11:00:16.660,0.002,0.5,,,,
CPA,2021,1,2021/05/06 11:00:16.660,0.003,0.0,,,,
CPA,2021,1,2021/05/06 11:00:16.661,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:00:16.661,0.002,-0.5,,,,
CPA,2021,1,2021/05/06 11:00:17.168,0.006,0.0,,,,
CPA,2021,1,2021/05/06 11:00:21.170,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:00:30.682,0.004,0.0,,,,
CPA,2021,1,2021/05/06 11:00:30.686,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:00:30.850,0.004,0.333,,,,
CPA,2021,1,2021/05/06 11:00:31.000,,,,,1.0,100.0
CPA,2021,1,2021/05/06 11:00:45.572,0.004,0.0,,,,
CPA,2021,1,2021/05/06 11:00:46.175,0.002,0.5,,,,
CPA,2021,1,2021/05/06 11:00:55.000,,,,,1.0,1.0
CPA,2021,1,2021/05/06 11:00:55.177,2.0,-1.0,,,,
CPA,2021,1,2021/05/06 11:00:57.000,,,,,2.0,103.0
CPA,2021,1,2021/05/06 11:01:00.000,,,30.0,22.745,,
CPA,2021,1,2021/05/06 11:01:00.228,0.002,-0.6,,,,
CPA,2021,1,2021/05/06 11:01:00.363,0.002,-0.75,,,,
CPA,2021,1,2021/05/06 11:01:00.363,0.002,-0.778,,,,
CPA,2021,1,2021/05/06 11:01:00.480,0.002,-0.833,,,,
CPA,2021,1,2021/05/06 11:01:02.000,,,,,16.0,1152.0
CPA,2021,1,2021/05/06 11:01:02.557,0.005,-0.818,,,,
CPA,2021,1,2021/05/06 11:01:02.557,0.003,0.333,,,,
CPA,2021,1,2021/05/06 11:01:02.669,0.002,0.5,,,,
CPA,2021,1,2021/05/06 11:01:11.567,0.005,-0.75,,,,
CPA,2021,1,2021/05/06 11:01:12.304,0.005,-0.6,,,,
CPA,2021,1,2021/05/06 11:01:13.370,0.005,-0.5,,,,
CPA,2021,1,2021/05/06 11:01:15.616,0.007,0.0,,,,
CPA,2021,1,2021/05/06 11:01:15.616,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:01:15.617,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:01:19.925,0.039,-0.6,,,,
CPA,2021,1,2021/05/06 11:01:20.497,0.002,0.5,,,,
CPA,2021,1,2021/05/06 11:01:20.786,0.005,0.714,,,,
CPA,2021,1,2021/05/06 11:01:21.000,,,,,1.0,100.0
CPA,2021,1,2021/05/06 11:01:22.000,,,,,1.0,100.0
CPA,2021,1,2021/05/06 11:01:22.837,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:01:22.838,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:01:23.000,,,,,3.0,100.0
CPA,2021,1,2021/05/06 11:01:23.052,0.002,0.333,,,,
CPA,2021,1,2021/05/06 11:01:26.000,,,,,20.0,1678.0
CPA,2021,1,2021/05/06 11:01:26.221,0.047,0.0,,,,
CPA,2021,1,2021/05/06 11:01:26.222,0.039,-0.333,,,,
CPA,2021,1,2021/05/06 11:01:26.222,0.039,-0.6,,,,
CPA,2021,1,2021/05/06 11:01:26.222,0.039,-0.333,,,,
CPA,2021,1,2021/05/06 11:01:26.222,0.1,0.0,,,,
CPA,2021,1,2021/05/06 11:01:26.222,,,,,,
CPA,2021,1,2021/05/06 11:01:26.222,0.004,-0.333,,,,
CPA,2021,1,2021/05/06 11:01:27.332,0.004,0.333,,,,
CPA,2021,1,2021/05/06 11:01:29.000,,,,,1.0,100.0
CPA,2021,1,2021/05/06 11:01:29.831,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:01:29.831,0.002,0.333,,,,
CPA,2021,1,2021/05/06 11:01:31.000,,,,,3.0,300.0
CPA,2021,1,2021/05/06 11:01:32.000,,,,,1.0,100.0
CPA,2021,1,2021/05/06 11:01:34.000,,,,,1.0,100.0
CPA,2021,1,2021/05/06 11:01:40.000,,,,,1.0,100.0
CPA,2021,1,2021/05/06 11:01:40.181,0.003,0.5,,,,
CPA,2021,1,2021/05/06 11:01:54.000,,,,,1.0,100.0
CPA,2021,1,2021/05/06 11:02:00.000,,,9.0,1.101,1.0,60.0
CPA,2021,1,2021/05/06 11:02:21.381,0.002,0.333,,,,
CPA,2021,1,2021/05/06 11:02:39.000,,,,,15.0,902.0
CPA,2021,1,2021/05/06 11:02:39.015,0.003,0.5,,,,
CPA,2021,1,2021/05/06 11:02:39.015,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:02:39.015,0.049,0.0,,,,
CPA,2021,1,2021/05/06 11:02:39.015,0.01,0.0,,,,
CPA,2021,1,2021/05/06 11:02:39.084,0.106,-0.333,,,,
CPA,2021,1,2021/05/06 11:02:39.089,0.01,0.0,,,,
CPA,2021,1,2021/05/06 11:02:39.090,0.006,0.0,,,,
CPA,2021,1,2021/05/06 11:02:40.000,,,,,1.0,1.0
CPA,2021,1,2021/05/06 11:02:42.017,0.016,0.333,,,,
CPA,2021,1,2021/05/06 11:02:54.000,,,,,1.0,100.0
CPA,2021,1,2021/05/06 11:02:59.000,,,,,1.0,100.0
CPA,2021,1,2021/05/06 11:03:00.000,,,9.0,13.6,,
CPA,2021,1,2021/05/06 11:03:05.980,0.003,0.0,,,,
CPA,2021,1,2021/05/06 11:03:05.988,0.003,-0.333,,,,
CPA,2021,1,2021/05/06 11:03:06.000,,,,,1.0,1.0
CPA,2021,1,2021/05/06 11:03:36.000,,,,,1.0,1.0
CPA,2021,1,2021/05/06 11:03:51.000,,,,,6.0,572.0
CPA,2021,1,2021/05/06 11:03:51.315,0.001,0.0,,,,
CPA,2021,1,2021/05/06 11:03:51.316,0.1,0.0,,,,
CPA,2021,1,2021/05/06 11:03:51.317,0.001,0.0,,,,
CPA,2021,1,2021/05/06 11:03:51.357,0.001,-0.333,,,,
CPA,2021,1,2021/05/06 11:03:51.367,0.069,0.0,,,,
CPA,2021,1,2021/05/06 11:03:51.371,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:03:51.371,2.0,-1.0,,,,
CPA,2021,1,2021/05/06 11:04:00.000,,,28.0,17.43,,
CPA,2021,1,2021/05/06 11:04:06.000,,,,,2.0,193.0
CPA,2021,1,2021/05/06 11:04:21.000,,,,,1.0,1.0
CPA,2021,1,2021/05/06 11:04:22.000,,,,,11.0,941.0
CPA,2021,1,2021/05/06 11:04:22.030,0.001,-0.333,,,,
CPA,2021,1,2021/05/06 11:04:22.030,0.004,-0.333,,,,
CPA,2021,1,2021/05/06 11:04:22.031,0.1,0.0,,,,
CPA,2021,1,2021/05/06 11:04:22.031,0.004,-0.333,,,,
CPA,2021,1,2021/05/06 11:04:22.031,0.006,-0.333,,,,
CPA,2021,1,2021/05/06 11:04:22.031,0.006,-0.5,,,,
CPA,2021,1,2021/05/06 11:04:22.031,0.035,0.0,,,,
CPA,2021,1,2021/05/06 11:04:22.031,0.069,0.0,,,,
CPA,2021,1,2021/05/06 11:04:22.032,0.004,0.0,,,,
CPA,2021,1,2021/05/06 11:04:22.032,0.006,-0.6,,,,
CPA,2021,1,2021/05/06 11:04:22.033,2.0,-1.0,,,,
CPA,2021,1,2021/05/06 11:04:22.041,0.003,0.0,,,,
CPA,2021,1,2021/05/06 11:04:22.530,0.003,-0.333,,,,
CPA,2021,1,2021/05/06 11:04:22.531,0.006,0.0,,,,
CPA,2021,1,2021/05/06 11:04:22.756,0.003,0.0,,,,
CPA,2021,1,2021/05/06 11:04:23.000,,,,,1.0,100.0
CPA,2021,1,2021/05/06 11:04:23.508,0.004,0.0,,,,
CPA,2021,1,2021/05/06 11:04:25.979,2.0,-1.0,,,,
CPA,2021,1,2021/05/06 11:04:27.987,0.003,0.0,,,,
CPA,2021,1,2021/05/06 11:04:36.000,,,,,1.0,1.0
CPA,2021,1,2021/05/06 11:04:36.755,0.035,0.0,,,,
CPA,2021,1,2021/05/06 11:04:36.756,0.069,0.0,,,,
CPA,2021,1,2021/05/06 11:04:39.222,0.003,0.0,,,,
CPA,2021,1,2021/05/06 11:04:41.417,0.003,0.0,,,,
CPA,2021,1,2021/05/06 11:04:57.068,0.004,0.0,,,,
CPA,2021,1,2021/05/06 11:04:57.068,0.004,0.5,,,,
CPA,2021,1,2021/05/06 11:04:57.077,0.003,0.0,,,,
CPA,2021,1,2021/05/06 11:04:59.305,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:04:59.305,0.004,0.333,,,,
CPA,2021,1,2021/05/06 11:04:59.305,0.004,0.5,,,,
CPA,2021,1,2021/05/06 11:05:00.000,,,43.0,12.644,,
CPA,2021,1,2021/05/06 11:05:02.000,,,,,6.0,348.0
CPA,2021,1,2021/05/06 11:05:02.745,0.012,0.0,,,,
CPA,2021,1,2021/05/06 11:05:02.745,0.004,0.0,,,,
CPA,2021,1,2021/05/06 11:05:02.745,0.004,0.0,,,,
CPA,2021,1,2021/05/06 11:05:02.745,0.004,0.0,,,,
CPA,2021,1,2021/05/06 11:05:02.746,0.003,0.333,,,,
CPA,2021,1,2021/05/06 11:05:02.746,0.003,0.333,,,,
CPA,2021,1,2021/05/06 11:05:02.746,0.003,0.5,,,,
CPA,2021,1,2021/05/06 11:05:05.000,,,,,1.0,2.0
CPA,2021,1,2021/05/06 11:05:05.380,0.008,0.0,,,,
CPA,2021,1,2021/05/06 11:05:05.380,0.003,0.333,,,,
CPA,2021,1,2021/05/06 11:05:05.381,0.003,0.5,,,,
CPA,2021,1,2021/05/06 11:05:05.381,0.003,0.333,,,,
CPA,2021,1,2021/05/06 11:05:05.382,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:05:05.383,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:05:05.880,0.009,0.0,,,,
CPA,2021,1,2021/05/06 11:05:07.801,0.003,0.333,,,,
CPA,2021,1,2021/05/06 11:05:07.813,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:05:07.813,0.069,0.0,,,,
CPA,2021,1,2021/05/06 11:05:07.824,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:05:07.824,0.069,0.0,,,,
CPA,2021,1,2021/05/06 11:05:07.834,0.002,0.0,,,,
CPA,2021,1,2021/05/06 11:05:07.839,0.069,0.0,,,,
