tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
JOUT,2021,1,2021/02/05 11:00:48.000,,,,,1.0,1.0
JOUT,2021,1,2021/02/05 11:00:52.000,,,,,1.0,9.0
JOUT,2021,1,2021/02/05 11:01:55.000,,,,,1.0,2.0
JOUT,2021,1,2021/02/05 11:03:00.000,,,4.0,29.86,,
JOUT,2021,1,2021/02/05 11:03:10.000,,,,,1.0,13.0
JOUT,2021,1,2021/02/05 11:03:17.000,,,,,3.0,45.0
JOUT,2021,1,2021/02/05 11:03:17.188,-2.0,1.0,,,,
JOUT,2021,1,2021/02/05 11:03:17.188,-2.0,1.0,,,,
JOUT,2021,1,2021/02/05 11:03:17.189,-2.0,1.0,,,,
JOUT,2021,1,2021/02/05 11:03:17.238,-2.0,1.0,,,,
JOUT,2021,1,2021/02/05 11:03:47.000,,,,,1.0,9.0
JOUT,2021,1,2021/02/05 11:03:53.000,,,,,1.0,3.0
JOUT,2021,1,2021/02/05 11:04:05.000,,,,,1.0,2.0
JOUT,2021,1,2021/02/05 11:05:00.000,,,1.0,,,
JOUT,2021,1,2021/02/05 11:05:14.000,,,,,1.0,2.0
JOUT,2021,1,2021/02/05 11:05:15.000,,,,,1.0,2.0
JOUT,2021,1,2021/02/05 11:05:19.552,0.013,0.333,,,,
JOUT,2021,1,2021/02/05 11:06:29.000,,,,,1.0,9.0
JOUT,2021,1,2021/02/05 11:07:00.000,,,2.0,41.885,,
JOUT,2021,1,2021/02/05 11:07:02.275,0.021,0.0,,,,
JOUT,2021,1,2021/02/05 11:07:40.061,-2.0,1.0,,,,
JOUT,2021,1,2021/02/05 11:08:00.000,,,3.0,34.443,,
JOUT,2021,1,2021/02/05 11:08:13.000,,,,,1.0,50.0
JOUT,2021,1,2021/02/05 11:08:15.000,,,,,1.0,6.0
JOUT,2021,1,2021/02/05 11:08:15.520,0.021,-0.333,,,,
JOUT,2021,1,2021/02/05 11:08:16.000,,,,,1.0,3.0
JOUT,2021,1,2021/02/05 11:08:46.000,,,,,2.0,250.0
JOUT,2021,1,2021/02/05 11:08:46.694,0.021,0.0,,,,
JOUT,2021,1,2021/02/05 11:08:46.913,0.018,0.333,,,,
JOUT,2021,1,2021/02/05 11:08:47.000,,,,,3.0,117.0
JOUT,2021,1,2021/02/05 11:09:20.000,,,,,1.0,6.0
JOUT,2021,1,2021/02/05 11:10:12.000,,,,,3.0,152.0
JOUT,2021,1,2021/02/05 11:10:19.000,,,,,2.0,6.0
JOUT,2021,1,2021/02/05 11:11:21.000,,,,,2.0,6.0
JOUT,2021,1,2021/02/05 11:12:28.000,,,,,2.0,6.0
JOUT,2021,1,2021/02/05 11:12:40.000,,,,,1.0,5.0
JOUT,2021,1,2021/02/05 11:13:20.000,,,,,1.0,3.0
JOUT,2021,1,2021/02/05 11:13:53.000,,,,,1.0,3.0
JOUT,2021,1,2021/02/05 11:14:00.000,,,,,1.0,3.0
JOUT,2021,1,2021/02/05 11:14:28.000,,,,,1.0,1.0
JOUT,2021,1,2021/02/05 11:14:33.000,,,,,1.0,50.0
JOUT,2021,1,2021/02/05 11:14:51.000,,,,,1.0,1.0
JOUT,2021,2,2021/05/07 11:00:00.000,,,7.0,24.927,,
JOUT,2021,2,2021/05/07 11:00:07.014,0.044,0.0,,,,
JOUT,2021,2,2021/05/07 11:00:07.015,0.04,0.0,,,,
JOUT,2021,2,2021/05/07 11:00:07.019,0.048,0.0,,,,
JOUT,2021,2,2021/05/07 11:00:07.553,0.074,0.0,,,,
JOUT,2021,2,2021/05/07 11:00:07.653,0.074,0.0,,,,
JOUT,2021,2,2021/05/07 11:00:08.187,0.074,0.0,,,,
JOUT,2021,2,2021/05/07 11:00:19.725,0.072,0.0,,,,
JOUT,2021,2,2021/05/07 11:01:00.000,,,6.0,43.246,,
JOUT,2021,2,2021/05/07 11:01:20.000,,,,,5.0,450.0
JOUT,2021,2,2021/05/07 11:01:20.954,0.118,0.0,,,,
JOUT,2021,2,2021/05/07 11:01:20.954,2.0,-1.0,,,,
JOUT,2021,2,2021/05/07 11:01:21.031,0.074,0.0,,,,
JOUT,2021,2,2021/05/07 11:01:21.081,0.073,0.0,,,,
