tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
MMS,2021,1,2021/02/04 09:22:14.000,,,,,1.0,6.0
MMS,2021,1,2021/02/04 09:24:00.000,,,1.0,,,
MMS,2021,1,2021/02/04 09:24:10.087,0.267,0.0,,,,
MMS,2021,1,2021/02/04 09:25:00.000,,,2.0,2.56,,
MMS,2021,1,2021/02/04 09:25:02.096,0.312,0.0,,,,
MMS,2021,1,2021/02/04 09:25:59.199,0.267,0.0,,,,
MMS,2021,1,2021/02/04 09:27:00.000,,,2.0,2.086,,
MMS,2021,1,2021/02/04 09:27:30.346,0.312,0.0,,,,
MMS,2021,1,2021/02/04 09:27:30.347,0.167,0.0,,,,
MMS,2021,1,2021/02/04 09:28:00.000,,,1.0,,,
MMS,2021,1,2021/02/04 09:28:11.017,0.291,0.0,,,,
MMS,2021,1,2021/02/04 09:29:00.000,,,12.0,2.718,,
MMS,2021,1,2021/02/04 09:29:52.085,0.053,0.0,,,,
MMS,2021,1,2021/02/04 09:29:52.086,0.102,0.0,,,,
MMS,2021,1,2021/02/04 09:29:52.092,0.077,-0.75,,,,
MMS,2021,1,2021/02/04 09:29:52.281,0.053,0.0,,,,
MMS,2021,1,2021/02/04 09:29:52.282,0.118,-0.75,,,,
MMS,2021,1,2021/02/04 09:29:52.320,0.114,0.0,,,,
MMS,2021,1,2021/02/04 09:29:54.085,0.09,0.0,,,,
MMS,2021,1,2021/02/04 09:29:54.085,0.09,-0.333,,,,
MMS,2021,1,2021/02/04 09:29:54.086,0.069,0.0,,,,
MMS,2021,1,2021/02/04 09:29:54.086,0.118,-0.333,,,,
MMS,2021,1,2021/02/04 09:29:54.119,0.089,-0.333,,,,
MMS,2021,1,2021/02/04 09:29:54.503,0.093,0.75,,,,
MMS,2021,1,2021/02/04 09:30:00.000,,,5.0,0.431,2.0,8294.0
MMS,2021,1,2021/02/04 09:30:00.057,0.101,0.0,,,,
MMS,2021,1,2021/02/04 09:30:00.089,0.134,0.0,,,,
MMS,2021,1,2021/02/04 09:30:00.303,0.121,0.0,,,,
MMS,2021,1,2021/02/04 09:30:00.308,0.14,0.0,,,,
MMS,2021,1,2021/02/04 09:30:06.000,,,,,1.0,100.0
MMS,2021,1,2021/02/04 09:30:12.000,,,,,1.0,100.0
MMS,2021,1,2021/02/04 09:30:14.000,,,,,1.0,100.0
MMS,2021,1,2021/02/04 09:30:15.000,,,,,1.0,100.0
MMS,2021,1,2021/02/04 09:30:15.816,0.028,0.333,,,,
MMS,2021,1,2021/02/04 09:30:16.000,,,,,1.0,100.0
MMS,2021,1,2021/02/04 09:30:46.000,,,,,1.0,65.0
MMS,2021,1,2021/02/04 09:31:00.000,,,6.0,0.957,,
MMS,2021,1,2021/02/04 09:31:27.000,,,,,1.0,64.0
MMS,2021,1,2021/02/04 09:31:50.000,,,,,10.0,207.0
MMS,2021,1,2021/02/04 09:31:50.872,0.018,0.333,,,,
MMS,2021,1,2021/02/04 09:31:50.873,0.051,0.333,,,,
MMS,2021,1,2021/02/04 09:31:50.885,0.038,0.333,,,,
MMS,2021,1,2021/02/04 09:31:50.886,0.059,0.333,,,,
MMS,2021,1,2021/02/04 09:31:51.551,0.036,0.0,,,,
MMS,2021,1,2021/02/04 09:31:51.577,0.051,0.667,,,,
MMS,2021,1,2021/02/04 09:32:05.000,,,,,2.0,209.0
MMS,2021,1,2021/02/04 09:32:07.000,,,,,1.0,42.0
MMS,2021,1,2021/02/04 09:32:19.000,,,,,1.0,25.0
MMS,2021,1,2021/02/04 09:32:20.000,,,,,2.0,3.0
MMS,2021,1,2021/02/04 09:32:22.000,,,,,1.0,50.0
