tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
NX,2021,1,2021/03/05 11:00:00.000,,,29.0,6.537,,
NX,2021,1,2021/03/05 11:00:45.000,,,,,9.0,344.0
NX,2021,1,2021/03/05 11:00:45.382,0.274,0.333,,,,
NX,2021,1,2021/03/05 11:00:45.382,0.274,0.0,,,,
NX,2021,1,2021/03/05 11:00:45.382,0.01,-0.5,,,,
NX,2021,1,2021/03/05 11:00:45.383,0.274,0.333,,,,
NX,2021,1,2021/03/05 11:00:45.383,0.021,0.333,,,,
NX,2021,1,2021/03/05 11:00:45.383,0.016,0.333,,,,
NX,2021,1,2021/03/05 11:00:45.412,0.011,0.5,,,,
NX,2021,1,2021/03/05 11:00:45.581,0.002,0.333,,,,
NX,2021,1,2021/03/05 11:00:45.581,0.009,-0.5,,,,
NX,2021,1,2021/03/05 11:00:45.581,0.004,0.0,,,,
NX,2021,1,2021/03/05 11:00:45.581,0.009,-0.333,,,,
NX,2021,1,2021/03/05 11:00:45.581,0.004,0.333,,,,
NX,2021,1,2021/03/05 11:00:45.581,0.009,0.333,,,,
NX,2021,1,2021/03/05 11:00:45.863,0.022,-0.429,,,,
NX,2021,1,2021/03/05 11:00:54.000,,,,,6.0,1950.0
NX,2021,1,2021/03/05 11:00:54.577,0.018,-0.2,,,,
NX,2021,1,2021/03/05 11:00:54.577,0.018,0.0,,,,
NX,2021,1,2021/03/05 11:00:54.578,0.021,0.667,,,,
NX,2021,1,2021/03/05 11:00:54.578,0.033,0.429,,,,
NX,2021,1,2021/03/05 11:00:54.581,0.011,0.333,,,,
NX,2021,1,2021/03/05 11:00:54.581,0.011,0.0,,,,
NX,2021,1,2021/03/05 11:00:54.581,0.011,-0.2,,,,
NX,2021,1,2021/03/05 11:00:54.596,0.03,0.333,,,,
NX,2021,1,2021/03/05 11:00:55.020,0.01,0.6,,,,
NX,2021,1,2021/03/05 11:00:58.000,,,,,6.0,305.0
NX,2021,1,2021/03/05 11:00:58.182,0.011,-0.333,,,,
NX,2021,1,2021/03/05 11:00:58.183,,,,,,
NX,2021,1,2021/03/05 11:00:58.361,0.007,0.333,,,,
NX,2021,1,2021/03/05 11:00:58.364,0.011,0.5,,,,
NX,2021,1,2021/03/05 11:00:58.376,0.011,0.5,,,,
NX,2021,1,2021/03/05 11:00:58.864,0.011,0.6,,,,
NX,2021,1,2021/03/05 11:01:05.000,,,,,2.0,125.0
NX,2021,1,2021/03/05 11:02:00.000,,,3.0,13.868,,
NX,2021,1,2021/03/05 11:02:05.000,,,,,2.0,104.0
NX,2021,1,2021/03/05 11:02:20.494,0.015,-0.2,,,,
NX,2021,1,2021/03/05 11:02:20.611,0.012,-0.6,,,,
NX,2021,1,2021/03/05 11:02:22.000,,,,,1.0,100.0
NX,2021,1,2021/03/05 11:02:23.574,,,,,,
NX,2021,1,2021/03/05 11:03:00.000,,,18.0,5.692,,
NX,2021,1,2021/03/05 11:03:39.000,,,,,6.0,7.0
NX,2021,1,2021/03/05 11:03:42.000,,,,,10.0,533.0
NX,2021,1,2021/03/05 11:03:42.062,0.012,0.333,,,,
NX,2021,1,2021/03/05 11:03:42.062,0.011,0.143,,,,
NX,2021,1,2021/03/05 11:03:42.062,0.008,0.0,,,,
NX,2021,1,2021/03/05 11:03:42.081,0.008,0.5,,,,
NX,2021,1,2021/03/05 11:03:42.081,0.022,0.667,,,,
NX,2021,1,2021/03/05 11:03:42.083,0.01,0.0,,,,
NX,2021,1,2021/03/05 11:03:42.083,0.01,0.2,,,,
NX,2021,1,2021/03/05 11:03:42.685,0.01,0.333,,,,
NX,2021,1,2021/03/05 11:03:44.000,,,,,7.0,143.0
NX,2021,1,2021/03/05 11:03:44.331,0.022,0.0,,,,
NX,2021,1,2021/03/05 11:03:44.331,0.023,0.0,,,,
NX,2021,1,2021/03/05 11:03:47.000,,,,,2.0,162.0
NX,2021,1,2021/03/05 11:03:47.000,0.009,-0.333,,,,
NX,2021,1,2021/03/05 11:03:47.000,0.009,0.0,,,,
NX,2021,1,2021/03/05 11:03:47.000,0.009,0.2,,,,
NX,2021,1,2021/03/05 11:03:47.002,0.009,0.0,,,,
NX,2021,1,2021/03/05 11:03:47.002,0.009,0.2,,,,
NX,2021,1,2021/03/05 11:03:47.005,0.15,0.333,,,,
NX,2021,1,2021/03/05 11:03:47.076,0.01,0.6,,,,
NX,2021,1,2021/03/05 11:03:47.103,0.01,0.667,,,,
NX,2021,1,2021/03/05 11:04:00.000,,,34.0,0.104,,
NX,2021,1,2021/03/05 11:04:07.000,,,,,1.0,3.0
NX,2021,1,2021/03/05 11:04:08.000,,,,,2.0,101.0
NX,2021,1,2021/03/05 11:04:08.473,0.009,0.714,,,,
NX,2021,1,2021/03/05 11:04:12.820,0.008,0.6,,,,
NX,2021,1,2021/03/05 11:04:12.859,0.008,0.667,,,,
NX,2021,1,2021/03/05 11:04:13.673,0.008,0.714,,,,
NX,2021,1,2021/03/05 11:04:15.000,,,,,1.0,100.0
NX,2021,1,2021/03/05 11:04:15.868,0.008,0.667,,,,
NX,2021,1,2021/03/05 11:04:15.868,0.008,0.714,,,,
NX,2021,1,2021/03/05 11:04:23.106,0.008,0.667,,,,
NX,2021,1,2021/03/05 11:04:23.107,0.008,0.0,,,,
NX,2021,1,2021/03/05 11:04:23.107,0.008,0.333,,,,
NX,2021,1,2021/03/05 11:04:23.108,0.025,0.667,,,,
NX,2021,1,2021/03/05 11:04:23.110,0.007,0.333,,,,
