tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
PLXS,2021,1,2021/01/21 08:35:00.000,,,1.0,,,
PLXS,2021,1,2021/01/21 08:35:47.542,0.288,0.429,,,,
PLXS,2021,1,2021/01/21 09:04:00.000,,,1.0,,,
PLXS,2021,1,2021/01/21 09:04:32.049,0.095,0.6,,,,
PLXS,2021,1,2021/01/21 09:13:00.000,,,1.0,,,
PLXS,2021,1,2021/01/21 09:13:57.751,0.302,0.0,,,,
PLXS,2021,1,2021/01/21 09:16:32.000,,,,,1.0,50.0
PLXS,2021,1,2021/01/21 09:16:41.000,,,,,5.0,500.0
PLXS,2021,1,2021/01/21 09:17:06.000,,,,,1.0,5.0
PLXS,2021,1,2021/01/21 09:21:00.000,,,1.0,,,
PLXS,2021,1,2021/01/21 09:21:13.552,0.106,0.0,,,,
PLXS,2021,1,2021/01/21 09:23:00.000,,,4.0,44.407,,
PLXS,2021,1,2021/01/21 09:23:52.000,,,,,1.0,100.0
PLXS,2021,1,2021/01/21 09:23:52.576,0.048,0.333,,,,
PLXS,2021,1,2021/01/21 09:23:52.576,0.057,0.333,,,,
PLXS,2021,1,2021/01/21 09:23:52.587,0.141,0.0,,,,
PLXS,2021,1,2021/01/21 09:23:52.596,,,,,,
PLXS,2021,1,2021/01/21 09:24:00.000,,,1.0,,,
PLXS,2021,1,2021/01/21 09:24:54.967,0.048,0.333,,,,
PLXS,2021,1,2021/01/21 09:24:55.000,,,,,1.0,78.0
PLXS,2021,1,2021/01/21 09:28:00.000,,,1.0,,,
PLXS,2021,1,2021/01/21 09:28:10.016,0.075,-0.714,,,,
PLXS,2021,2,2021/04/22 08:59:00.000,,,2.0,75.929,,
PLXS,2021,2,2021/04/22 08:59:18.950,0.784,0.0,,,,
PLXS,2021,2,2021/04/22 08:59:47.266,0.784,-0.333,,,,
PLXS,2021,2,2021/04/22 09:01:00.000,,,1.0,,,
PLXS,2021,2,2021/04/22 09:01:45.391,0.784,0.0,,,,
PLXS,2021,2,2021/04/22 09:02:00.000,,,2.0,0.0,,
PLXS,2021,2,2021/04/22 09:02:28.955,0.784,-0.333,,,,
PLXS,2021,2,2021/04/22 09:02:34.623,0.784,0.0,,,,
PLXS,2021,2,2021/04/22 09:05:00.000,,,1.0,,,
PLXS,2021,2,2021/04/22 09:05:47.014,0.784,-0.333,,,,
PLXS,2021,2,2021/04/22 09:18:00.000,,,2.0,17.169,,
PLXS,2021,2,2021/04/22 09:18:15.985,0.415,0.0,,,,
PLXS,2021,2,2021/04/22 09:18:44.467,0.401,0.0,,,,
PLXS,2021,2,2021/04/22 09:24:00.000,,,2.0,4.041,,
PLXS,2021,2,2021/04/22 09:24:25.910,0.31,0.0,,,,
PLXS,2021,2,2021/04/22 09:24:26.022,0.285,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.000,,,17.0,30.987,,
PLXS,2021,2,2021/04/22 09:25:00.851,0.447,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.852,0.247,0.333,,,,
PLXS,2021,2,2021/04/22 09:25:00.852,0.272,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.852,-2.0,1.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.852,0.269,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.853,0.391,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.853,0.32,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.853,0.32,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.854,0.442,0.333,,,,
PLXS,2021,2,2021/04/22 09:25:00.857,0.507,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.857,0.552,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.857,0.628,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.858,-2.0,1.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.858,0.69,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.858,0.652,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.858,0.69,0.0,,,,
PLXS,2021,2,2021/04/22 09:25:00.859,0.69,-0.333,,,,
PLXS,2021,4,2021/10/28 08:49:00.000,,,1.0,,,
PLXS,2021,4,2021/10/28 08:49:34.087,0.982,0.0,,,,
