tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
RFIL,2021,1,2021/03/11 16:30:00.000,,,1.0,,,
RFIL,2021,1,2021/03/11 16:30:43.000,,,,,1.0,799.0
RFIL,2021,1,2021/03/11 16:30:43.978,2.0,-1.0,,,,
RFIL,2021,1,2021/03/11 16:32:20.000,,,,,1.0,10.0
RFIL,2021,1,2021/03/11 16:36:36.000,,,,,1.0,10.0
RFIL,2021,1,2021/03/11 16:38:00.000,,,1.0,,,
RFIL,2021,1,2021/03/11 16:38:58.409,2.0,-1.0,,,,
RFIL,2021,1,2021/03/11 16:40:00.000,,,1.0,,,
RFIL,2021,1,2021/03/11 16:40:02.973,0.157,-0.111,,,,
RFIL,2021,1,2021/03/11 16:42:00.000,,,1.0,,,
RFIL,2021,1,2021/03/11 16:42:35.000,,,,,1.0,500.0
RFIL,2021,1,2021/03/11 16:42:35.065,0.164,-0.333,,,,
RFIL,2021,1,2021/03/11 16:43:00.000,,,1.0,,,
RFIL,2021,1,2021/03/11 16:43:38.545,0.138,0.111,,,,
RFIL,2021,1,2021/03/11 16:46:00.000,,,5.0,0.293,,
RFIL,2021,1,2021/03/11 16:46:07.000,,,,,3.0,700.0
RFIL,2021,1,2021/03/11 16:46:07.894,0.116,-0.429,,,,
RFIL,2021,1,2021/03/11 16:46:07.894,0.025,-0.333,,,,
RFIL,2021,1,2021/03/11 16:46:07.894,0.025,-0.2,,,,
RFIL,2021,1,2021/03/11 16:46:07.895,0.025,-0.333,,,,
RFIL,2021,1,2021/03/11 16:46:37.000,,,,,1.0,400.0
RFIL,2021,1,2021/03/11 16:46:37.458,0.164,-0.333,,,,
RFIL,2021,1,2021/03/11 16:48:52.000,,,,,1.0,100.0
RFIL,2021,1,2021/03/11 16:50:00.000,,,1.0,,,
RFIL,2021,1,2021/03/11 16:50:42.000,,,,,1.0,20.0
RFIL,2021,1,2021/03/11 16:50:53.053,0.023,-0.2,,,,
RFIL,2021,1,2021/03/11 16:51:00.000,,,1.0,,,
RFIL,2021,1,2021/03/11 16:51:23.000,,,,,1.0,2.0
RFIL,2021,1,2021/03/11 16:51:43.052,0.164,-0.333,,,,
RFIL,2021,1,2021/03/11 16:52:00.000,,,5.0,0.322,,
RFIL,2021,1,2021/03/11 16:52:02.000,,,,,1.0,100.0
RFIL,2021,1,2021/03/11 16:52:02.387,0.021,0.0,,,,
RFIL,2021,1,2021/03/11 16:52:13.000,,,,,3.0,300.0
RFIL,2021,1,2021/03/11 16:52:13.502,0.021,0.333,,,,
RFIL,2021,1,2021/03/11 16:52:26.392,0.116,-0.111,,,,
RFIL,2021,1,2021/03/11 16:52:35.000,,,,,1.0,100.0
RFIL,2021,1,2021/03/11 16:52:37.133,0.09,0.333,,,,
RFIL,2021,1,2021/03/11 16:52:46.386,0.116,-0.25,,,,
RFIL,2021,1,2021/03/11 16:53:00.000,,,2.0,0.06,,
RFIL,2021,1,2021/03/11 16:53:06.808,0.133,0.333,,,,
RFIL,2021,1,2021/03/11 16:53:12.215,0.09,0.333,,,,
RFIL,2021,1,2021/03/11 16:54:00.000,,,1.0,,,
RFIL,2021,1,2021/03/11 16:54:48.000,,,,,2.0,129.0
RFIL,2021,1,2021/03/11 16:54:48.383,0.116,-0.429,,,,
RFIL,2021,1,2021/03/11 17:12:00.000,,,2.0,0.831,,
RFIL,2021,1,2021/03/11 17:12:30.000,,,,,3.0,379.0
RFIL,2021,1,2021/03/11 17:12:30.448,0.349,-0.667,,,,
RFIL,2021,1,2021/03/11 17:12:39.275,0.124,-0.667,,,,
RFIL,2021,1,2021/03/11 17:13:00.000,,,3.0,0.588,,
RFIL,2021,1,2021/03/11 17:13:52.199,0.349,-0.667,,,,
RFIL,2021,1,2021/03/11 17:13:57.000,,,,,1.0,46.0
RFIL,2021,1,2021/03/11 17:13:57.240,0.116,-0.667,,,,
RFIL,2021,1,2021/03/11 17:13:57.250,0.164,-0.6,,,,
RFIL,2021,2,2021/06/14 16:30:00.000,,,1.0,,,
RFIL,2021,2,2021/06/14 16:30:01.000,,,,,3.0,185.0
RFIL,2021,2,2021/06/14 16:30:17.000,,,,,1.0,70.0
RFIL,2021,2,2021/06/14 16:30:17.972,0.023,0.0,,,,
RFIL,2021,2,2021/06/14 16:30:22.000,,,,,1.0,23.0
RFIL,2021,2,2021/06/14 16:30:47.000,,,,,1.0,4.0
RFIL,2021,2,2021/06/14 16:31:00.000,,,10.0,0.059,,
RFIL,2021,2,2021/06/14 16:31:12.000,,,,,1.0,20.0
RFIL,2021,2,2021/06/14 16:31:17.000,,,,,2.0,155.0
RFIL,2021,2,2021/06/14 16:31:17.226,0.018,-0.778,,,,
RFIL,2021,2,2021/06/14 16:31:20.656,0.018,-0.6,,,,
RFIL,2021,2,2021/06/14 16:31:30.216,0.018,-0.778,,,,
RFIL,2021,2,2021/06/14 16:31:32.971,0.021,-0.778,,,,
RFIL,2021,2,2021/06/14 16:31:33.000,,,,,1.0,65.0
RFIL,2021,2,2021/06/14 16:31:38.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:31:43.790,0.012,-0.778,,,,
RFIL,2021,2,2021/06/14 16:31:45.479,0.012,0.448,,,,
RFIL,2021,2,2021/06/14 16:31:46.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:31:46.435,0.529,0.0,,,,
RFIL,2021,2,2021/06/14 16:31:48.000,,,,,3.0,1082.0
RFIL,2021,2,2021/06/14 16:31:48.082,0.024,0.615,,,,
RFIL,2021,2,2021/06/14 16:31:50.000,,,,,2.0,318.0
RFIL,2021,2,2021/06/14 16:31:50.157,0.056,-0.833,,,,
RFIL,2021,2,2021/06/14 16:31:50.157,0.027,-0.2,,,,
RFIL,2021,2,2021/06/14 16:31:59.000,,,,,1.0,17.0
RFIL,2021,2,2021/06/14 16:32:00.000,,,16.0,1.615,,
RFIL,2021,2,2021/06/14 16:32:00.280,0.019,-0.429,,,,
RFIL,2021,2,2021/06/14 16:32:01.000,,,,,1.0,7.0
RFIL,2021,2,2021/06/14 16:32:12.000,,,,,1.0,23.0
RFIL,2021,2,2021/06/14 16:32:20.000,,,,,1.0,1.0
RFIL,2021,2,2021/06/14 16:32:32.000,,,,,3.0,100.0
RFIL,2021,2,2021/06/14 16:32:32.007,0.014,-0.667,,,,
RFIL,2021,2,2021/06/14 16:32:42.000,,,,,2.0,200.0
RFIL,2021,2,2021/06/14 16:32:42.336,0.017,-0.333,,,,
RFIL,2021,2,2021/06/14 16:32:47.034,0.029,-0.667,,,,
RFIL,2021,2,2021/06/14 16:32:55.000,,,,,11.0,2061.0
RFIL,2021,2,2021/06/14 16:32:55.240,0.092,-0.2,,,,
RFIL,2021,2,2021/06/14 16:32:55.240,0.12,-0.692,,,,
RFIL,2021,2,2021/06/14 16:32:55.240,0.05,-0.833,,,,
RFIL,2021,2,2021/06/14 16:32:55.240,0.045,-0.913,,,,
RFIL,2021,2,2021/06/14 16:32:55.240,-2.0,1.0,,,,
RFIL,2021,2,2021/06/14 16:32:55.241,0.041,-0.909,,,,
RFIL,2021,2,2021/06/14 16:32:55.241,0.037,-0.909,,,,
RFIL,2021,2,2021/06/14 16:32:55.241,0.029,-0.6,,,,
RFIL,2021,2,2021/06/14 16:32:55.243,0.035,-0.333,,,,
RFIL,2021,2,2021/06/14 16:32:56.604,0.041,-0.909,,,,
RFIL,2021,2,2021/06/14 16:32:56.604,0.045,-0.909,,,,
RFIL,2021,2,2021/06/14 16:32:56.604,0.12,-0.68,,,,
RFIL,2021,2,2021/06/14 16:33:01.000,,,,,1.0,62.0
RFIL,2021,2,2021/06/14 16:33:13.000,,,,,1.0,50.0
RFIL,2021,2,2021/06/14 16:33:28.000,,,,,1.0,250.0
RFIL,2021,2,2021/06/14 16:33:43.000,,,,,1.0,5.0
RFIL,2021,2,2021/06/14 16:33:47.000,,,,,1.0,25.0
RFIL,2021,2,2021/06/14 16:33:53.000,,,,,4.0,425.0
RFIL,2021,2,2021/06/14 16:33:56.000,,,,,1.0,500.0
RFIL,2021,2,2021/06/14 16:34:00.000,,,9.0,0.231,1.0,500.0
RFIL,2021,2,2021/06/14 16:34:01.000,,,,,3.0,1000.0
RFIL,2021,2,2021/06/14 16:34:04.000,,,,,1.0,500.0
RFIL,2021,2,2021/06/14 16:34:41.000,,,,,2.0,100.0
RFIL,2021,2,2021/06/14 16:34:48.000,,,,,7.0,2000.0
RFIL,2021,2,2021/06/14 16:34:48.833,0.014,-0.909,,,,
RFIL,2021,2,2021/06/14 16:34:48.833,0.016,0.0,,,,
RFIL,2021,2,2021/06/14 16:34:48.836,0.01,-0.909,,,,
RFIL,2021,2,2021/06/14 16:34:48.836,0.028,-0.889,,,,
RFIL,2021,2,2021/06/14 16:34:53.000,,,,,4.0,400.0
RFIL,2021,2,2021/06/14 16:34:53.092,0.119,0.6,,,,
RFIL,2021,2,2021/06/14 16:34:53.093,0.109,0.0,,,,
RFIL,2021,2,2021/06/14 16:34:53.093,0.109,-0.111,,,,
RFIL,2021,2,2021/06/14 16:34:53.278,0.109,0.0,,,,
RFIL,2021,2,2021/06/14 16:34:55.000,,,,,1.0,200.0
RFIL,2021,2,2021/06/14 16:34:55.674,0.109,0.333,,,,
RFIL,2021,2,2021/06/14 16:35:00.000,,,12.0,0.145,1.0,29.0
RFIL,2021,2,2021/06/14 16:35:01.000,,,,,3.0,150.0
RFIL,2021,2,2021/06/14 16:35:01.131,0.109,0.6,,,,
RFIL,2021,2,2021/06/14 16:35:01.131,0.109,-0.111,,,,
RFIL,2021,2,2021/06/14 16:35:01.134,0.109,0.0,,,,
RFIL,2021,2,2021/06/14 16:35:10.000,,,,,4.0,850.0
RFIL,2021,2,2021/06/14 16:35:10.114,0.12,-0.68,,,,
RFIL,2021,2,2021/06/14 16:35:10.114,0.109,0.6,,,,
RFIL,2021,2,2021/06/14 16:35:10.115,0.12,-0.68,,,,
RFIL,2021,2,2021/06/14 16:35:15.119,0.023,-0.889,,,,
RFIL,2021,2,2021/06/14 16:35:29.000,,,,,1.0,50.0
RFIL,2021,2,2021/06/14 16:35:32.456,0.011,0.333,,,,
RFIL,2021,2,2021/06/14 16:35:34.000,,,,,2.0,100.0
