tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
SMPL,2021,1,2021/01/06 08:30:48.000,,,,,1.0,3.0
SMPL,2021,1,2021/01/06 08:31:16.000,,,,,1.0,70.0
SMPL,2021,1,2021/01/06 08:31:32.000,,,,,1.0,2.0
SMPL,2021,1,2021/01/06 08:32:00.000,,,15.0,17.806,,
SMPL,2021,1,2021/01/06 08:32:01.000,,,,,2.0,116.0
SMPL,2021,1,2021/01/06 08:32:01.847,0.058,-0.333,,,,
SMPL,2021,1,2021/01/06 08:32:01.847,-2.0,1.0,,,,
SMPL,2021,1,2021/01/06 08:32:01.847,-2.0,1.0,,,,
SMPL,2021,1,2021/01/06 08:32:01.847,0.135,-0.333,,,,
SMPL,2021,1,2021/01/06 08:32:01.877,0.136,0.429,,,,
SMPL,2021,1,2021/01/06 08:32:01.877,,,,,,
SMPL,2021,1,2021/01/06 08:32:01.927,0.05,0.333,,,,
SMPL,2021,1,2021/01/06 08:32:01.997,,,,,,
SMPL,2021,1,2021/01/06 08:32:03.000,,,,,1.0,76.0
SMPL,2021,1,2021/01/06 08:32:16.000,,,,,2.0,44.0
SMPL,2021,1,2021/01/06 08:32:16.234,0.159,-0.333,,,,
SMPL,2021,1,2021/01/06 08:32:21.000,,,,,1.0,1.0
SMPL,2021,1,2021/01/06 08:32:26.000,,,,,6.0,832.0
SMPL,2021,1,2021/01/06 08:32:26.393,0.136,0.5,,,,
SMPL,2021,1,2021/01/06 08:32:26.393,0.178,0.0,,,,
SMPL,2021,1,2021/01/06 08:32:26.423,0.136,0.429,,,,
SMPL,2021,1,2021/01/06 08:32:26.479,0.136,0.0,,,,
SMPL,2021,1,2021/01/06 08:32:26.479,0.136,-0.333,,,,
SMPL,2021,1,2021/01/06 08:32:26.481,2.0,-1.0,,,,
SMPL,2021,1,2021/01/06 08:32:35.000,,,,,1.0,7.0
SMPL,2021,1,2021/01/06 08:35:12.000,,,,,1.0,11.0
SMPL,2021,1,2021/01/06 08:36:04.000,,,,,1.0,11.0
SMPL,2021,1,2021/01/06 08:40:12.000,,,,,1.0,6.0
SMPL,2021,1,2021/01/06 08:41:00.000,,,6.0,4.394,,
SMPL,2021,1,2021/01/06 08:41:46.303,0.16,0.0,,,,
SMPL,2021,1,2021/01/06 08:41:46.305,0.159,0.0,,,,
SMPL,2021,1,2021/01/06 08:41:51.000,,,,,1.0,25.0
SMPL,2021,1,2021/01/06 08:41:51.413,0.178,0.0,,,,
SMPL,2021,1,2021/01/06 08:41:51.437,0.159,0.0,,,,
