tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
TDG,2021,1,2021/02/09 11:00:00.000,,,2.0,631.393,,
TDG,2021,1,2021/02/09 11:00:19.000,,,,,1.0,1.0
TDG,2021,1,2021/02/09 11:00:28.034,,,,,,
TDG,2021,1,2021/02/09 11:00:44.000,,,,,2.0,2.0
TDG,2021,1,2021/02/09 11:00:44.881,2.0,-1.0,,,,
TDG,2021,1,2021/02/09 11:01:00.000,,,11.0,94.515,,
TDG,2021,1,2021/02/09 11:01:16.641,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:01:16.642,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:01:16.643,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:01:21.852,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:01:28.000,,,,,1.0,1.0
TDG,2021,1,2021/02/09 11:01:28.059,0.006,0.0,,,,
TDG,2021,1,2021/02/09 11:01:29.058,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:01:29.059,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:01:29.059,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:01:29.060,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:01:29.060,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:01:30.000,,,,,1.0,2.0
TDG,2021,1,2021/02/09 11:01:30.365,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:01:53.000,,,,,2.0,9.0
TDG,2021,1,2021/02/09 11:02:00.000,,,10.0,313.919,,
TDG,2021,1,2021/02/09 11:02:03.000,,,,,1.0,1.0
TDG,2021,1,2021/02/09 11:02:37.000,,,,,1.0,1.0
TDG,2021,1,2021/02/09 11:02:41.000,,,,,2.0,123.0
TDG,2021,1,2021/02/09 11:02:41.640,,,,,,
TDG,2021,1,2021/02/09 11:02:43.315,0.003,-0.333,,,,
TDG,2021,1,2021/02/09 11:02:46.000,,,,,4.0,46.0
TDG,2021,1,2021/02/09 11:02:46.399,0.003,0.0,,,,
TDG,2021,1,2021/02/09 11:02:46.399,2.0,-1.0,,,,
TDG,2021,1,2021/02/09 11:02:46.409,0.006,0.0,,,,
TDG,2021,1,2021/02/09 11:02:46.415,0.003,0.0,,,,
TDG,2021,1,2021/02/09 11:02:46.555,0.01,0.0,,,,
TDG,2021,1,2021/02/09 11:02:47.428,0.006,0.0,,,,
TDG,2021,1,2021/02/09 11:02:50.719,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:02:50.720,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:00.000,,,49.0,123.442,,
TDG,2021,1,2021/02/09 11:03:00.004,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:03:00.009,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:00.013,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:03:00.039,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:00.039,0.01,0.0,,,,
TDG,2021,1,2021/02/09 11:03:00.040,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:03:00.171,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:00.171,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:03:00.173,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:02.000,,,,,1.0,1.0
TDG,2021,1,2021/02/09 11:03:02.873,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:03:02.873,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:02.874,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:03:03.006,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:03.006,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:03:03.558,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:03.558,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:03:04.031,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:04.056,0.006,0.0,,,,
TDG,2021,1,2021/02/09 11:03:04.056,0.005,0.0,,,,
TDG,2021,1,2021/02/09 11:03:14.523,0.047,0.0,,,,
TDG,2021,1,2021/02/09 11:03:14.524,,,,,,
TDG,2021,1,2021/02/09 11:03:14.524,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:19.513,0.046,0.0,,,,
TDG,2021,1,2021/02/09 11:03:19.513,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:19.515,0.006,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.007,0.046,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.009,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.010,0.046,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.011,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.012,0.046,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.012,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.013,0.046,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.014,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.016,0.046,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.016,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.017,0.046,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.018,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.705,0.046,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.706,0.085,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.982,0.046,0.0,,,,
TDG,2021,1,2021/02/09 11:03:20.983,0.085,0.0,,,,
