tic,year,quarter,ts_min,Timestamp_ET,Timestamp_UTC,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,trade_count,trade_volume,trade_vwap,timestamp_et_full
TRV,2021,1,2021-04-20 09:09:00,2021-04-20 09:09:06.450137,2021-04-20 13:09:06.450137,0.008,0.0,2,1.078,,,,2021-04-20 09:09:06.450137-04:00
TRV,2021,1,2021-04-20 09:13:00,2021-04-20 09:13:49.169935,2021-04-20 13:13:49.169935,0.025,-0.333,11,2.723,2.0,150.0,153.7,2021-04-20 09:13:49.169935-04:00
TRV,2021,1,2021-04-20 09:13:00,2021-04-20 09:13:49.170000,2021-04-20 13:13:49.170000,0.004,0.0,11,2.723,2.0,150.0,153.7,2021-04-20 09:13:49.170000-04:00
TRV,2021,1,2021-04-20 09:13:00,2021-04-20 09:13:49.171313,2021-04-20 13:13:49.171313,0.025,-0.5,11,2.723,2.0,150.0,153.7,2021-04-20 09:13:49.171313-04:00
TRV,2021,1,2021-04-20 09:27:00,2021-04-20 09:27:57.337188,2021-04-20 13:27:57.337188,0.033,0.0,9,2.825,8.0,402.0,154.48885572139304,2021-04-20 09:27:57.337188-04:00
TRV,2021,1,2021-04-20 09:27:00,2021-04-20 09:27:57.337484,2021-04-20 13:27:57.337484,0.004,0.0,9,2.825,8.0,402.0,154.48885572139304,2021-04-20 09:27:57.337484-04:00
TRV,2021,1,2021-04-20 09:28:00,2021-04-20 09:28:12.097583,2021-04-20 13:28:12.097583,0.03,0.0,5,1.148,6.0,220.0,154.5,2021-04-20 09:28:12.097583-04:00
TRV,2021,1,2021-04-20 09:28:00,2021-04-20 09:28:12.097608,2021-04-20 13:28:12.097608,0.115,0.0,5,1.148,6.0,220.0,154.5,2021-04-20 09:28:12.097608-04:00
TRV,2021,1,2021-04-20 09:29:00,2021-04-20 09:29:53.878056,2021-04-20 13:29:53.878056,0.03,0.0,22,2.312,7.0,319.0,154.82727272727274,2021-04-20 09:29:53.878056-04:00
TRV,2021,1,2021-04-20 09:29:00,2021-04-20 09:29:58.102458,2021-04-20 13:29:58.102458,0.017,0.0,22,2.312,7.0,319.0,154.82727272727274,2021-04-20 09:29:58.102458-04:00
TRV,2021,1,2021-04-20 09:29:00,2021-04-20 09:29:58.174645,2021-04-20 13:29:58.174645,0.037,0.0,22,2.312,7.0,319.0,154.82727272727274,2021-04-20 09:29:58.174645-04:00
TRV,2021,1,2021-04-20 09:29:00,2021-04-20 09:29:58.176359,2021-04-20 13:29:58.176359,0.032,0.0,22,2.312,7.0,319.0,154.82727272727274,2021-04-20 09:29:58.176359-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:00.016458,2021-04-20 13:30:00.016458,0.039,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:00.016458-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:02.150082,2021-04-20 13:30:02.150082,0.018,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:02.150082-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:02.220715,2021-04-20 13:30:02.220715,0.007,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:02.220715-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:02.624466,2021-04-20 13:30:02.624466,0.011,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:02.624466-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:06.578231,2021-04-20 13:30:06.578231,0.008,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:06.578231-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:14.003799,2021-04-20 13:30:14.003799,0.006,-0.333,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:14.003799-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:14.004020,2021-04-20 13:30:14.004020,0.007,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:14.004020-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:14.005809,2021-04-20 13:30:14.005809,0.004,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:14.005809-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:14.037895,2021-04-20 13:30:14.037895,0.004,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:14.037895-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:14.093086,2021-04-20 13:30:14.093086,0.004,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:14.093086-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:14.208376,2021-04-20 13:30:14.208376,0.004,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:14.208376-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:14.519205,2021-04-20 13:30:14.519205,0.004,-0.333,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:14.519205-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:22.219331,2021-04-20 13:30:22.219331,0.005,0.333,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:22.219331-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:22.727048,2021-04-20 13:30:22.727048,0.013,0.333,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:22.727048-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:24.201974,2021-04-20 13:30:24.201974,0.003,-0.333,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:24.201974-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:24.202035,2021-04-20 13:30:24.202035,0.003,-0.2,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:24.202035-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:24.202044,2021-04-20 13:30:24.202044,0.003,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:24.202044-04:00
TRV,2021,1,2021-04-20 09:30:00,2021-04-20 09:30:24.227410,2021-04-20 13:30:24.227410,0.111,0.0,37,2.038,64.0,43110.0,154.92265668522387,2021-04-20 09:30:24.227410-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:01.318376,2021-04-20 13:31:01.318376,0.01,-0.333,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:01.318376-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:47.529057,2021-04-20 13:31:47.529057,0.009,0.5,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:47.529057-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:48.027216,2021-04-20 13:31:48.027216,0.009,0.6,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:48.027216-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:49.993939,2021-04-20 13:31:49.993939,0.008,0.0,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:49.993939-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:50.575333,2021-04-20 13:31:50.575333,0.008,0.0,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:50.575333-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:51.088507,2021-04-20 13:31:51.088507,0.01,0.333,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:51.088507-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:52.092653,2021-04-20 13:31:52.092653,0.005,-0.333,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:52.092653-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:54.193514,2021-04-20 13:31:54.193514,0.005,0.0,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:54.193514-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:55.141674,2021-04-20 13:31:55.141674,0.01,0.0,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:55.141674-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:56.160542,2021-04-20 13:31:56.160542,0.01,0.333,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:56.160542-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:56.393161,2021-04-20 13:31:56.393161,0.013,0.333,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:56.393161-04:00
TRV,2021,1,2021-04-20 09:31:00,2021-04-20 09:31:57.181046,2021-04-20 13:31:57.181046,0.01,0.333,37,18.363,108.0,5288.0,154.6498483736762,2021-04-20 09:31:57.181046-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:01.952876,2021-04-20 13:32:01.952876,0.009,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:01.952876-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:01.953743,2021-04-20 13:32:01.953743,,,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:01.953743-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:02.014553,2021-04-20 13:32:02.014553,0.009,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:02.014553-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:02.014643,2021-04-20 13:32:02.014643,0.007,0.333,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:02.014643-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:03.713132,2021-04-20 13:32:03.713132,0.009,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:03.713132-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:04.016063,2021-04-20 13:32:04.016063,0.007,0.333,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:04.016063-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:04.395064,2021-04-20 13:32:04.395064,0.009,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:04.395064-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:05.055594,2021-04-20 13:32:05.055594,0.0,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:05.055594-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:05.055674,2021-04-20 13:32:05.055674,0.004,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:05.055674-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:05.055725,2021-04-20 13:32:05.055725,0.004,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:05.055725-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:05.057985,2021-04-20 13:32:05.057985,2.0,-1.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:05.057985-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:05.378602,2021-04-20 13:32:05.378602,0.005,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:05.378602-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:05.394490,2021-04-20 13:32:05.394490,0.009,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:05.394490-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:07.768566,2021-04-20 13:32:07.768566,0.007,0.333,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:07.768566-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:10.790537,2021-04-20 13:32:10.790537,0.007,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:10.790537-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:10.790612,2021-04-20 13:32:10.790612,0.007,0.333,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:10.790612-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:22.995183,2021-04-20 13:32:22.995183,0.007,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:22.995183-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:31.332459,2021-04-20 13:32:31.332459,0.007,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:31.332459-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:41.339005,2021-04-20 13:32:41.339005,0.016,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:41.339005-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:44.476776,2021-04-20 13:32:44.476776,0.006,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:44.476776-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:47.458445,2021-04-20 13:32:47.458445,0.009,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:47.458445-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:47.459057,2021-04-20 13:32:47.459057,0.003,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:47.459057-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:47.460390,2021-04-20 13:32:47.460390,0.061,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:47.460390-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:47.488041,2021-04-20 13:32:47.488041,0.005,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:47.488041-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:47.609154,2021-04-20 13:32:47.609154,0.111,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:47.609154-04:00
TRV,2021,1,2021-04-20 09:32:00,2021-04-20 09:32:52.757998,2021-04-20 13:32:52.757998,0.008,0.0,96,29.586,108.0,14170.0,154.7380240084686,2021-04-20 09:32:52.757998-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:08.442219,2021-04-20 13:33:08.442219,0.007,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:08.442219-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:08.742794,2021-04-20 13:33:08.742794,0.009,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:08.742794-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:08.744583,2021-04-20 13:33:08.744583,0.011,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:08.744583-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:10.135240,2021-04-20 13:33:10.135240,-2.0,1.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:10.135240-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:10.135576,2021-04-20 13:33:10.135576,,,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:10.135576-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:19.746610,2021-04-20 13:33:19.746610,0.005,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:19.746610-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:37.398918,2021-04-20 13:33:37.398918,0.005,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:37.398918-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:42.670943,2021-04-20 13:33:42.670943,0.007,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:42.670943-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:42.670943,2021-04-20 13:33:42.670943,0.007,-0.333,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:42.670943-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:42.670943,2021-04-20 13:33:42.670943,0.062,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:42.670943-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:42.670943,2021-04-20 13:33:42.670943,0.062,-0.333,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:42.670943-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:42.704278,2021-04-20 13:33:42.704278,0.008,0.333,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:42.704278-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:42.704549,2021-04-20 13:33:42.704549,0.008,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:42.704549-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:42.704628,2021-04-20 13:33:42.704628,0.008,0.333,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:42.704628-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:42.820995,2021-04-20 13:33:42.820995,0.111,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:42.820995-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:54.856309,2021-04-20 13:33:54.856309,0.006,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:54.856309-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:54.937217,2021-04-20 13:33:54.937217,0.006,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:54.937217-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:55.056244,2021-04-20 13:33:55.056244,0.06,-0.333,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:55.056244-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:55.056244,2021-04-20 13:33:55.056244,0.06,-0.5,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:55.056244-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:55.056244,2021-04-20 13:33:55.056244,0.06,-0.333,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:55.056244-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:55.056244,2021-04-20 13:33:55.056244,0.06,-0.5,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:55.056244-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:55.056274,2021-04-20 13:33:55.056274,0.007,0.714,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:55.056274-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:55.086226,2021-04-20 13:33:55.086226,0.017,0.714,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:55.086226-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:55.106289,2021-04-20 13:33:55.106289,0.06,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:55.106289-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:55.155105,2021-04-20 13:33:55.155105,0.013,0.0,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:55.155105-04:00
TRV,2021,1,2021-04-20 09:33:00,2021-04-20 09:33:58.875924,2021-04-20 13:33:58.875924,0.008,0.5,70,37.204,56.0,3983.0,154.56607205623902,2021-04-20 09:33:58.875924-04:00
TRV,2021,1,2021-04-20 09:34:00,2021-04-20 09:34:01.024221,2021-04-20 13:34:01.024221,0.005,0.0,9,0.26,27.0,1578.0,154.4622470215463,2021-04-20 09:34:01.024221-04:00
TRV,2021,1,2021-04-20 09:34:00,2021-04-20 09:34:01.122625,2021-04-20 13:34:01.122625,0.005,-0.333,9,0.26,27.0,1578.0,154.4622470215463,2021-04-20 09:34:01.122625-04:00
TRV,2021,1,2021-04-20 09:34:00,2021-04-20 09:34:20.054980,2021-04-20 13:34:20.054980,0.005,0.0,9,0.26,27.0,1578.0,154.4622470215463,2021-04-20 09:34:20.054980-04:00
TRV,2021,1,2021-04-20 09:34:00,2021-04-20 09:34:23.759566,2021-04-20 13:34:23.759566,0.009,0.0,9,0.26,27.0,1578.0,154.4622470215463,2021-04-20 09:34:23.759566-04:00
TRV,2021,1,2021-04-20 09:34:00,2021-04-20 09:34:58.924521,2021-04-20 13:34:58.924521,0.011,0.0,9,0.26,27.0,1578.0,154.4622470215463,2021-04-20 09:34:58.924521-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:00.011976,2021-04-20 13:35:00.011976,0.009,0.0,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:00.011976-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:01.021827,2021-04-20 13:35:01.021827,0.005,0.333,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:01.021827-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:01.021842,2021-04-20 13:35:01.021842,0.005,0.0,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:01.021842-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:02.367773,2021-04-20 13:35:02.367773,0.005,0.333,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:02.367773-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:04.106307,2021-04-20 13:35:04.106307,0.005,-0.333,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:04.106307-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:08.101889,2021-04-20 13:35:08.101889,0.008,0.0,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:08.101889-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:27.491941,2021-04-20 13:35:27.491941,0.005,-0.333,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:27.491941-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:29.218387,2021-04-20 13:35:29.218387,0.004,0.0,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:29.218387-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:37.840225,2021-04-20 13:35:37.840225,0.002,0.0,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:37.840225-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:37.885052,2021-04-20 13:35:37.885052,0.002,0.5,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:37.885052-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:37.938389,2021-04-20 13:35:37.938389,0.002,0.0,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:37.938389-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:38.402306,2021-04-20 13:35:38.402306,0.002,0.0,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:38.402306-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:38.402672,2021-04-20 13:35:38.402672,0.002,0.0,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:38.402672-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:38.404141,2021-04-20 13:35:38.404141,0.002,0.333,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:38.404141-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:43.321584,2021-04-20 13:35:43.321584,0.003,0.333,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:43.321584-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:43.336986,2021-04-20 13:35:43.336986,0.006,-0.333,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:43.336986-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:47.453806,2021-04-20 13:35:47.453806,0.002,0.0,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:47.453806-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:50.034237,2021-04-20 13:35:50.034237,0.006,0.0,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:50.034237-04:00
TRV,2021,1,2021-04-20 09:35:00,2021-04-20 09:35:51.733327,2021-04-20 13:35:51.733327,0.003,0.0,68,23.36,134.0,14565.0,154.4172156196361,2021-04-20 09:35:51.733327-04:00
