tic,year,quarter,ts_min,Timestamp_ET,Timestamp_UTC,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,trade_count,trade_volume,trade_vwap
AAPL,2021,1,2021/1/27 17:00,00:29.5,00:29.5,0,-0.333,118,0.049,389,26418,141.7647349
AAPL,2021,1,2021/1/27 17:00,00:35.2,00:35.2,0,-0.959,118,0.049,389,26418,141.7647349
AAPL,2021,1,2021/1/27 17:00,00:44.7,00:44.7,0,-0.964,118,0.049,389,26418,141.7647349
AAPL,2021,1,2021/1/27 17:00,00:54.4,00:54.4,0,0,118,0.049,389,26418,141.7647349
AAPL,2021,1,2021/1/27 17:01,01:17.2,01:17.2,0,0,130,0.072,897,128172,142.0156026
AAPL,2021,1,2021/1/27 17:01,01:37.7,01:37.7,0.001,0.077,130,0.072,897,128172,142.0156026
AAPL,2021,1,2021/1/27 17:01,01:52.4,01:52.4,0.001,0.333,130,0.072,897,128172,142.0156026
AAPL,2021,1,2021/1/27 17:02,02:00.1,02:00.1,0.001,-0.714,117,0.09,879,95355,142.4592887
AAPL,2021,1,2021/1/27 17:02,02:20.0,02:20.0,0,-0.333,117,0.09,879,95355,142.4592887
AAPL,2021,1,2021/1/27 17:02,02:33.0,02:33.0,0.001,0,117,0.09,879,95355,142.4592887
AAPL,2021,1,2021/1/27 17:02,02:33.8,02:33.8,0,0.167,117,0.09,879,95355,142.4592887
AAPL,2021,1,2021/1/27 17:02,02:38.2,02:38.2,0,0,117,0.09,879,95355,142.4592887
AAPL,2021,1,2021/1/27 17:03,03:09.5,03:09.5,0.001,0.962,219,13.679,1473,191458,142.8927857
AAPL,2021,1,2021/1/27 17:03,03:10.7,03:10.7,0.001,0.895,219,13.679,1473,191458,142.8927857
AAPL,2021,1,2021/1/27 17:03,03:12.8,03:12.8,0.001,0,219,13.679,1473,191458,142.8927857
AAPL,2021,1,2021/1/27 17:03,03:23.1,03:23.1,0.001,-0.333,219,13.679,1473,191458,142.8927857
AAPL,2021,1,2021/1/27 17:03,03:23.1,03:23.1,0.002,0.961,219,13.679,1473,191458,142.8927857
AAPL,2021,1,2021/1/27 17:03,03:23.3,03:23.3,0.002,0.961,219,13.679,1473,191458,142.8927857
AAPL,2021,1,2021/1/27 17:03,03:26.1,03:26.1,0.001,0.2,219,13.679,1473,191458,142.8927857
AAPL,2021,1,2021/1/27 17:03,03:31.2,03:31.2,0.003,0.73,219,13.679,1473,191458,142.8927857
