tic,year,quarter,ts_min,Timestamp_ET,Timestamp_UTC,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,trade_count,trade_volume,trade_vwap
JOUT,2021,1,2021-02-05 11:03:00,2021-02-05 11:03:17.188719,2021-02-05 16:03:17.188719,-2.0,1.0,4,29.86,6.0,70.0,119.92628571428571
JOUT,2021,1,2021-02-05 11:03:00,2021-02-05 11:03:17.188719,2021-02-05 16:03:17.188719,-2.0,1.0,4,29.86,6.0,70.0,119.92628571428571
JOUT,2021,1,2021-02-05 11:03:00,2021-02-05 11:03:17.189809,2021-02-05 16:03:17.189809,-2.0,1.0,4,29.86,6.0,70.0,119.92628571428571
JOUT,2021,1,2021-02-05 11:03:00,2021-02-05 11:03:17.238736,2021-02-05 16:03:17.238736,-2.0,1.0,4,29.86,6.0,70.0,119.92628571428571
JOUT,2021,1,2021-02-05 11:05:00,2021-02-05 11:05:19.552098,2021-02-05 16:05:19.552098,0.013,0.333,1,,2.0,4.0,119.6037
JOUT,2021,1,2021-02-05 11:07:00,2021-02-05 11:07:02.275186,2021-02-05 16:07:02.275186,0.021,0.0,2,41.885,,,
JOUT,2021,1,2021-02-05 11:07:00,2021-02-05 11:07:40.061553,2021-02-05 16:07:40.061553,-2.0,1.0,2,41.885,,,
JOUT,2021,1,2021-02-05 11:08:00,2021-02-05 11:08:15.520395,2021-02-05 16:08:15.520395,0.021,-0.333,3,34.443,8.0,426.0,119.82204225352113
JOUT,2021,1,2021-02-05 11:08:00,2021-02-05 11:08:46.694895,2021-02-05 16:08:46.694895,0.021,0.0,3,34.443,8.0,426.0,119.82204225352113
JOUT,2021,1,2021-02-05 11:08:00,2021-02-05 11:08:46.913963,2021-02-05 16:08:46.913963,0.018,0.333,3,34.443,8.0,426.0,119.82204225352113
JOUT,2021,2,2021-05-07 11:00:00,2021-05-07 11:00:07.014691,2021-05-07 15:00:07.014691,0.044,0.0,7,24.927,,,
JOUT,2021,2,2021-05-07 11:00:00,2021-05-07 11:00:07.015041,2021-05-07 15:00:07.015041,0.04,0.0,7,24.927,,,
JOUT,2021,2,2021-05-07 11:00:00,2021-05-07 11:00:07.019359,2021-05-07 15:00:07.019359,0.048,0.0,7,24.927,,,
JOUT,2021,2,2021-05-07 11:00:00,2021-05-07 11:00:07.553321,2021-05-07 15:00:07.553321,0.074,0.0,7,24.927,,,
JOUT,2021,2,2021-05-07 11:00:00,2021-05-07 11:00:07.653852,2021-05-07 15:00:07.653852,0.074,0.0,7,24.927,,,
JOUT,2021,2,2021-05-07 11:00:00,2021-05-07 11:00:08.187475,2021-05-07 15:00:08.187475,0.074,0.0,7,24.927,,,
JOUT,2021,2,2021-05-07 11:00:00,2021-05-07 11:00:19.725660,2021-05-07 15:00:19.725660,0.072,0.0,7,24.927,,,
JOUT,2021,2,2021-05-07 11:01:00,2021-05-07 11:01:20.954305,2021-05-07 15:01:20.954305,0.118,0.0,6,43.246,5.0,450.0,132.8736
JOUT,2021,2,2021-05-07 11:01:00,2021-05-07 11:01:20.954891,2021-05-07 15:01:20.954891,2.0,-1.0,6,43.246,5.0,450.0,132.8736
JOUT,2021,2,2021-05-07 11:01:00,2021-05-07 11:01:21.031177,2021-05-07 15:01:21.031177,0.074,0.0,6,43.246,5.0,450.0,132.8736
JOUT,2021,2,2021-05-07 11:01:00,2021-05-07 11:01:21.081706,2021-05-07 15:01:21.081706,0.073,0.0,6,43.246,5.0,450.0,132.8736
JOUT,2021,2,2021-05-07 11:01:00,2021-05-07 11:01:21.131688,2021-05-07 15:01:21.131688,0.073,0.0,6,43.246,5.0,450.0,132.8736
JOUT,2021,2,2021-05-07 11:01:00,2021-05-07 11:01:21.793336,2021-05-07 15:01:21.793336,0.072,0.0,6,43.246,5.0,450.0,132.8736
JOUT,2021,2,2021-05-07 11:02:00,2021-05-07 11:02:22.034749,2021-05-07 15:02:22.034749,0.035,0.0,2,3.009,3.0,7.0,135.21464285714288
JOUT,2021,2,2021-05-07 11:02:00,2021-05-07 11:02:23.083850,2021-05-07 15:02:23.083850,0.035,-0.333,2,3.009,3.0,7.0,135.21464285714288
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:01.207276,2021-05-07 15:03:01.207276,0.118,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:02.047994,2021-05-07 15:03:02.047994,0.076,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:02.148607,2021-05-07 15:03:02.148607,0.076,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:02.427678,2021-05-07 15:03:02.427678,0.075,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:02.657419,2021-05-07 15:03:02.657419,0.075,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:05.819040,2021-05-07 15:03:05.819040,0.074,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:06.440508,2021-05-07 15:03:06.440508,0.074,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:08.068351,2021-05-07 15:03:08.068351,0.074,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:09.444767,2021-05-07 15:03:09.444767,0.074,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:10.188362,2021-05-07 15:03:10.188362,0.074,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:12.303835,2021-05-07 15:03:12.303835,0.074,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:12.897455,2021-05-07 15:03:12.897455,0.073,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:13.084695,2021-05-07 15:03:13.084695,0.073,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:33.085012,2021-05-07 15:03:33.085012,0.073,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:33.128821,2021-05-07 15:03:33.128821,0.073,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:33.633572,2021-05-07 15:03:33.633572,0.073,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:48.047259,2021-05-07 15:03:48.047259,0.118,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:48.047293,2021-05-07 15:03:48.047293,0.059,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:48.147909,2021-05-07 15:03:48.147909,0.059,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:50.537405,2021-05-07 15:03:50.537405,0.118,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:03:00,2021-05-07 11:03:50.537414,2021-05-07 15:03:50.537414,0.073,0.0,21,1.716,,,
JOUT,2021,2,2021-05-07 11:04:00,2021-05-07 11:04:00.123996,2021-05-07 15:04:00.123996,0.024,0.0,4,57.151,4.0,11.0,134.60564545454545
JOUT,2021,2,2021-05-07 11:04:00,2021-05-07 11:04:43.714223,2021-05-07 15:04:43.714223,0.073,0.0,4,57.151,4.0,11.0,134.60564545454545
JOUT,2021,2,2021-05-07 11:04:00,2021-05-07 11:04:43.726543,2021-05-07 15:04:43.726543,2.0,-1.0,4,57.151,4.0,11.0,134.60564545454545
JOUT,2021,2,2021-05-07 11:04:00,2021-05-07 11:04:43.756476,2021-05-07 15:04:43.756476,0.072,0.0,4,57.151,4.0,11.0,134.60564545454545
JOUT,2021,2,2021-05-07 11:05:00,2021-05-07 11:05:34.250203,2021-05-07 15:05:34.250203,0.118,0.0,8,36.753,6.0,107.0,134.40254579439252
JOUT,2021,2,2021-05-07 11:05:00,2021-05-07 11:05:34.251744,2021-05-07 15:05:34.251744,2.0,-1.0,8,36.753,6.0,107.0,134.40254579439252
JOUT,2021,2,2021-05-07 11:05:00,2021-05-07 11:05:34.352327,2021-05-07 15:05:34.352327,0.075,0.0,8,36.753,6.0,107.0,134.40254579439252
JOUT,2021,2,2021-05-07 11:05:00,2021-05-07 11:05:34.452913,2021-05-07 15:05:34.452913,0.074,0.0,8,36.753,6.0,107.0,134.40254579439252
JOUT,2021,2,2021-05-07 11:05:00,2021-05-07 11:05:34.564625,2021-05-07 15:05:34.564625,0.074,0.0,8,36.753,6.0,107.0,134.40254579439252
JOUT,2021,2,2021-05-07 11:05:00,2021-05-07 11:05:34.908922,2021-05-07 15:05:34.908922,0.074,0.0,8,36.753,6.0,107.0,134.40254579439252
JOUT,2021,2,2021-05-07 11:05:00,2021-05-07 11:05:35.069869,2021-05-07 15:05:35.069869,0.074,0.0,8,36.753,6.0,107.0,134.40254579439252
JOUT,2021,2,2021-05-07 11:05:00,2021-05-07 11:05:50.537499,2021-05-07 15:05:50.537499,0.072,0.0,8,36.753,6.0,107.0,134.40254579439252
JOUT,2021,2,2021-05-07 11:06:00,2021-05-07 11:06:32.384561,2021-05-07 15:06:32.384561,2.0,-1.0,1,,2.0,2.0,133.47
JOUT,2021,2,2021-05-07 11:08:00,2021-05-07 11:08:03.993222,2021-05-07 15:08:03.993222,0.054,0.0,3,66.481,2.0,2.0,133.32
JOUT,2021,2,2021-05-07 11:08:00,2021-05-07 11:08:03.993251,2021-05-07 15:08:03.993251,0.028,0.0,3,66.481,2.0,2.0,133.32
JOUT,2021,2,2021-05-07 11:08:00,2021-05-07 11:08:21.122013,2021-05-07 15:08:21.122013,2.0,-1.0,3,66.481,2.0,2.0,133.32
JOUT,2021,2,2021-05-07 11:10:00,2021-05-07 11:10:10.198963,2021-05-07 15:10:10.198963,,,1,,4.0,4.0,133.85875
JOUT,2021,2,2021-05-07 11:11:00,2021-05-07 11:11:42.924278,2021-05-07 15:11:42.924278,0.118,0.0,1,,4.0,23.0,133.05169565217392
JOUT,2021,2,2021-05-07 11:12:00,2021-05-07 11:12:18.639262,2021-05-07 15:12:18.639262,0.072,0.0,6,4.081,4.0,6.0,133.48666666666668
JOUT,2021,2,2021-05-07 11:12:00,2021-05-07 11:12:22.928097,2021-05-07 15:12:22.928097,0.118,0.0,6,4.081,4.0,6.0,133.48666666666668
JOUT,2021,2,2021-05-07 11:12:00,2021-05-07 11:12:30.086338,2021-05-07 15:12:30.086338,0.063,0.0,6,4.081,4.0,6.0,133.48666666666668
JOUT,2021,2,2021-05-07 11:12:00,2021-05-07 11:12:35.172396,2021-05-07 15:12:35.172396,0.118,0.0,6,4.081,4.0,6.0,133.48666666666668
JOUT,2021,2,2021-05-07 11:12:00,2021-05-07 11:12:36.425205,2021-05-07 15:12:36.425205,0.057,0.0,6,4.081,4.0,6.0,133.48666666666668
JOUT,2021,2,2021-05-07 11:12:00,2021-05-07 11:12:36.479215,2021-05-07 15:12:36.479215,0.118,0.0,6,4.081,4.0,6.0,133.48666666666668
JOUT,2021,2,2021-05-07 11:13:00,2021-05-07 11:13:27.664291,2021-05-07 15:13:27.664291,0.028,0.333,5,96.47,7.0,327.0,133.14305535168197
JOUT,2021,2,2021-05-07 11:13:00,2021-05-07 11:13:30.903163,2021-05-07 15:13:30.903163,0.072,0.0,5,96.47,7.0,327.0,133.14305535168197
JOUT,2021,3,2021-08-09 11:05:00,2021-08-09 11:05:00.874803,2021-08-09 15:05:00.874803,0.013,0.0,2,0.049,,,
JOUT,2021,3,2021-08-09 11:05:00,2021-08-09 11:05:20.932554,2021-08-09 15:05:20.932554,0.013,0.0,2,0.049,,,
JOUT,2021,3,2021-08-09 11:07:00,2021-08-09 11:07:16.765134,2021-08-09 15:07:16.765134,0.013,0.0,7,0.004,,,
JOUT,2021,3,2021-08-09 11:07:00,2021-08-09 11:07:16.768006,2021-08-09 15:07:16.768006,0.013,0.0,7,0.004,,,
JOUT,2021,3,2021-08-09 11:07:00,2021-08-09 11:07:20.772801,2021-08-09 15:07:20.772801,0.013,0.333,7,0.004,,,
JOUT,2021,3,2021-08-09 11:07:00,2021-08-09 11:07:42.856302,2021-08-09 15:07:42.856302,0.013,0.0,7,0.004,,,
JOUT,2021,3,2021-08-09 11:07:00,2021-08-09 11:07:42.867757,2021-08-09 15:07:42.867757,0.013,0.0,7,0.004,,,
JOUT,2021,3,2021-08-09 11:07:00,2021-08-09 11:07:42.869992,2021-08-09 15:07:42.869992,0.013,0.333,7,0.004,,,
JOUT,2021,3,2021-08-09 11:07:00,2021-08-09 11:07:42.874783,2021-08-09 15:07:42.874783,0.013,0.0,7,0.004,,,
