tic,year,quarter,ts_min,Timestamp_ET,Timestamp_UTC,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,trade_count,trade_volume,trade_vwap
MMS,2021,1,2021-02-04 09:24:00,2021-02-04 09:24:10.087180,2021-02-04 14:24:10.087180,0.267,0.0,1,,,,
MMS,2021,1,2021-02-04 09:25:00,2021-02-04 09:25:02.096599,2021-02-04 14:25:02.096599,0.312,0.0,2,2.56,,,
MMS,2021,1,2021-02-04 09:25:00,2021-02-04 09:25:59.199799,2021-02-04 14:25:59.199799,0.267,0.0,2,2.56,,,
MMS,2021,1,2021-02-04 09:27:00,2021-02-04 09:27:30.346155,2021-02-04 14:27:30.346155,0.312,0.0,2,2.086,,,
MMS,2021,1,2021-02-04 09:27:00,2021-02-04 09:27:30.347061,2021-02-04 14:27:30.347061,0.167,0.0,2,2.086,,,
MMS,2021,1,2021-02-04 09:28:00,2021-02-04 09:28:11.017624,2021-02-04 14:28:11.017624,0.291,0.0,1,,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:52.085478,2021-02-04 14:29:52.085478,0.053,0.0,12,2.718,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:52.086148,2021-02-04 14:29:52.086148,0.102,0.0,12,2.718,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:52.092227,2021-02-04 14:29:52.092227,0.077,-0.75,12,2.718,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:52.281592,2021-02-04 14:29:52.281592,0.053,0.0,12,2.718,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:52.282248,2021-02-04 14:29:52.282248,0.118,-0.75,12,2.718,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:52.320054,2021-02-04 14:29:52.320054,0.114,0.0,12,2.718,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:54.085698,2021-02-04 14:29:54.085698,0.09,0.0,12,2.718,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:54.085763,2021-02-04 14:29:54.085763,0.09,-0.333,12,2.718,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:54.086360,2021-02-04 14:29:54.086360,0.069,0.0,12,2.718,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:54.086430,2021-02-04 14:29:54.086430,0.118,-0.333,12,2.718,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:54.119674,2021-02-04 14:29:54.119674,0.089,-0.333,12,2.718,,,
MMS,2021,1,2021-02-04 09:29:00,2021-02-04 09:29:54.503180,2021-02-04 14:29:54.503180,0.093,0.75,12,2.718,,,
MMS,2021,1,2021-02-04 09:30:00,2021-02-04 09:30:00.057982,2021-02-04 14:30:00.057982,0.101,0.0,5,0.431,8.0,8859.0,76.4304221695451
MMS,2021,1,2021-02-04 09:30:00,2021-02-04 09:30:00.089242,2021-02-04 14:30:00.089242,0.134,0.0,5,0.431,8.0,8859.0,76.4304221695451
MMS,2021,1,2021-02-04 09:30:00,2021-02-04 09:30:00.303526,2021-02-04 14:30:00.303526,0.121,0.0,5,0.431,8.0,8859.0,76.4304221695451
MMS,2021,1,2021-02-04 09:30:00,2021-02-04 09:30:00.308738,2021-02-04 14:30:00.308738,0.14,0.0,5,0.431,8.0,8859.0,76.4304221695451
MMS,2021,1,2021-02-04 09:30:00,2021-02-04 09:30:15.816805,2021-02-04 14:30:15.816805,0.028,0.333,5,0.431,8.0,8859.0,76.4304221695451
MMS,2021,1,2021-02-04 09:31:00,2021-02-04 09:31:50.872146,2021-02-04 14:31:50.872146,0.018,0.333,6,0.957,11.0,271.0,75.68452546125461
MMS,2021,1,2021-02-04 09:31:00,2021-02-04 09:31:50.873174,2021-02-04 14:31:50.873174,0.051,0.333,6,0.957,11.0,271.0,75.68452546125461
MMS,2021,1,2021-02-04 09:31:00,2021-02-04 09:31:50.885353,2021-02-04 14:31:50.885353,0.038,0.333,6,0.957,11.0,271.0,75.68452546125461
MMS,2021,1,2021-02-04 09:31:00,2021-02-04 09:31:50.886370,2021-02-04 14:31:50.886370,0.059,0.333,6,0.957,11.0,271.0,75.68452546125461
MMS,2021,1,2021-02-04 09:31:00,2021-02-04 09:31:51.551842,2021-02-04 14:31:51.551842,0.036,0.0,6,0.957,11.0,271.0,75.68452546125461
MMS,2021,1,2021-02-04 09:31:00,2021-02-04 09:31:51.577848,2021-02-04 14:31:51.577848,0.051,0.667,6,0.957,11.0,271.0,75.68452546125461
MMS,2021,1,2021-02-04 09:35:00,2021-02-04 09:35:00.747958,2021-02-04 14:35:00.747958,0.014,0.0,12,0.39,2.0,120.0,77.01
MMS,2021,1,2021-02-04 09:35:00,2021-02-04 09:35:05.705482,2021-02-04 14:35:05.705482,0.021,0.0,12,0.39,2.0,120.0,77.01
MMS,2021,1,2021-02-04 09:35:00,2021-02-04 09:35:05.705521,2021-02-04 14:35:05.705521,0.027,0.333,12,0.39,2.0,120.0,77.01
MMS,2021,1,2021-02-04 09:35:00,2021-02-04 09:35:05.706649,2021-02-04 14:35:05.706649,0.007,0.0,12,0.39,2.0,120.0,77.01
