tic,year,quarter,ts_min,Timestamp_ET,Timestamp_UTC,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,trade_count,trade_volume,trade_vwap
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:23.548065,2021-01-08 17:00:23.548065,0.007,0.0,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:23.549124,2021-01-08 17:00:23.549124,0.012,0.0,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:23.549159,2021-01-08 17:00:23.549159,0.007,0.0,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:23.549385,2021-01-08 17:00:23.549385,0.012,0.0,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:23.730991,2021-01-08 17:00:23.730991,0.01,0.333,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:23.731180,2021-01-08 17:00:23.731180,0.01,0.0,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:23.732018,2021-01-08 17:00:23.732018,0.007,0.0,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:23.850895,2021-01-08 17:00:23.850895,0.016,0.0,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:23.851469,2021-01-08 17:00:23.851469,2.0,-1.0,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:24.747260,2021-01-08 17:00:24.747260,-2.0,1.0,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:24.781047,2021-01-08 17:00:24.781047,,,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:27.698638,2021-01-08 17:00:27.698638,-2.0,1.0,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:29.767476,2021-01-08 17:00:29.767476,,,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:29.768595,2021-01-08 17:00:29.768595,0.018,0.0,28,44.461,4.0,145.0,99.46937931034482
PSMT,2021,1,2021-01-08 12:00:00,2021-01-08 12:00:29.769104,2021-01-08 17:00:29.769104,,,28,44.461,4.0,145.0,99.46937931034482
