tic,year,quarter,ts_min,Timestamp_ET,Timestamp_UTC,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,trade_count,trade_volume,trade_vwap
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:01.847307,2021-01-06 13:32:01.847307,0.058,-0.333,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:01.847309,2021-01-06 13:32:01.847309,-2.0,1.0,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:01.847311,2021-01-06 13:32:01.847311,-2.0,1.0,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:01.847314,2021-01-06 13:32:01.847314,0.135,-0.333,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:01.877313,2021-01-06 13:32:01.877313,0.136,0.429,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:01.877601,2021-01-06 13:32:01.877601,,,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:01.927842,2021-01-06 13:32:01.927842,0.05,0.333,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:01.997441,2021-01-06 13:32:01.997441,,,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:16.234742,2021-01-06 13:32:16.234742,0.159,-0.333,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:26.393803,2021-01-06 13:32:26.393803,0.136,0.5,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:26.393889,2021-01-06 13:32:26.393889,0.178,0.0,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:26.423801,2021-01-06 13:32:26.423801,0.136,0.429,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:26.479737,2021-01-06 13:32:26.479737,0.136,0.0,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:26.479766,2021-01-06 13:32:26.479766,0.136,-0.333,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:32:00,2021-01-06 08:32:26.481109,2021-01-06 13:32:26.481109,2.0,-1.0,15,17.806,13.0,1076.0,30.480882899628252
SMPL,2021,1,2021-01-06 08:41:00,2021-01-06 08:41:46.303161,2021-01-06 13:41:46.303161,0.16,0.0,6,4.394,1.0,25.0,30.3
SMPL,2021,1,2021-01-06 08:41:00,2021-01-06 08:41:46.305894,2021-01-06 13:41:46.305894,0.159,0.0,6,4.394,1.0,25.0,30.3
SMPL,2021,1,2021-01-06 08:41:00,2021-01-06 08:41:51.413493,2021-01-06 13:41:51.413493,0.178,0.0,6,4.394,1.0,25.0,30.3
SMPL,2021,1,2021-01-06 08:41:00,2021-01-06 08:41:51.437463,2021-01-06 13:41:51.437463,0.159,0.0,6,4.394,1.0,25.0,30.3
SMPL,2021,1,2021-01-06 08:41:00,2021-01-06 08:41:51.440601,2021-01-06 13:41:51.440601,0.158,0.0,6,4.394,1.0,25.0,30.3
SMPL,2021,1,2021-01-06 08:41:00,2021-01-06 08:41:57.026157,2021-01-06 13:41:57.026157,0.178,0.0,6,4.394,1.0,25.0,30.3
SMPL,2021,1,2021-01-06 09:01:00,2021-01-06 09:01:36.380824,2021-01-06 14:01:36.380824,0.09,0.0,1,,,,
SMPL,2021,1,2021-01-06 09:02:00,2021-01-06 09:02:02.058237,2021-01-06 14:02:02.058237,0.091,0.0,1,,2.0,51.0,30.52
SMPL,2021,1,2021-01-06 09:07:00,2021-01-06 09:07:43.217206,2021-01-06 14:07:43.217206,0.16,-0.5,2,0.884,,,
SMPL,2021,1,2021-01-06 09:07:00,2021-01-06 09:07:53.486702,2021-01-06 14:07:53.486702,0.178,0.0,2,0.884,,,
SMPL,2021,1,2021-01-06 09:15:00,2021-01-06 09:15:43.125726,2021-01-06 14:15:43.125726,0.017,0.833,1,,,,
SMPL,2021,1,2021-01-06 09:17:00,2021-01-06 09:17:06.709349,2021-01-06 14:17:06.709349,0.05,0.333,2,0.219,,,
SMPL,2021,1,2021-01-06 09:17:00,2021-01-06 09:17:06.795018,2021-01-06 14:17:06.795018,0.044,0.0,2,0.219,,,
SMPL,2021,1,2021-01-06 09:18:00,2021-01-06 09:18:30.613476,2021-01-06 14:18:30.613476,0.07,0.0,4,0.813,2.0,180.0,30.3
SMPL,2021,1,2021-01-06 09:18:00,2021-01-06 09:18:30.613528,2021-01-06 14:18:30.613528,0.068,0.0,4,0.813,2.0,180.0,30.3
SMPL,2021,1,2021-01-06 09:18:00,2021-01-06 09:18:30.614841,2021-01-06 14:18:30.614841,0.123,0.0,4,0.813,2.0,180.0,30.3
SMPL,2021,1,2021-01-06 09:18:00,2021-01-06 09:18:30.617800,2021-01-06 14:18:30.617800,0.07,0.0,4,0.813,2.0,180.0,30.3
SMPL,2021,2,2021-04-07 08:37:00,2021-04-07 08:37:47.388301,2021-04-07 12:37:47.388301,0.075,0.0,2,3.992,2.0,129.0,31.5
SMPL,2021,2,2021-04-07 08:37:00,2021-04-07 08:37:50.677824,2021-04-07 12:37:50.677824,0.498,0.0,2,3.992,2.0,129.0,31.5
SMPL,2021,2,2021-04-07 08:42:00,2021-04-07 08:42:08.613232,2021-04-07 12:42:08.613232,0.079,0.667,2,3.886,,,
SMPL,2021,2,2021-04-07 08:42:00,2021-04-07 08:42:08.711774,2021-04-07 12:42:08.711774,0.075,0.0,2,3.886,,,
