tic,year,quarter,timestamp_p,section,section_id,speaker_name_P,speaker_title_P,presentation_text,finberttone_expected_value,finberttone_cumulative_tone,finberttone_change_point
AVGO,2021,1,6.931,Pre,1,Operator,Operator,Welcome to Broadcom Inc.' 's first quarter fiscal year 2021 financial results conference call.,0.000176814,0.000176814,0
AVGO,2021,1,16.354,Pre,2,Operator,Operator,"At this time, for opening remarks and introductions, I would like to turn the call over to G.U., Director of Investor Relations of Broadcom Inc.",-0.000779551,-0.000602738,0
AVGO,2021,1,17.514,Pre,3,Operator,Operator,"Please go ahead, ma'am.",-0.003387221,-0.003989959,0
AVGO,2021,1,21.976,Pre,4,G.U. Yu,Director of Investor Relations,"Thank you, Operator, and good afternoon, everyone.",0.072563985,0.068574026,0
AVGO,2021,1,35.927,Pre,5,G.U. Yu,Director of Investor Relations,"Joining me on today's call are Hock Tan, President and CEO of Kirsten Spears, Chief Financial Officer, Tom Krause, President, Infrastructure Software Group, and Charlie Kawas, Chief Operating Officer.",1.10E-05,0.068585065,0
AVGO,2021,1,46.407,Pre,6,G.U. Yu,Director of Investor Relations,"Broadcom also distributed press release and financial tables after the market closed, describing our financial performance for the first quarter of fiscal year 21.",-5.51E-07,0.068584514,0
AVGO,2021,1,53.603,Pre,7,G.U. Yu,Director of Investor Relations,"If you did not receive a copy, you may obtain the information from the Advisor section of Broadcom's website at broadcom.com.",7.94E-05,0.068663939,0
AVGO,2021,1,60.657,Pre,8,G.U. Yu,Director of Investor Relations,This conference call is being webcast live and the recording will be available via telephone playback for one week.,-1.71E-07,0.068663769,0
AVGO,2021,1,64.799,Pre,9,G.U. Yu,Director of Investor Relations,It will also be archived in the investor section of our website at broadcom.com.,1.82E-05,0.06868198,0
AVGO,2021,1,77.187,Pre,10,G.U. Yu,Director of Investor Relations,"During the prepared comments, Hawk and Kirsten will be providing details of our first quarter fiscal year 21 results, guidance for our second quarter, as well as commentary regarding the business environment.",-7.40E-07,0.06868124,0
AVGO,2021,1,80.629,Pre,11,G.U. Yu,Director of Investor Relations,We'll take questions after the end of our prepared comments.,-6.62E-05,0.068614996,0
AVGO,2021,1,93.048,Pre,12,G.U. Yu,Director of Investor Relations,Please refer to our press release today and our recent filings with the SEC for information on the specific risk factors that could cause our actual results to differ materially from the forward-looking statements made on this call.,-0.4673751,-0.398760104,0
AVGO,2021,1,98.629,Pre,13,G.U. Yu,Director of Investor Relations,"In addition to US GAAP reporting, Broadcom reports certain financial measures on a non-GAAP basis.",-0.00012306,-0.398883164,0
AVGO,2021,1,104.73,Pre,14,G.U. Yu,Director of Investor Relations,A reconciliation between GAAP and non-GAAP measures is included in the tables attached to today's press release.,9.40E-05,-0.398789119,0
AVGO,2021,1,110.752,Pre,15,G.U. Yu,Director of Investor Relations,Comments made during today's call will primarily refer to our non-GAAP financial results.,-3.32E-05,-0.398822322,0
AVGO,2021,1,113.045,Pre,16,G.U. Yu,Director of Investor Relations,I'll now turn the call over to Hawk.,-0.003872505,-0.402694827,1
AVGO,2021,1,118.971,Pre,17,Hock Tan,President and CEO,"Thank you, Gee, and thank you, everyone, for joining us today.",0.10428321,-0.298411618,0
AVGO,2021,1,126.878,Pre,18,Hock Tan,President and CEO,"Well, we delivered net revenue of $6.7 billion, up 14% year-on-year.",0.999998561,0.701586944,0
AVGO,2021,1,134.004,Pre,19,Hock Tan,President and CEO,"Semiconductor solutions revenue was $4.9 billion, increasing 17% year-on-year.",0.999999488,1.701586431,0
AVGO,2021,1,144.435,Pre,20,Hock Tan,President and CEO,"Infrastructure software revenue was $1.7 billion, up 5% year-on-year.",0.999999292,2.701585724,0
AVGO,2021,1,170.071,Pre,21,Hock Tan,President and CEO,"Let me turn first to semiconductor solutions, but before I get into the numbers, perhaps it would be very constructive for me to give you my perspective on the situation today, and in fact, what has actually evolved over the past nine months.",0.999936885,3.701522608,0
AVGO,2021,1,185.341,Pre,22,Hock Tan,President and CEO,"You may recall in our earnings call Q2 fiscal 20, around middle of last year, that we highlighted supply chain challenges.",-0.999999595,2.701523014,0
AVGO,2021,1,194.468,Pre,23,Hock Tan,President and CEO,"Since then, we have started extending lead times across our product portfolio.",0.004147983,2.705670997,0
AVGO,2021,1,206.566,Pre,24,Hock Tan,President and CEO,We stretch these lead times further over the past nine months as we saw demand within end markets continue to increase.,0.991425974,3.697096971,0
AVGO,2021,1,254.102,Pre,25,Hock Tan,President and CEO,"So fast forward to today, we see customers accelerating their bookings for early deliveries and attempting to build buffers and creating the demand supply imbalance You all here out there, in anticipation of this phenomenon, we put in place in mid-2020 a very rigorous discipline process of carefully reviewing our backlog, identifying real end-user demand, and aligning our supply chain to more closely match end-user consumption.",0.999970303,4.697067274,0
AVGO,2021,1,281.489,Pre,26,Hock Tan,President and CEO,"Of course, not all end markets are behaving the same way, but we believe we have done a very good job of balancing demand and supply in our end markets, and what I'm reporting today does reasonably reflect what's been consumed by our end users.",0.999999996,5.69706727,0
AVGO,2021,1,285.072,Pre,27,Hock Tan,President and CEO,"With that, let me get into the numbers.",-0.00010257,5.6969647,0
AVGO,2021,1,291.799,Pre,28,Hock Tan,President and CEO,"In semiconductors, we grew 17% year-on-year organically.",0.999997472,6.696962173,0
AVGO,2021,1,308.566,Pre,29,Hock Tan,President and CEO,"Starting with wireless, we hit the seasonal peak in Q1 where wireless was up 52% year-on-year and reached 40% of semiconductor revenue makes.",0.989294235,7.686256407,0
