tic,year,quarter,timestamp_p,section,section_id,speaker_name_P,speaker_title_P,presentation_text,finberttone_expected_value,finberttone_cumulative_tone,finberttone_change_point
CPA,2021,1,2.04,Pre,1,Conference Operator,Call Operator,"Ladies and gentlemen, thank you for standing by.",0.001509135,0.001509135,0
CPA,2021,1,4.961,Pre,2,Conference Operator,Call Operator,Welcome to the Copa Holdings first quarter earnings call.,0.00042396,0.001933095,0
CPA,2021,1,9.003,Pre,3,Conference Operator,Call Operator,"During the presentation, all participants will be in listen-only mode.",1.39E-06,0.001934483,0
CPA,2021,1,11.984,Pre,4,Conference Operator,Call Operator,"Afterwards, we will conduct a question and answer session.",-6.03E-05,0.001874206,0
CPA,2021,1,17.186,Pre,5,Conference Operator,Call Operator,"At that time, if you have a question, you may press star then one on your touchtone phone.",-0.000451593,0.001422613,0
CPA,2021,1,21.578,Pre,6,Conference Operator,Call Operator,"As a reminder, this call is being webcast and recorded on May 6, 2021.",-7.19E-06,0.001415426,0
CPA,2021,1,28.131,Pre,7,Conference Operator,Call Operator,"Now, I will turn the conference over to Raul Pascal, Director of Investor Relations.",-0.000699278,0.000716148,0
CPA,2021,1,29.512,Pre,8,Conference Operator,Call Operator,"Sir, you may begin.",-0.001129114,-0.000412965,0
CPA,2021,1,34.642,Pre,9,Raúl Pascal,Director of Investor Relations,"Thank you, Tamika, and welcome everyone to our first quarter earnings call.",0.001256832,0.000843866,0
CPA,2021,1,40.505,Pre,10,Raúl Pascal,Director of Investor Relations,"Joining us today are Pedro Heilbron, CEO of Copa Holdings, and Jose Montero, our CFO.",-3.57E-07,0.00084351,0
CPA,2021,1,50.09,Pre,11,Raúl Pascal,Director of Investor Relations,"First, Pedro will start by going over our first quarter highlights and the actions the company has taken to mitigate the impact from the COVID-19 pandemic.",-0.000125126,0.000718384,0
CPA,2021,1,54.712,Pre,12,Raúl Pascal,Director of Investor Relations,"Followed by Jose, who will discuss our first quarter financial results in detail.",-7.32E-07,0.000717651,0
CPA,2021,1,58.994,Pre,13,Raúl Pascal,Director of Investor Relations,"Immediately after, we will open the call for questions from analysts.",-1.77E-05,0.000699976,0
CPA,2021,1,66.064,Pre,14,Raúl Pascal,Director of Investor Relations,Copa Holdings financial reports have been prepared in accordance with international financial reporting standards.,-0.000173244,0.000526732,0
CPA,2021,1,69.965,Pre,15,Raúl Pascal,Director of Investor Relations,"In today's call, we will discuss non-IFRS financial measures.",-7.53E-05,0.000451386,0
CPA,2021,1,79.768,Pre,16,Raúl Pascal,Director of Investor Relations,"A reconciliation of the non-IFRS to IFRS financial measures can be found in our earnings release, which has been posted on the company's website, copa.com.",2.04E-05,0.000471741,0
CPA,2021,1,94.153,Pre,17,Raúl Pascal,Director of Investor Relations,"Our discussion today will also contain forward-looking statements, not limited to historical facts, that reflect the company's current beliefs, expectations, and or intentions regarding future events and results.",-0.000445079,2.67E-05,0
CPA,2021,1,103.918,Pre,18,Raúl Pascal,Director of Investor Relations,These forward-looking statements involve risks and uncertainties that could cause actual results to differ materially and are based on assumptions subject to change.,-0.057329081,-0.057302419,0
