tic,year,quarter,timestamp_p,section,section_id,speaker_name_P,speaker_title_P,presentation_text,finberttone_expected_value,finberttone_cumulative_tone,finberttone_change_point
RFIL,2021,1,0.009,Pre,1,Operator,Conference Operator,Greetings.,-0.001079621,-0.001079621,0
RFIL,2021,1,5.854,Pre,2,Operator,Conference Operator,Welcome to the RF Industries first quarter fiscal 2021 financial results conference call.,8.48E-05,-0.000994852,0
RFIL,2021,1,9.016,Pre,3,Operator,Conference Operator,"At this time, all participants are in a listen-only mode.",-2.09E-05,-0.001015749,0
RFIL,2021,1,11.778,Pre,4,Operator,Conference Operator,A question and answer session will follow the formal presentation.,-7.77E-06,-0.001023524,0
RFIL,2021,1,17.943,Pre,5,Operator,Conference Operator,"If anyone should require operator assistance during the conference, please press star zero on your telephone keypad.",-9.49E-05,-0.001118404,0
RFIL,2021,1,20.505,Pre,6,Operator,Conference Operator,Please note this conference is being recorded.,-0.00035533,-0.001473734,0
RFIL,2021,1,25.549,Pre,7,Operator,Conference Operator,"I will now turn the conference over to your host, Todd Curley of MKR Investor Relations.",-0.000322962,-0.001796697,0
RFIL,2021,1,26.69,Pre,8,Operator,Conference Operator,Thank you.,0.159266192,0.157469495,0
RFIL,2021,1,27.231,Pre,9,Operator,Conference Operator,You may begin.,-0.003546732,0.153922763,0
RFIL,2021,1,29.348,Pre,10,Todd Curley,"Host, MKR Investor Relations","Thank you, Operator.",0.141972662,0.295895425,0
RFIL,2021,1,35.732,Pre,11,Todd Curley,"Host, MKR Investor Relations",Good afternoon and welcome to RF Industries' first quarter fiscal 2021 financial results conference call.,0.001127766,0.297023191,0
RFIL,2021,1,44.077,Pre,12,Todd Curley,"Host, MKR Investor Relations",With me on today's call are RF Industries President and CEO Rob Dawson and Senior Vice President and Chief Financial Officer Peter Yin.,-8.81E-06,0.297014386,0
RFIL,2021,1,48.559,Pre,13,Todd Curley,"Host, MKR Investor Relations","Before I turn the call over to Rob and Peter, I'd like to cover a few quick items.",-0.000145328,0.296869058,0
RFIL,2021,1,58.87,Pre,14,Todd Curley,"Host, MKR Investor Relations","This afternoon, RF Industries issued a press release announcing its first quarter fiscal 2021 financial results That release is available on the company's website at rfindustries.com.",-9.92E-06,0.296859136,0
RFIL,2021,1,67.993,Pre,15,Todd Curley,"Host, MKR Investor Relations","This call is being broadcast live over the Internet for all interested parties, and the webcast will be archived on the Investor Relations page of the company's website.",2.11E-05,0.2968802,0
RFIL,2021,1,74.176,Pre,16,Todd Curley,"Host, MKR Investor Relations","I want to remind everyone that during today's call, management will make forward-looking statements that involve risks and uncertainties.",-0.031765838,0.265114362,0
RFIL,2021,1,85.408,Pre,17,Todd Curley,"Host, MKR Investor Relations","Please note that except for historical statements, statements on this call today may constitute forward-looking statements within the meaning of Section 21E, of the Securities Exchange Act of 1934.",-0.001464614,0.263649748,0
RFIL,2021,1,94.824,Pre,18,Todd Curley,"Host, MKR Investor Relations","When used, the words anticipate, believe, expect, intend, future, and other similar expressions identify forward-looking statements.",0.066272896,0.329922644,0
RFIL,2021,1,103.409,Pre,19,Todd Curley,"Host, MKR Investor Relations",These forward-looking statements reflect management's current views with respect to future events and financial performance and are subject to risks and uncertainties.,-0.051146517,0.278776127,0
RFIL,2021,1,108.252,Pre,20,Todd Curley,"Host, MKR Investor Relations",Actual results may differ materially from the outcomes contained in any forward-looking statement.,-0.006216308,0.272559818,0
RFIL,2021,1,126.436,Pre,21,Todd Curley,"Host, MKR Investor Relations","Factors that could cause these forward-looking statements to differ from actual results include delays in development, marketing or sales of products, and other risks and uncertainties described or discussed in the company's periodic reports on Form 10-K, 10-Q, and other filings with the Securities Exchange Commission.",-0.997691769,-0.725131951,0
RFIL,2021,1,131.64,Pre,22,Todd Curley,"Host, MKR Investor Relations",RF Industries undertakes no obligation to update or revise any forward-looking statements.,-0.000468959,-0.72560091,0
RFIL,2021,1,149.016,Pre,23,Todd Curley,"Host, MKR Investor Relations","Additionally, throughout this call, we'll be discussing certain non-GAAP financial measures, Today's earnings release and the related current report on Form 8K describe the differences between our non-GAAP and GAAP reporting and present the reconciliation between the two for the periods reported in the release.",-2.89E-05,-0.725629855,0
RFIL,2021,1,155.099,Pre,24,Todd Curley,"Host, MKR Investor Relations","With that, I'll now turn the call over to Rob Dawson, President and Chief Financial Officer.",-0.000658773,-0.726288629,0
RFIL,2021,1,155.799,Pre,25,Todd Curley,"Host, MKR Investor Relations",Rob?,-5.43E-05,-0.726342954,0
RFIL,2021,1,158.38,Pre,26,Rob Dawson,President and Chief Executive Officer,"Thank you, Todd.",0.082906753,-0.643436201,0
RFIL,2021,1,159.721,Pre,27,Rob Dawson,President and Chief Executive Officer,"Good afternoon, everyone.",0.238991696,-0.404444505,0
RFIL,2021,1,162.062,Pre,28,Rob Dawson,President and Chief Executive Officer,Welcome to our first quarter fiscal 2021 earnings call.,0.000119917,-0.404324588,0
RFIL,2021,1,164.829,Pre,29,Rob Dawson,President and Chief Executive Officer,Thanks for joining today.,0.425165198,0.02084061,0
RFIL,2021,1,167.191,Pre,30,Rob Dawson,President and Chief Executive Officer,I hope everyone is staying safe and healthy.,0.999988314,1.020828924,0
RFIL,2021,1,181.382,Pre,31,Rob Dawson,President and Chief Executive Officer,"I'd like to start with some general comments, then I'll briefly discuss our first quarter results, and finally I'll spend the bulk of my time on what we're seeing now and expect going forward before turning the call over to Peter to give more commentary on the financials.",2.44E-06,1.020831363,0
RFIL,2021,1,190.729,Pre,32,Rob Dawson,President and Chief Executive Officer,"Although last year has been challenging, we are optimistic about the future of our industries and our ability to thrive and return to growth.",0.999999815,2.020831178,0
RFIL,2021,1,196.503,Pre,33,Rob Dawson,President and Chief Executive Officer,The recovery in our market segments is taking longer than we'd like and our sales haven't yet returned.,-0.999684881,1.021146297,0
RFIL,2021,1,199.125,Pre,34,Rob Dawson,President and Chief Executive Officer,Excuse me.,-0.014607204,1.006539093,0
RFIL,2021,1,200.847,Pre,35,Rob Dawson,President and Chief Executive Officer,Haven't yet returned to where we want them.,-0.008134023,0.998405069,0
RFIL,2021,1,211.896,Pre,36,Rob Dawson,President and Chief Executive Officer,"And while that means it hasn't been a straight line up and to the right in our turnaround story that began at the end of 17, we believe we've set a new baseline of revenue as a platform for the next phase of our growth.",0.999993714,1.998398783,0
RFIL,2021,1,216.1,Pre,37,Rob Dawson,President and Chief Executive Officer,And that baseline is nearly double the revenue where it was a few years ago.,0.999985656,2.998384439,0
RFIL,2021,1,223.12,Pre,38,Rob Dawson,President and Chief Executive Officer,"As you saw in our earnings release this afternoon, sales for the fiscal first quarter came in just above $10 million.",0.999994315,3.998378754,0
RFIL,2021,1,230.687,Pre,39,Rob Dawson,President and Chief Executive Officer,"As I've noted before, fiscal Q1 is always our seasonally toughest quarter, and this year was no exception.",-0.999050884,2.99932787,0
RFIL,2021,1,237.012,Pre,40,Rob Dawson,President and Chief Executive Officer,"Q1 was also a shorter quarter, with five less business days compared sequentially to Q4.",-0.696918065,2.302409805,0
RFIL,2021,1,243.858,Pre,41,Rob Dawson,President and Chief Executive Officer,"With that in mind, sales declined $2.4 million compared to last year's first quarter.",-0.999999112,1.302410692,0
RFIL,2021,1,255.007,Pre,42,Rob Dawson,President and Chief Executive Officer,"But it's important to note that last year's first quarter included $2.7 million in hybrid fiber cable revenue to our large Tier 1 carrier customer, which didn't repeat this year.",-0.000862926,1.301547767,0
RFIL,2021,1,264.856,Pre,43,Rob Dawson,President and Chief Executive Officer,"So while we saw an overall decline, we partially filled the revenue hole left by that very concentrated business with sales to a more diverse and long-term customer base.",-0.971831973,0.329715793,0
RFIL,2021,1,277.524,Pre,44,Rob Dawson,President and Chief Executive Officer,"In Q1, we continued to experience a challenging environment similar to previous quarters, with project and build plan delays on the carrier side of our business, and with some OEM customers due to COVID.",-0.999999018,-0.670283224,0
RFIL,2021,1,292.191,Pre,45,Rob Dawson,President and Chief Executive Officer,"Additionally, most venues are still shut down, which impacts our distributed antenna system project business, and local and municipal approvals and permits continue to move very slowly, impacting small cell and densification build plans.",-0.999770105,-1.670053329,0
RFIL,2021,1,296.784,Pre,46,Rob Dawson,President and Chief Executive Officer,These dynamics continue to have an impact on our revenue in the quarter.,-0.263988667,-1.934041996,0
RFIL,2021,1,304.288,Pre,47,Rob Dawson,President and Chief Executive Officer,"Despite the continuing global pandemic, we were able to serve our customers and continue to invest in new initiatives and manage expenses.",0.999999812,-0.934042184,0
