tic,year,quarter,timestamp_p,section,section_id,speaker_name_P,speaker_title_P,presentation_text,finberttone_expected_value,finberttone_cumulative_tone,finberttone_change_point
TDG,2021,1,5.65,Pre,1,Operator,Conference Call Operator,"Ladies and gentlemen, thank you for standing by and welcome to the TransDyn first quarter earnings conference call.",0.00029247,0.00029247,0
TDG,2021,1,8.71,Pre,2,Operator,Conference Call Operator,"At this time, all participants are in listen-only mode.",-3.33E-05,0.00025917,0
TDG,2021,1,12.431,Pre,3,Operator,Conference Call Operator,"After the speaker's presentation, there will be a question and answer session.",-3.23E-05,0.000226884,0
TDG,2021,1,16.712,Pre,4,Operator,Conference Call Operator,"To ask a question during the session, you will need to press star then one on your telephone.",-0.000352343,-0.000125459,0
TDG,2021,1,19.892,Pre,5,Operator,Conference Call Operator,Please be advised that today's call is being recorded.,-2.15E-05,-0.00014695,0
TDG,2021,1,24.373,Pre,6,Operator,Conference Call Operator,"If you require additional assistance, you may press star then zero to reach an operator.",-5.75E-06,-0.000152702,0
TDG,2021,1,28.834,Pre,7,Operator,Conference Call Operator,"I would like to hand the call over to Jamie Seaman, Director of Investor Relations.",-0.000426261,-0.000578963,0
TDG,2021,1,29.916,Pre,8,Operator,Conference Call Operator,Please go ahead.,-0.007251452,-0.007830415,0
TDG,2021,1,38.138,Pre,9,Jamie Seaman,Director of Investor Relations,"Thank you, and welcome to Transdime's fiscal 2021 first quarter earnings conference call.",0.000178257,-0.007652158,0
TDG,2021,1,48.341,Pre,10,Jamie Seaman,Director of Investor Relations,"Presenting on the call this morning are Transdime's executive chairman, Nick Howley, president and chief executive officer, Kevin Stein, and chief financial officer, Mike Listman.",-4.11E-06,-0.007656267,0
TDG,2021,1,55.743,Pre,11,Jamie Seaman,Director of Investor Relations,Please visit our website at transdime.com to obtain a supplemental slide deck and call replay information.,4.12E-05,-0.0076151,0
TDG,2021,1,65.169,Pre,12,Jamie Seaman,Director of Investor Relations,"Before we begin, the company would like to remind you that statements made during this call, which are not historical in fact, are forward-looking statements.",-0.010085274,-0.017700374,0
TDG,2021,1,82.915,Pre,13,Jamie Seaman,Director of Investor Relations,"For further information about important factors that could cause actual results to differ materially from those expressed or implied in the forward-looking statements, please refer to the company's latest filings with the SEC available through the investor section of our website or at sec.gov.",-0.034846989,-0.052547363,0
TDG,2021,1,98.178,Pre,14,Jamie Seaman,Director of Investor Relations,"The company would also like to advise you that during the course of the call, we will be referring to EBITDA, specifically EBITDA as defined, adjusted net income, and adjusted earnings per share, all of which are non-GAAP financial measures.",-1.29E-05,-0.052560311,0
TDG,2021,1,106.742,Pre,15,Jamie Seaman,Director of Investor Relations,Please see the tables and related footnotes in the earnings release for a presentation of the most directly comparable GAAP measures and applicable reconciliation.,0.000457272,-0.052103039,0
TDG,2021,1,109.983,Pre,16,Jamie Seaman,Director of Investor Relations,I will now turn the call over to Nick.,-0.002847584,-0.054950623,0
TDG,2021,1,111.344,Pre,17,Nick Howley,Executive Chairman,Good morning.,0.580155886,0.525205263,0
TDG,2021,1,114.225,Pre,18,Nick Howley,Executive Chairman,Thanks for calling in.,0.028735266,0.553940529,0
TDG,2021,1,124.917,Pre,19,Nick Howley,Executive Chairman,"As usual, I'll start with a quick overview of our consistent strategy, a few comments about the quarter, and then Kevin and Mike will expand and give more color.",4.63E-06,0.553945163,0
TDG,2021,1,138.444,Pre,20,Nick Howley,Executive Chairman,"To reiterate, we are unique in the industry in both the consistency of our strategy in good and bad times, as well as our steady focus on intrinsic shareholder value creation through all phases of the cycle.",0.999999987,1.55394515,0
TDG,2021,1,142.567,Pre,21,Nick Howley,Executive Chairman,"To summarize, here are some of the reasons why we believe this.",0.046369459,1.600314609,0
