Question,Answer,Q_Timestamp,A_Timestamp,QA_Index,year,quarter,assertive_expected_value,assertive_cumulative_tone,assertive_change_point,cautious_expected_value,cautious_cumulative_tone,cautious_change_point,optimistic_expected_value,optimistic_cumulative_tone,optimistic_change_point,specific_expected_value,specific_cumulative_tone,specific_change_point,clear_expected_value,clear_cumulative_tone,clear_change_point,relevant_expected_value,relevant_cumulative_tone,relevant_change_point
Congratulations on a really strong quarter. First question for Luca. The gross margin was particularly strong versus your outlook. Can you talk about whether you recognize the full impact of the weaker dollar in the December quarter given your typical currency hedges? And then how are you thinking about the headwinds and tailwinds on gross margins as you go into the March quarter? Then I have a follow-up for Tim.,"Yes, Katie. So, yes, the gross margin was strong, was better than we had anticipated at the beginning of the quarter. The reason for that was obviously we had very strong leverage from higher sales, and the mix was strong, both the mix within products and the mix of services. And that was only partially offset by cost. As you know, we launched many new products during the fall, and that always comes with new cost structures. But so in total was very good. From the FX standpoint, really at the gross margin level, FX didn't play a role, neither sequentially nor on a year-over-year basis for the December quarter. partially because of the hedges, as you talked about, but also because some currencies are still weaker against the dollar. They're still weaker than a year ago. Look specifically to emerging markets in Latin America, in Russia, in Turkey and so on. Clearly, if the dollar remains weak or continues to weaken, that can become a tailwind for us as we get into into the March quarter. At current rates, we expect some level of benefit around 60 to 70 basis points for the March quarter.",1938.375,2023.01,1,2021,1,0.4409999999999999,0.4409999999999999,0,-0.0699999999999999,-0.0699999999999999,0,0.4630000000000001,0.4630000000000001,0,0.946,0.946,0,0.911,0.911,0,0.955,0.955,0
"That's great. And Tim, one of the challenges with valuing Apple is just the limited visibility that investors have into the roadmap and any new categories that you might enter over time. without, of course, commenting on any given opportunity. Can you talk about the framework that you use internally to evaluate new markets that might be attractive and what you believe will determine your success as you look to enter new markets?","Thanks, Katie, for the question. And thanks for not asking me any specifics. The framework that we use is very much around We ask ourselves if this is a product that we would want to use ourselves or a service that we would want to use ourselves. And that's a pretty high bar. And we ask ourselves if it's a big enough market to be in, unless it's an adjacency product of which we're looking at it very much from a customer experience point of view. And so, there's no set way that we're looking at it, you know, the note formula kind of thing. But we're taking into account all of those things. And the kind of things that we love to work on are those where there's a requirement for hardware, software, and services to come together because we believe that the magic really occurs at that intersection. And so hopefully that gives you a little bit of insight into how we look at it. And I think we have some really good opportunities out there. And I think if you look at our current portfolio of products, we're... you know, we still have relatively low share in a number of cases in very big markets. And so, we feel like we have really good upside there and we feel like we have a really good upside in the services area too that we've been working on for quite some time with, you know, four or five new services just coming online in the last year plus. And so. Yep.",2054.541,2167.486,2,2021,1,0.543,0.984,0,-0.061,-0.1309999999999999,0,0.569,1.032,0,0.687,1.633,0,0.906,1.817,0,0.975,1.93,0
"Yes, thank you. Luca, the iPhone growth exceeded your expectations despite a late launch. Can you maybe share some color on what drove that? Was it more on the unit side or the ASB side you referred to, to very strong mix? a couple of times on the call. And how does this change your view on the March quarter? And if you could share any color, if you're still supply constrained, and I will follow up with him.","Yeah, yes, certainly iPhone was one of the major factors why we exceeded our own internal expectations at the beginning of the quarter. We have a fantastic product lineup and we know that, and it's been fantastic to see the customer response for the four new models, particularly the Pro models, the Pro and the Pro Max. So we've done very, very well, both on units and on pricing because of the strong mix. And we've had some level of supply constraints as we went through the quarter, particularly on the Pro and the Pro Max. As you said correctly, we launched these products in the middle of the quarter, two models after four weeks, the other two models after seven weeks. And so obviously we had a very steep ramp, which fortunately went very, very well. The products are doing very well all around the world. I think you've seen that our performance has been particularly strong in China, where we've seen phenomenal customer response. Probably there was also some level of pent-up demand for 5G iPhones, given that the market is moving very quickly to 5G. And so as we look ahead into the March quarter, we're very optimistic. We believe we're going to be able to be in supply-demand balance for all the models at some point during the quarter. And it's, you know, the product is doing very well all around the world.",2207.957,2310.832,3,2021,1,0.502,1.4859999999999998,0,-0.066,-0.1969999999999999,0,0.6829999999999999,1.715,0,0.903,2.536,0,0.869,2.686,0,0.926,2.856,0
"Great. And Tim, you mentioned about the strength of the install-based performance, which continues to grow very impressively at this scale. Can you maybe help us think through how the switcher versus upgrade activity has been tracking in recent quarters? Would love to get your thoughts on that.","Yeah, thanks for the question. If you look at this past quarter, which, you know, we started selling two of the iPhones four weeks into the quarter and the other two seven weeks into the quarter. So I would caution that this is an early going. But in looking at the iPhone 12 family, we saw both switchers and upgraders increase on a year-over-year basis. And in fact, we saw the largest number of upgraders that we've ever seen in a quarter. And so, we were, you know, very thrilled about that.",2332.54,2373.396,4,2021,1,0.414,1.9,0,-0.071,-0.2679999999999999,0,0.621,2.336,0,0.119,2.655,0,0.912,3.598,0,0.965,3.821,0
"Thank you very much. Tim, can you talk a bit about what you're seeing in China? Clearly significant sequential growth, which I think has a lot to do with iPhone. But I'm curious, both from an iPhone as well as, you know, your other product categories, what you're seeing and, you know, how much back to normal you think the Chinese market is. And then I have a follow up.","Yeah, China was more than an iPhone story. iPhone did do very well there. And sort of like the world, if you look at both switchers and upgraders, we were up year over year, and China also had a record number of upgraders during the quarter, the most we've ever seen in a quarter. I think probably some portion of this was that people probably delayed purchasing in the previous quarter as rumors started appearing about an iPhone Keep in mind that 5G in China is that the network is well established and the overwhelming majority of phones being sold are 5G phones. And so, I think there was some level of anticipation for us delivering an iPhone with 5G. And so, iPhone did extremely well. However, the other products did as well. I mean, we could not have turned in a performance like we did with only iPhone. iPad did extremely well, far beyond the company average. Mac was above the company average. Wearables, home and accessories was above the company average. And so if you really look at it, we did really well across the board there. In terms of COVID, I think they're, at least for last quarter, they were sort of beyond COVID and very much in the recovery stage. This quarter, there are different reports about some cases in some places and lockdowns occurring, but we have not seen that in our businesses yet. Of course, those cases are much smaller than the ones in other countries.",2408.819,2533.273,5,2021,1,0.47,2.37,0,-0.0669999999999999,-0.3349999999999998,0,0.642,2.978,0,0.928,3.583,0,0.86,4.458,0,0.974,4.795,0
"I guess the other thing I was curious about, with regard to the services business, you know, if we could dig a little bit more, I think this is one of the first times When, Luca, you talked about Apple TV+, Arcade, Apple Pay, some of the smaller services actually kind of moving the needle. And then I was also curious, you had a number of stores closed at least later in the quarter, and that typically has impacted some of your AppleCare revenue, and yet you outperformed. So maybe if you could talk a bit more about the drivers of the services revenue.","Yeah, I mean, it really has been strong across the board. There are two businesses during COVID that have been impacted negatively. And then we talked about it in the past. So one is AppleCare. Obviously, when the stores are closed, it's tougher, of course, for customers to have the interaction with us and advertising, which is, you know, it's in line with the the overall level of economic activity. What happened during the December quarter is that in-store traffic improved. And so AppleCare, we grew. We didn't grow as much as company average, but we grew in AppleCare. set an all time record there in spite of the fact that, yes, we are running particularly in December, we started closing a few stores, particularly here in the United States, but also in Western Europe. But in total, we were able to serve to support more customers than in past quarters. And we also saw a sequential acceleration in advertising. And so that also helped the overall growth rate. Clearly, the strength was in digital services, in the App Store, in cloud services, in music. Those were the services that really delivered very, very strong performance. And it's something that we've seen happen during the COVID environment.",2573.413,2659.61,6,2021,1,0.513,2.883,0,-0.071,-0.4059999999999998,0,0.602,3.58,0,0.1119999999999999,3.695,0,0.898,5.356,0,0.955,5.75,0
"Yes, thank you. I also have one for Luca and one for Tim. Luca, I was wondering if we could just probe a little bit more into iPhone. Maybe you can just, you talked about a drawdown in channel inventory last quarter. Our iPhone channel inventory is sort of at normal levels now exiting Q1. And should we be thinking about above seasonal iPhone growth, given that you're still not in supply-demand balance and you had fewer selling days in fiscal Q1? Should we be thinking about sort of above seasonal iPhone growth looking into Q2? Yeah.","So on the December performance, as you know, Tony, this was a very different cycle because we launched at a different time than usual. And so we had an initial part of the quarter where obviously we didn't have the new phones. And then as we launched, uh the new phones we also did the channel field that typically happens to a certain extent in the in the september quarter at the end of the quarter and the demand has been very strong and so we've been constrained as i said on on especially in the pro models at the end of december we exited with a level of iphone channel inventory which was slightly below a year ago And we still had some level of supply constraints, which we believe we're going to be able to solve during the March quarter. In terms of the sequential change, we talked about, during the prepared remarks, we talked about total company average, and we said that we expect that sequential progression to be Similar to the typical seasonality that you've seen in past years. Certainly last year is not typical because of COVID. But if you go back, you know, fiscal 17, 18, 19, you know, that's our typical seasonal progression. And we mentioned a couple of product categories, services, and wearables, where we're going to be having a slightly more difficult compare. And so I think you can draw your conclusions around iPhone.",2717.398,2821.231,7,2021,1,0.44,3.323,0,-0.0619999999999999,-0.4679999999999997,0,0.133,3.713,0,0.875,4.57,0,0.882,6.238,0,0.967,6.717,0
"Okay. Thank you for that. And then, Tim, I was wondering if you could just comment more broadly around growth for Apple and sources of growth. The company, you know, this year is going to be well over $300 billion in revenue. Historically, you've eschewed acquisitions. And I'm wondering if you could comment whether you still feel confident that Apple has Apple organic growth opportunities and that you don't believe acquisitions are an important source of growth. And then I think perhaps most importantly, as you look out, let's say, over the next five years, what do you think is a realistic revenue growth rate for Apple going forward? Thank you.","Yeah, Tony, as you know, we give some color on the current quarter, but not beyond that in terms of growth rates. So I'll punt that part of your question. But if you back up and look at the sort of the ingredients that we have at this point, We have the strongest hardware portfolio that we've ever had. And we have a great product pipeline for the future, both in products and in services. We have an install base that has hit new highs that we just talked about earlier in our opening comments. And we're still attracting a fair number of switchers and, of course, upgraders. We just set an all-time services record. And we have that install base to compound that, and particularly with the added services that we've had over the last year or so, that as they grow and mature will contribute even more to the services revenue stream. And on the wearable side, we've brought this thing from zero to a Fortune 120 company, which was no small feat. But I still think that we're in the early stages of those products. If you look at our share in some of the other products, whether you look at iPhone or Mac or iPad, you find that the share numbers leave a fair amount of headroom for market share expansion. And this is particularly the case in some of the emerging markets where we're proud of how we've done but there's a lot more headroom in those markets. Like if you take India as an example, we doubled our business last quarter compared to the year ago quarter, but our absolute level of business there is still quite low relative to the size of the opportunity. And you can kind of take that and go around the world and find other markets that are like that as well. And of course, the other thing from a market point of view is we've been on a multi-year effort in the enterprise and have gained quite a bit of traction there. You've heard some of the things in Lucas' comments today, and we comment some on it each quarter. you know, very optimistic about what we can do in that space. And then of course, we've got new things that we're not going to talk about that we think will contribute to the company as well, just like other new things have contributed nicely to the company in the past. So we see lots of opportunity. Thank you for the question.",2871.995,3054.791,8,2021,1,0.513,3.836,0,-0.062,-0.5299999999999997,0,0.6409999999999999,4.354,0,0.943,5.513,0,0.835,7.073,0,0.972,7.689,0
"Perfect. I have two questions as well. I guess starting with you, Luca, I just wanted to go back to the gross margin discussion. We really haven't seen gross margins at this level, high 39, I think since 2016. Could you maybe step back and talk about what has enabled this shift higher? What are the key drivers to get you there? And is commodity tailwinds or insourcing of some components really a big part of this? So just love to understand the durability of the gross margin at these levels and what are the big drivers that got us here?","Well, Hamid, Of course, when you grow the way we've grown this quarter, 21%, it's obviously we have a certain level of fixed cost in our product structures, right? And so a high level of sales helps margin expansion without a doubt. And so that has been probably the biggest factor, to be honest. And then As I was saying earlier, we've had across the board, in services, in every product category, we've had a very strong mix of products. We were talking about the iPhone, the Pro and the Pro Max, and that's been pretty much the case in every product category. So the mix has also been very good. The commodity environment is fairly benign. And the one thing that has not affected us this time around is the effects that it's true. It has not been a tailwind yet for the reasons that I was explaining to Katie, but at the same time, it has not been a negative. And the reality is that FX for us has been a negative over the last five or six years, almost, almost every quarter. And so that has, that has changed. And that obviously makes a difference.",3096.175,3173.749,9,2021,1,0.499,4.335,0,-0.0699999999999999,-0.5999999999999996,0,0.512,4.866,0,0.933,6.446,0,0.879,7.952,0,0.955,8.644,0
"Got it. Um, And then, Tim, when I look at the growth rates on Mac and iPads, they've been in the 20% to 40% range for the last three quarters, and I suspect some of this is just folks contending with the pandemic. But I'd love to understand, when you look at these growth rates, how much of this do you think is replacement cycle-driven folks upgrading what they have at home versus new customers and new folks that are coming into the Apple ecosystem? And do you see, I guess, what sort of growth rates do you think is more durable or predictable as we go forward over here?","If you look at the switcher or the switcher, if you look at the new to Mac and new to iPad, these numbers are still about at a worldwide level, about half of the purchases are coming from people that are new. And so the install base is still expanding with new customers in it. And so that's true on both iPad and Mac. If you look at Mac, the M1, I think, gives us a new growth trajectory that we haven't had in the past. Certainly, if Q1 is a good proxy, there's lots of excitement about M1-based Macs. As you know, we're partly through the transition. We've got a lot more to do there. We're early days of a two-year transition, but we're excited about what we see so far. The iPad, as we went out with the iPad Air, And we now have the best iPad lineup we've ever had. And it's clear that some people are using these as laptop replacements. Others are using them as complimentary to their desktop. But the level of growth there has been phenomenal. You look at it at 41%. And yes, part of it is work from home and part of it is distance learning. But I think I wouldn't underestimate how much of it is the product itself in both the case of iPad and Mac. And, of course, our share in the Mac is quite low for the total personal computer market, and so there's lots of headroom there.",3207.886,3314.994,10,2021,1,0.5680000000000001,4.903,0,-0.061,-0.6609999999999996,0,0.6779999999999999,5.544,0,0.952,7.398,0,0.915,8.867,0,0.971,9.615,0
