tic,year,quarter,timestamp_Q,timestamp_A,timestamp_et_q_start,timestamp_et_q_end,timestamp_et_a_start,timestamp_et_a_end,section,speaker_name_Q,speaker_title_Q,question_text,speaker_name_A,speaker_title_A,answer_text,assertive_label,assertive_score,cautious_label,cautious_score,optimistic_label,optimistic_score,specific_label,specific_score,clear_label,clear_score,relevant_label,relevant_score,sent_section_id,qa_assertive_signed,qa_cautious_signed,qa_optimistic_signed,qa_specific_signed,qa_clear_signed,qa_relevant_signed,qa_assertive_cumulative,qa_cautious_cumulative,qa_optimistic_cumulative,qa_specific_cumulative,qa_clear_cumulative,qa_relevant_cumulative,qa_assertive_sentence_level_CP,qa_cautious_sentence_level_CP,qa_optimistic_sentence_level_CP,qa_specific_sentence_level_CP,qa_clear_sentence_level_CP,qa_relevant_sentence_level_CP
AVGO,2021,1,1128.163,1364.839,2021-03-04 17:18:26.395000-05:00,2021-03-04 17:18:48.163000-05:00,2021-03-04 17:18:48.163000-05:00,2021-03-04 17:22:44.839000-05:00,QA,Ross Seymour,Deutsche Bank,"Hi, guys. Thanks for letting me ask a question. Hawk, some good color on the supply side of the equation and a little bit about your lead times extending. I wanted to dive a little bit into that. Last quarter you talked about a backlog. I think the number was $14 billion. Can you talk a little bit about the composition of your backlog today, how it is on an absolute level, and the sustainability of it as investors are wondering if this demand is just too good to be sustainable, and what does it mean to excess bookings, double ordering, that sort of inventory digestion that will inevitably follow thereafter?",Hock Tan,President and CEO,"Well, that's a very interesting question, a very, very appropriate question at this time. And as I said, we have had, as I indicated, we started this process almost nine months ago of seeing demand that are quite strong, and we started a process of thinking how we best ensure very, very good use of our supply chain capacity. And basically, as I said, we went through this process rigorously scrubbing our backlog. And by the way, our entire backlog, virtually our entire backlog, follow a set of terms, a key set of terms we mentioned before, which is non-cancellable for any of the customers who booked us. And they still apply, more so than ever. So double bookings, from our point of view, it's never been an issue. And as we stretch out lead times, we are seeing customers, obviously, booked for delivery dates, for customer request dates that are further out. So that makes sense, too. And that's why it makes the process of being able to match customer consumption as close as we could do it against what we supply to be something that makes sense. And we've done that, and I think we are fairly, we could always do better, but we feel pretty good that we have a reasonable process in place that ensures that our customers get their products. And maybe just in time, but they do get their products when they need it. And we believe we have managed this process of supply, demand, and imbalance very, very well as I indicated. And in fact, as I meant to repeat the point I highlighted, our revenue year on year in Q1 was up 17%, but as I also indicated, our bookings was up 63%. That by itself proves there is a lot of demand, and people are booking out very far. We are virtually 90% booked for 2021. And if you laid out what they need, and we believe This is real, because they can't cancel it. And obviously in order to reach that point, to one of your points, has our backlog as we begin Q2 increased from when we began Q1? Yes, it has. It has, and quite significantly. As we start to see lead times even stretch out more. And the strength, we believe, of our products not only products that are incumbent and used today, but what is coming down the pipe as next generation products, which have already released, but await launching, is proven by the fact that we have customers, many of them, and reflecting our backlog, who are willing to book out for delivery of those products out through the rest of 2021.",positive,0.652,neutral,0.609,positive,0.67,positive,0.929,positive,0.91,positive,0.977,1,0.652,0.0,0.67,0.929,0.91,0.977,0.652,0.0,0.67,0.929,0.91,0.977,0,0,0,0,0,0
AVGO,2021,1,1419.954,1484.627,2021-03-04 17:22:44.839000-05:00,2021-03-04 17:23:39.954000-05:00,2021-03-04 17:23:39.954000-05:00,2021-03-04 17:24:44.627000-05:00,QA,Harland Sir,JP Morgan,"Good afternoon. Thanks for taking my question. Hawk, you know, the biggest concern by investors right now is your ability to drive growth in the seasonally stronger second half of your fiscal year, your July and October quarters. when you start to ramp into your flagship smartphone customers. If I just apply normal seasonal trends in wireless combined with, let's say, sustained networking strength and, as you mentioned, recovery and storage, that would get me revenues in the second half in that sort of $6.7 billion range. And now I'm not asking you to endorse those numbers, but I guess the question is, from a supply chain perspective, has the team secured enough capacity to drive higher revenues in July and October quarter if your backlog supported that profile?",Hock Tan,President and CEO,"You are really asking me to guide you, don't you? And I'm not guiding you. But I do understand your question, and you have seen in my prepared remarks just earlier of where we see ourselves planning are the trend to go. I've also specifically mentioned where we are manufacturing like FBAR in-house, which is a big part of what is the upcycle in the seasonal upcycle in the back half on wireless side that we have put in place, the capacity to handle it. The simple answer to your question is Yes, we have done a decent job, as I said, over the last six months, and we continue to do a decent job of being able to meet the critical needs of all our customers.",positive,0.574,neutral,0.667,neutral,0.54,positive,0.912,positive,0.884,positive,0.969,2,0.574,0.0,0.0,0.912,0.884,0.969,1.226,0.0,0.67,1.8410000000000002,1.794,1.946,0,0,0,0,0,0
AVGO,2021,1,1520.123,1540.97,2021-03-04 17:24:44.627000-05:00,2021-03-04 17:25:20.123000-05:00,2021-03-04 17:25:20.123000-05:00,2021-03-04 17:25:40.970000-05:00,QA,Vivek Arya,Bank of America Securities,"Thanks for taking my question. Hawk, you mentioned you expected this 30%, 40% kind of year-on-year growth rates in wireless to sustain in the back half. I was hoping if you could give us some color on what kind of content growth you are expecting this year. And then looking forward, how much does Broadcom benefit from all these C-band spectrum auctions that were conducted recently? I assume that's more of an out-of-year benefit.",Hock Tan,President and CEO,"On the latter part, yes, it's an alpha, yes. These things don't get implemented so fast. And on the former part of your question, I can answer that. I'm sorry for obvious reasons. It's too early. We'll tell you about it when the time is appropriate.",neutral,0.514,neutral,0.708,neutral,0.853,neutral,0.517,positive,0.716,positive,0.815,3,0.0,0.0,0.0,0.0,0.716,0.815,1.226,0.0,0.67,1.8410000000000002,2.51,2.761,1,0,0,1,0,0
AVGO,2021,1,1571.468,1634.325,2021-03-04 17:25:40.970000-05:00,2021-03-04 17:26:11.468000-05:00,2021-03-04 17:26:11.468000-05:00,2021-03-04 17:27:14.325000-05:00,QA,John Pitzer,Credit Suisse,"Yeah, thanks for letting me ask the question. Hawk, I just want to get back to the supply-demand imbalance. You did a really good job kind of explaining how you guys are trying to cull your backlog. I'm kind of curious, as you look out over the next couple of quarters, when do you think supply will catch up to demand enough, such as your customers don't feel obligated to have to build that cushion?",Hock Tan,President and CEO,"Another way of answering that question, John, I think is When you see lead time to reduce, maybe to reduce and perhaps normalize, that's probably the other way of looking at that equation. And right now, I don't know the answer to that. What we do know is we have extended lead time today in place, and we've been extending the lead time over the past several months, as I indicated. And we have a fairly extended lead time today. And we're getting the bookings from the customer. And when the bookings disappear is probably when you know you're headed to a situation of demand starting to disappear. We have not reached that point yet. Far from it at this point.",positive,0.536,neutral,0.644,neutral,0.721,neutral,0.657,positive,0.734,positive,0.706,4,0.536,0.0,0.0,0.0,0.734,0.706,1.762,0.0,0.67,1.8410000000000002,3.2439999999999998,3.4669999999999996,0,0,0,0,0,0
AVGO,2021,1,1677.744,1830.257,2021-03-04 17:27:14.325000-05:00,2021-03-04 17:27:57.744000-05:00,2021-03-04 17:27:57.744000-05:00,2021-03-04 17:30:30.257000-05:00,QA,Stacy Rescon,Bernstein Research,"Hi, guys. Thanks for taking my question. So, Hawk, you're saying that you're stretching out lead times. I get it, but I think before you told us the lead times were six months. So if you're stretching them out, where are they actually sitting today, and how does that maybe vary by end mark? And I guess to that end, you said you're kind of convinced that what you're shipping now sort of represents end-user consumptions. How do you actually have any visibility into that? And do you think the users, I mean, are the products actually going into end products? How do you know the users aren't stockpiling them and ordering them while they can? How do you have any visibility into what they're doing with them?",Hock Tan,President and CEO,"That's a hell of a good question, by the way. And it cuts to the core of the work we've been doing. We've never been working harder simply because, number one, it's Don't forget, we do supply, I mean we supply a range of products and we do supply to a bunch of customers. But keep in mind, if I could remind you of the business model we have built up, the structure we have built up. We provide technology leadership products in multiple verticals, mostly connectivity, into the IT space. And where we are, we're the leader. Where we play, we tend to be leader. And we play with leading customers worldwide. We know who those guys are. We know their level of consumption. And in many areas where we go, and we're talking end user demand. We're not talking about middlemen like distributors for sure. We indicated we don't, for our leading customers, we don't go to distributors. And for OEMs, we track that because who they sell that end demand, that goes for our products to OEMs. is where it counts at the end of the day. And in many cases, in one segment in particular, server storage, but it also applies to some extent and part of our networking business and to a much lesser extent in our broadband business, for sure. We actually see the difference in terms of whether it's just inventory depletion at original equipment manufacturers or even buffer inventories sitting in end users versus actually using the products in the same quarter we ship them the products. We track that. And that's really, and for us, it's not that complex when you think about our revenues. In semiconductors, 75% of our revenues really goes to just over 100 customers worldwide. We can track that.",positive,0.635,neutral,0.63,neutral,0.737,positive,0.677,positive,0.889,positive,0.978,5,0.635,0.0,0.0,0.677,0.889,0.978,2.3970000000000002,0.0,0.67,2.5180000000000002,4.133,4.445,0,0,0,0,0,1
AVGO,2021,1,1864.382,2011.176,2021-03-04 17:30:30.257000-05:00,2021-03-04 17:31:04.382000-05:00,2021-03-04 17:31:04.382000-05:00,2021-03-04 17:33:31.176000-05:00,QA,Craig Hettenbach,Morgan Stanley,"Yes, appreciate the color on the software bookings relative to revenue. Now that you have Symantec for a year and CA for a couple years, can you just talk about the confidence of the growth rates on a longer-term basis that you're talking about? I know you touched on the 90% recurring, but just really how the global logic counts or how that transition is playing out.",Hock Tan,President and CEO,"Yes. As I indicated in my prepared remarks on some of the key metrics we go by, we feel very, very good about those two. We feel very good that things are moving along, tracking along where we, both the business and financial model, where we expect them to go, which is about focusing on core customers and truly uplifting capacity, entitlements, products, to those core customers across our portfolio. And you've seen the metrics we indicated, the increase. And on non-core, what I said previously is we do see a level of attrition manageable, but it won't. And as the attrition is offset by improvement in core, we expect to be able to reach a stabilization, as I said, around mid-single digits on a very consistent basis. And we have seen that two years now, that we have gone through over two years now, and we've seen that happen. We have seen eight quarters, nine quarters to be exact, of that level of performance, and it's a great line of sight. The other thing I might add that is also interesting, and I know stating the obvious to some extent is, most of all our customers, if not all of them, are enterprises, even in this environment. You heard what I thought about enterprise in semiconductors and how the different approach, the different characteristics and behavior enterprises have in terms of demand requirements in this environment of a pandemic work from home compared to telcos, broadband, and public cloud. We don't see that in software, in the infrastructure software we have, simply because these are mission-critical products, tools, embedded in the business process of these largest enterprises in the world who, if anything else during this environment, consume more of those products rather than less.",positive,0.632,neutral,0.655,positive,0.675,positive,0.94,positive,0.93,positive,0.976,6,0.632,0.0,0.675,0.94,0.93,0.976,3.029,0.0,1.3450000000000002,3.458,5.063,5.420999999999999,0,0,1,0,0,0
AVGO,2021,1,2048.611,2142.454,2021-03-04 17:33:31.176000-05:00,2021-03-04 17:34:08.611000-05:00,2021-03-04 17:34:08.611000-05:00,2021-03-04 17:35:42.454000-05:00,QA,Timothy Arcuri,UBS,"Hi, thanks a lot. I guess I also had a question on the supply-demand. Hawk, you know, orders obviously were up quite a bit in fiscal Q1, you know, Q1Q, given that revenue was up and backlog, I think you said, was up significantly. So as you look into fiscal Q2, wireless orders are obviously going to come down a lot. So I'm wondering if orders in the other parts of the business are going to be strong enough such that total orders will be up in fiscal Q2.",Hock Tan,President and CEO,"Again, thanks. Tim, when you say orders, and I hear you say orders, let me say the orders as we ramp up to this current generation of phones, for large North American customer as we ramp it up for this current generation. Bookings started ramping up as early as Q3, really shot up in Q4, and started declining late Q4 and Q1. So bookings was already declining. And when I indicated Q1 bookings, year-on-year improvement of 80%, And what I'm also saying is that is netting out a decline in bookings of our wireless in a fairly substantial manner, as you would expect seasonally. So the answer is yes. What we are seeing, what I'm reflecting out to you guys, the extent I show those bookings of revenue is the bookings that we're showing in Q1 which is fairly strong, reflects declining bookings in wireless as we all fully expect seasonally during that timeframe.",positive,0.565,neutral,0.707,neutral,0.679,positive,0.655,positive,0.909,positive,0.977,7,0.565,0.0,0.0,0.655,0.909,0.977,3.594,0.0,1.3450000000000002,4.113,5.972,6.398,0,0,1,0,0,0
AVGO,2021,1,2174.589,2292.333,2021-03-04 17:35:42.454000-05:00,2021-03-04 17:36:14.589000-05:00,2021-03-04 17:36:14.589000-05:00,2021-03-04 17:38:12.333000-05:00,QA,Toshia Hari,Goldman Sachs,"Thanks so much for taking the question. Hawk, I wanted to ask about capital allocation. You know, the dividend component is pretty predictable, but outside of the dividend, how are you thinking about, you know, paying down debt, buying back stock, and M&A and software? You know, the markets are clearly, you know, very volatile right now, but how are you thinking about those three buckets on a relative basis? Thank you.",Hock Tan,President and CEO,"That's a very interesting question. I was wondering when one of you guys will get to that, and sure enough, you're right. We are accumulating cash, and you heard Kirsten say, Mention it. We are generating cash. In Q1, we generated $3 billion of cash. And Q1 or so is the time we pay out bonuses to all our employees. So if I normalize that, we're generating at $3.5 billion a quarter. It's a free cash flow. So half of it goes to dividends, or almost half of it, as you correctly said, so that we determine. And the other half, for now, we are putting into an increasing cash portfolio. And you're right. We endowed business model and strategy, as you know, long-term is to acquire and add on to our portfolio, add on to our earning stream for our shareholders. and we take that very seriously, and we continue to look at it very seriously. And this takes time, and we continue to look at it, and we will take an approach, my point, that we would be somewhat flexible to, that as we accumulate cash, and by end of this fiscal year, we haven't done an acquisition, Well, obviously, take a hard look at our two other choices. One is pay down debt, and that may even happen before then, pay down debt. But interest rates are very low, and money is very available, and we're still very investment-grade. And the other alternative is buyback shares. And all of these are open.",positive,0.617,neutral,0.65,positive,0.501,positive,0.917,positive,0.845,positive,0.963,8,0.617,0.0,0.501,0.917,0.845,0.963,4.211,0.0,1.846,5.03,6.817,7.361,0,0,0,0,0,0
AVGO,2021,1,2327.459,2440.204,2021-03-04 17:38:12.333000-05:00,2021-03-04 17:38:47.459000-05:00,2021-03-04 17:38:47.459000-05:00,2021-03-04 17:40:40.204000-05:00,QA,Blaine Curtis,Barclays,"Hey, good afternoon. Thanks for taking my question. Hawk, I was just curious a little bit more on the wireless. We don't have the right compares year over year. So maybe if you just give us a little color as to what you're expecting. I just don't know what that 30% to 40% year over year really kind of compares to. So maybe just some color as to what you're seeing for that wireless channel versus normal seasonal patterns that would help us kind of dial in as to what you're really saying for April.",Hock Tan,President and CEO,"Well, I ain't saying... indicated in my prepared remarks when it comes to wireless. This is for 2021. Don't forget there is some timing adjustment by quarter to blame in the sense that what used to be a peak quarter in our wireless seasonality of a fiscal Q4 in In this recent generation, the peak quarter, as I indicated, became Q1 of 21. So obviously, things roll down perhaps somewhat slower. And because we're also assuming, as it rolls down slower in the course of fiscal 21, that we have to assume, for lack of knowing no better, that we might be back to a normal seasonal cadence of a wireless launch of new phones and assume that you will be back to that normal cadence. So 21 might look kind of compressed, don't you think? So in terms of revenue, in terms of availability of a market for us to address. And then couple that with a content increase between 20 and 21, you therefore could understand why I indicated that for the rest of 21, begin to look like a fairly significant 30 to 40% increase on a year-on-year basis as we run through the remaining quarters of 21.",positive,0.501,neutral,0.694,neutral,0.757,positive,0.964,positive,0.926,positive,0.969,9,0.501,0.0,0.0,0.964,0.926,0.969,4.712,0.0,1.846,5.994,7.743,8.33,0,0,0,0,0,0
AVGO,2021,1,2476.57,2512.843,2021-03-04 17:40:40.204000-05:00,2021-03-04 17:41:16.570000-05:00,2021-03-04 17:41:16.570000-05:00,2021-03-04 17:41:52.843000-05:00,QA,CJ Muse,Evercore,"Yeah, good afternoon. Thank you for taking the question. I guess wanted to dig a little into your EBITDA margin guide. And, you know, it would suggest that, you know, either gross margins are flat, which would not seem likely given the fall off in wireless or OpEx is moving higher. Can you kind of walk through the moving parts there? And, you know, as part of that, can you help us understand how to model gross margins and outbacks through the remainder of the fiscal year.",Kirsten Spears,Chief Financial Officer,"So in Q1, we said that from year over year, gross margins were up 30 basis points. And that's largely because of wireless. So when you look at Q2, we'll have less wireless revenues in the margin mix. And so therefore, look back at Q4, how I would model Q2. And then as you look at margins for the rest of the year, it would be similar. to Q2. Look back at Q4 and then consider the fact that we'll have, you know, probably more normal seasonality on wireless towards the second half.",positive,0.479,neutral,0.721,neutral,0.679,positive,0.576,positive,0.933,positive,0.972,10,0.479,0.0,0.0,0.576,0.933,0.972,5.191,0.0,1.846,6.57,8.676,9.302,0,0,0,0,0,0
