Question,Answer,Q_Timestamp,A_Timestamp,QA_Index,year,quarter,assertive_expected_value,assertive_cumulative_tone,assertive_change_point,cautious_expected_value,cautious_cumulative_tone,cautious_change_point,optimistic_expected_value,optimistic_cumulative_tone,optimistic_change_point,specific_expected_value,specific_cumulative_tone,specific_change_point,clear_expected_value,clear_cumulative_tone,clear_change_point,relevant_expected_value,relevant_cumulative_tone,relevant_change_point
"Hey, good morning, everyone. Good morning. I appreciate that you're not going to want to give full year guidance at this point, but the second quarter revenue guide was quite strong, I thought, relative to what I was expecting, particularly relative to the first quarter. So can you help me frame out how you're thinking about that trajectory into the back half of the year if these current trends continue? And if it's not a revenue commentary, maybe just help me think about sort of capacities you're exiting 2021.","So let me start, Hunter, and then I'll let Jose answer. uh had some comments so i think as we have mentioned in the past it's really very very difficult to predict the future under the present conditions that we're dealing with including travel restrictions by by many countries and shifting demand patterns and that's why we're only talking about q2 and not the rest of the year but we have enough flexibility in our fleet to add capacity on short notice as we see demand coming in. So we would expect for the second half of the year to maybe this growth trend that we're talking to between Q1 and Q2 to accelerate somewhat, maybe even as much as doubling the growth pace that we're seeing right now, but it's really hard to predict as we speak. Yeah, I think that, Hunter, demand is increasing as of today, but we have seen this before, and, you know, there's still a level of uncertainty in terms of the behavior of the virus in the region. So things are still volatile, as Pedro mentioned. But, you know, as of today, for the second half, we could see sort of the same trend that we're seeing sort of the first quarter into the second half as well. But that's, again, we have to just really be mindful that it is the picture that we have today.",817.083,913.535,1,2021,1,0.384,0.384,0,-0.064,-0.064,0,0.364,0.364,0,0.8,0.8,0,0.814,0.814,0,0.968,0.968,0
"Yes, good morning, everybody, and thanks for taking my question. Just one or two quick ones for me. You know, I was intrigued, Pedro, you mentioned, you know, the kind of inability in my mind to do point-to-points. especially in that region. But what sort of competitive trends or opportunities are you seeing for Wingo? And then the second question, if you could just refresh my memory, you guys have been running four daily flight banks, and you're going to six by the end of June, if I heard that correctly?","Yeah, that is correct. I'll start with the second question. So we've operated a six-bank hop since – Since 2011, we've been operating at six banks. We've obviously reduced all of that since the pandemic started. But we're going back in June. By the end of June, we'll be back at six banks. So at least that's our intention, which will give us a lot more flexibility in putting together a better network or scheduling flights in a more efficient and effective way. So it's not that that's going to drive our growth, but it will drive a better schedule and better rotation of aircraft for the remaining of the year. And then in terms of Wingo, so Wingo started pre-pandemic with four 737-800s. and is now operating six 727-800. So they've actually increased capacity by about 50% since the pandemic started and have opened a few new domestic and international stores. So they're still affected by the pandemic. Colombia, of course, is still affected, even though domestic markets have recuperated a little bit better than international markets. But Wingo did see an opportunity to strengthen their network, and they've done so.",957.936,1054.556,2,2021,1,0.4639999999999999,0.8479999999999999,0,-0.068,-0.132,0,0.342,0.706,0,0.931,1.731,0,0.863,1.677,0,0.955,1.923,0
"Hi, thanks for taking my question. Perhaps it's kind of a little early to tell, but can you please provide some color on the path to recover your profitability levels after COVID? How should we expect yields to perform in light of lower corporate demand and perhaps with weaker effects and higher old prices, how are you going to pivot from low margins to the margins that you have pre-COVID? Thank you.","Yeah, Pablo, this is Jose here. So I would say that, you know, we have to take a basis on where do we think, what's the path to sort of bring our revenues, our unit revenues, from the place where they are today into a lower dilution and how we match our capacity to sort of that revenue environment. So I think that if we assume that in the medium term our unit revenue dilution is sort of in the mid-teens, we could reach an operating P&L break-even at 60% of our pre-COVID capacity. I think that taking that a further step, if we were to assume a, you know, univariate use being at their pre-COVID levels, we could reach our pre-COVID level of operating margins in the teens at a much lower capacity that we had uh than than the pre-code 19 levels we could be at maybe you know 60 to 70 percent of our pre-code capacity assuming uh zero revenue dilution, we will be achieving our pre-COVID sort of mid-teen operating margin levels. So that's, I mean, just to give you some of the frameworks where we are at. And of course, that's a function of all the efficiencies that we're working in in terms of our costs going forward. And Pablo, I'll add to that. You asked for some color. So... you know, a lot of the work we've put in since the pandemic started to make the company more cost efficient is with the new reality that you referred to in our mind. So if there's going to be less business traffic for a while, yields are going to be affected, but if we can deliver lower cost, which is our intention, then we'll be able to have the same success as before or even more at a yield at a revenue dilution or a yield dilution over pre-pandemic.",1108.375,1249.675,3,2021,1,0.44,1.2879999999999998,0,-0.07,-0.202,0,0.39,1.096,0,0.961,2.692,0,0.863,2.54,0,0.964,2.887,0
"Good morning. This is actually Ray on for Dwayne. As you look across your portfolio markets in light of travel restrictions and reopenings, Which are getting better and easier to predict and which are harder to plan as compared to the 1Q commentary that you laid out earlier in your press release?","You mean in terms of markets? In terms of restrictions in markets. Yeah, it's really hard to predict.",1279.502,1285.763,4,2021,1,0.128,1.416,0,-0.061,-0.263,0,0.002,1.098,0,-0.218,2.474,0,0.7699999999999999,3.31,0,0.947,3.834,0
"Yeah, you laid out a bunch of countries and just, you know, kind of an update.","Yeah. So right now, for example, there are very strict restrictions in places such as Argentina, Chile, Venezuela, Cuba, even some in Panama for South American travelers, not flight restrictions, but in these other countries I've mentioned, in most of them, flights are actually restricted. So it's anyone's guess when those restrictions will be lifted. They will be lifted, of course. They will control the virus. Things will get better. We know that. But it's very difficult to know if that's going to happen in July, in September, or... or who knows. And in many cases, those are new restrictions that were not in place at the end of last year. And there could be other countries imposing new restrictions as things change. But I would say that directionally, I think Even though there's like something like a third wave in many countries of the virus, I think directionally we're going in the right direction in terms of vaccination rates and travel demand and getting things under control.",1290.244,1367.571,5,2021,1,0.3369999999999999,1.753,0,-0.063,-0.326,0,0.185,1.283,0,0.7090000000000001,3.1830000000000003,0,0.7110000000000001,4.021,0,0.916,4.75,0
"And if I can just sort of follow up in here. I appreciate the UGAOS's delivery to the balance of the air. But could you also maybe give us some of the corresponding capex around that and also the capex and deliveries for 22? And as related, what do you think the balance between lease and own would be?","Yeah, Ray, the capex for 2021, including the airplanes that we were already taking delivery of, so talking about full year, total capex is going to be around $450 million. And that's mostly aircraft. There's a portion of it that is cash capex that is associated with maintenance events and IT investments, et cetera. That's around 50 out of that 450. And then for next year, you could assume that it's going to be between 350 to 400 total capex, again, both including aircraft and other type of capex. So that's basically where we're at. You had another follow up on that? What was the second question that you asked? Great. Okay. All right. We'll get in touch with you to answer the other question that you have. All right. I guess we're going to the next question.",1389.228,1471.257,6,2021,1,0.267,2.02,0,-0.06,-0.386,0,0.0069999999999999,1.29,0,0.904,4.087,0,0.7829999999999999,4.804,0,0.964,5.714,0
"Oh, hey, Jose, Pedro, Joe. Hey, my one question is just a modeling question here. You know, obviously... The tax was basically zero. And I'm just curious whether or not have you taken a valuation allowance against your deferred tax asset to the extent that now you're not going to be booking any tax credits? Is that what's going on forward? Or was this just some sort of anomaly or timing difference in this quarter? And next quarter, we should just assume it moves back to 10%.","Yeah, it's a timing. The specific line that we put into the fourth quarter was a loss carry forward that got booked. That usually gets done at the moment where you have a clear visibility about the performance of the entire year. So it's done towards the end of the year. So it's just simply timing. So the difference that we saw in the tax line on this quarter It was purely timing, and it would depend on if there's further sort of tax credits or tax loss reports that we declare depend on the performance of the entire year, and they would usually be put in in the fourth quarter. So that's kind of how that works here.",1505.557,1550.887,7,2021,1,0.312,2.332,0,-0.075,-0.461,0,-0.028,1.262,0,0.4679999999999999,4.555,0,0.84,5.644,0,0.961,6.675,0
"Hey, good morning. I'm just kind of curious relative to your kind of what you're seeing from a selling standpoint today, how much of your kind of current ATL is in terms of vouchers and kind of what percent of that, you know, what you're selling today is in the kind of the form of vouchers and somewhat related to that is kind of curious if you're seeing any change in business demand recovery.","Yeah, in terms of ATL, you know, the vast majority of the growth that we saw, I think we had a growth in the quarter of about $5 million in the ATL, and it's purely, I would say most of it is cash coming in. So, yeah, the majority of it is cash. There is a portion, but it's a minor portion that's associated with vouchers and the like for future travel. The majority of it is actual cash coming in. Yeah, and we're not seeing a significant recovery in business demand. Of course, there is more business demand than some months ago, but nothing significant yet. It's mostly VFR and leisure.",1584.685,1629.624,8,2021,1,0.423,2.755,0,-0.062,-0.523,0,0.1139999999999999,1.376,0,0.908,5.463,0,0.91,6.554,0,0.965,7.64,0
"Jose, is the ATL mix, how much of the ATL is vouchers today?","I think it's less than 10% probably at most, yeah. That's a 15%.",1635.749,1645.751,9,2021,1,0.0759999999999999,2.8309999999999995,0,-0.066,-0.589,0,-0.032,1.344,0,0.284,5.747,0,0.72,7.274,0,0.922,8.562,0
"Hi, Pedro. Hi, Jose, Raul. Thanks for the call. Just a question in terms of the traffic recovery and the city pairs or routes. So which markets continue closed at this point and what's the expectation to open them? And perhaps the expected recovery may be more driven by the reopening of routes or by increased capacity of existing routes.","Yeah. So, I mean, most markets are open, but some, as I mentioned before, are very restricted in terms of how many frequencies we can operate to markets such as Venezuela, Argentina, Chile and others I mentioned before have restrictions that don't allow us to operate more than a few frequencies per week whereas before we would have had multiple frequencies per day, and that's impacting demand. And there are also other travel restrictions around the region. In the markets that are open, like the U.S. and the Caribbean, for example, we're seeing a stronger demand than in the restricted markets that it would be expected.",1691.705,1748.0,10,2021,1,0.34,3.171,0,-0.0659999999999999,-0.6549999999999999,0,0.1619999999999999,1.5059999999999998,0,0.6100000000000001,6.357,0,0.887,8.161,0,0.967,9.529,0
