Question,Answer,Q_Timestamp,A_Timestamp,QA_Index,year,quarter,assertive_expected_value,assertive_cumulative_tone,assertive_change_point,cautious_expected_value,cautious_cumulative_tone,cautious_change_point,optimistic_expected_value,optimistic_cumulative_tone,optimistic_change_point,specific_expected_value,specific_cumulative_tone,specific_change_point,clear_expected_value,clear_cumulative_tone,clear_change_point,relevant_expected_value,relevant_cumulative_tone,relevant_change_point
"Yes, good morning. Thank you for taking the question. Certainly, yeah, impressive performance. So looking at the top line, can you give us a sense as to the volume versus ASP? If we could just start with that, please.","Yeah, Anthony, hi. It's actually more unit volume related than ASP for the quarter at least. We're seeing kind of a broad-based increase in volume, both lower-priced, mid-priced, high-priced product. So At least for the quarter, it hasn't been a ton of ASP enhancement.",667.114,685.878,1,2021,1,0.297,0.297,0,-0.067,-0.067,0,0.438,0.438,0,0.433,0.433,0,0.7829999999999999,0.7829999999999999,0,0.925,0.925,0
"Got it. Okay. Thanks for that, Dave. Also, do you guys have a sense as to the growth in the participation rate from consumers that you're looking to engage in outdoor recreation? Just wondering about how many new customers enter the market in your sense for the upcoming season.","Well, as far as participation rate, you know, we don't have a specific way of getting at that data, and it's very different by business. So, you know, we can't give you that answer. You know, it's our assumption that there are new consumers coming in as well as, you know, more active participation by existing consumers. And I think, you know, we could say that across, you know, all the outdoors areas. spaces that we've seen growth in. So, you know, until we get some participation data from, you know, syndicated sources, you know, which has a lag time, I think at this point it's truly assumption. But we definitely feel that there are some new participants in the market across the board.",708.772,760.933,2,2021,1,0.386,0.683,0,-0.069,-0.136,0,0.192,0.63,0,0.147,0.58,0,0.7769999999999999,1.5599999999999998,0,0.974,1.899,0
"Okay, got it. Good to hear. And as far as the new product innovation, yeah, you mentioned some examples as far as the fish finders and some others that When you look at the upcoming season, would you say that you're going to be introducing more new products than usual, or is this the typical pipeline of new products? If there's any one category other than the fish finders where you're particularly excited about for new product introductions?","Well, I think, you know, we've got new products for every business. And in fishing, you know, this is a solid year, and we talked about a few of those. So I don't think it's any different than the past. It's just part of, you know, us doing business, and we try to innovate and have something new every year, depending on the category.",790.375,814.011,3,2021,1,0.449,1.132,0,-0.063,-0.199,0,0.426,1.056,0,0.177,0.757,0,0.751,2.311,0,0.948,2.847,0
"Got it. Okay, perfect. Okay, and then as far as the – supply chain constraints. Can you just, you know, a little bit more details as to what your, obviously didn't look like it impacted your first fiscal quarter, but can you give us, you know, can you give us some more details about what you're seeing there?","Yeah, I mean, like a lot of other companies, we're seeing a lot of longer lead times and difficulty getting some product out of Asia for electronic components in particular. And then logistics and screens that everyone's heard about at the port and getting shipping containers here on time. So right now I think, you know, we seem to be in okay shape. It hasn't necessarily affected us currently, but we're looking into the season and just something we're trying to actively manage.",833.363,864.82,4,2021,1,0.267,1.399,0,-0.07,-0.269,0,0.1559999999999999,1.212,0,0.137,0.894,0,0.815,3.126,0,0.698,3.545,0
"Again, if you would like to ask a question, please press star 1. There are no further questions at this time. I would like to turn the conference back to Ms.","Thank you, everyone, for joining us today. Hope you stay healthy, stay safe, and hope you have a great day.",885.491,895.077,5,2021,1,0.147,1.546,0,-0.052,-0.321,0,0.094,1.3059999999999998,0,-0.1349999999999999,0.7590000000000001,0,0.609,3.735,0,0.472,4.017,0
"Yes, good morning, and thank you for taking the questions. So, you know, first, Dave, you said that the inventory levels at retail are lean. Is that a concern? across the board, or just wondering if when you look at your segments, is there one particular area where you think the retail inventories are leaner than others?","Yeah, I would characterize the three businesses that are growing that the retailers are still seeing very lean inventory across the board. So I don't think there's any distinction among those three businesses.",621.93,634.434,1,2021,2,0.237,0.237,0,-0.075,-0.075,0,0.026,0.026,0,-0.081,-0.081,0,0.7070000000000001,0.7070000000000001,0,0.965,0.965,0
"Got it. Okay, thanks for that color, Dave. And then you mentioned that obviously demand is high and working to increase capacity. So can you give us a sense as to where you are with your capacity now and what should we look for in terms of your ability to increase capacity from here?","Yeah, I mean, we're kind of set for the season in a way. We added shifts early to our factories where we're building product. and that's been very helpful. Of course, adding a lot of seasonal labor, which has its challenges, but we've done that as well. So we're working as fast as we can to meet the demand right now, and those are kind of the two short-term levers that we've pulled. And just to keep in mind that we still are at like 80% in terms of being able to have our workforce in the plant because of the COVID and all the safety rules that are going on. So, you know, if we can cross our fingers, hope things change, we will, you know, have the ability to staff more during a shift.",655.571,704.557,2,2021,2,0.429,0.6659999999999999,0,-0.0739999999999999,-0.1489999999999999,0,0.412,0.438,0,0.6609999999999999,0.58,0,0.86,1.5670000000000002,0,0.964,1.929,0
"Got it. Okay. Thank you both for color. So in terms of the supply chain constraints that have certainly been well publicized, can you give us a sense as to, as you look now on, you know, May 7th versus March 31st at quarter end, have things gotten worse? better or worse or the same in terms of the supply chain constraints?","Yeah, you know, I would say it's pretty dynamic, Anthony, right now. I mean, electric parts coming in, we're working very hard to make sure we have an adequate supply. I think we've done a good job so far of maintaining that, but As you heard, I'm sure out there in the industry, there are shortages here and there and longer lead times. So we're working very hard to make sure we can maintain that supply. And I would say it's still a pretty delicate balance right now.",727.443,757.65,3,2021,2,0.389,1.055,0,-0.0789999999999999,-0.2279999999999998,0,0.262,0.7,0,0.166,0.746,0,0.7090000000000001,2.276,0,0.96,2.889,0
"Got it. Okay. And then, you know, lastly, I guess for me here, so how should we think about your ability to offset the high rate costs, whether price increases? Are you thinking about those or anything else as far as some of the cost mitigation strategies?","Sure. Yeah. I mean, I think we'll definitely consider all options to help mitigate cost increases. Cost savings programs are important. How we price our product, the innovation we bring out into the marketplace, that's all part of the equation. So we'll look at all options for that.",776.287,794.393,4,2021,2,0.3,1.355,0,-0.064,-0.2919999999999998,0,0.061,0.761,0,0.2029999999999999,0.9489999999999998,0,0.7549999999999999,3.031,0,0.913,3.802,0
Got it. Okay.,"Well, thank you and best of luck.",796.573,797.834,5,2021,2,0.092,1.447,0,-0.026,-0.3179999999999998,0,0.0349999999999999,0.7959999999999999,0,-0.149,0.7999999999999998,0,0.4279999999999999,3.459,0,0.487,4.289,0
