Question,Answer,Q_Timestamp,A_Timestamp,QA_Index,year,quarter,assertive_expected_value,assertive_cumulative_tone,assertive_change_point,cautious_expected_value,cautious_cumulative_tone,cautious_change_point,optimistic_expected_value,optimistic_cumulative_tone,optimistic_change_point,specific_expected_value,specific_cumulative_tone,specific_change_point,clear_expected_value,clear_cumulative_tone,clear_change_point,relevant_expected_value,relevant_cumulative_tone,relevant_change_point
"Good morning. I just want to ask real quick on the draft is out on the CCO, sorry, the draft RFP for 1-HR Medicare, and just any surprises there or any thoughts on that?","Hey, Brendan, it's Bruce. Good morning and thanks for the question. Yes, we're pleased to see that that procurement is progressing, you know, really per schedule and to see the RFP out. And I would just offer you two notes. One is the scope of services that's reflected in the RFP is consistent with the current scope of services and work that we do for CMS. And secondly, it remains a single award procurement, which we think is a reflection of the comfort that CMS has had in administering the contract with a single vendor and their intent to do so going forward. Any other questions?",1481.413,1516.658,1,2021,1,0.312,0.312,0,-0.0579999999999999,-0.0579999999999999,0,0.416,0.416,0,0.2779999999999999,0.2779999999999999,0,0.7769999999999999,0.7769999999999999,0,0.597,0.597,0
"Great, thank you. Yeah, just a follow-up. You talked about some in the prepared comments with the new administration coming in, but could you provide any more color or detail on the impact of recent executive orders in the new administration and any new opportunities or even just expanded opportunities on what you currently do?","Sure, Brendan. Let me give you a little more color. Interestingly, there was an executive order that obviously was created very early in the process here to reopen healthcare.gov for what's known as a special enrollment period, or SEP, and that will take place between February 14th and May 15th. As you likely know, individuals can already purchase policies at healthcare.gov outside of the open enrollment period when they have certain qualifying life events. But this special enrollment period is adjacent now to a just-ended open enrollment period, and it seeks to provide access to individuals who would otherwise not qualify with qualifying life events during this time. Because of its proximity to the recently ended open enrollment period, the pool of potential enrollees is likely smaller than if it were to have occurred later. However, that means it'll be really the uptake will be a function of outreach and advertising and awareness efforts. And we note that HHS is committing $50 million to such efforts. As I was reading a bit more about this, the Kaiser Family Foundation estimates that nearly 9 million of the remaining uninsured Americans could qualify for free or subsidized coverage under this special normal period. And there's an additional 6 million that could qualify for unsubsidized coverage. So, again, marketing and advertising is going to be critical. From a state perspective, state-based marketplaces, and I make this note because, as you're aware, we have the privilege of providing call center support for the federal marketplace and the states that remain on that, also for a number of state customers. States are encouraged but not required to offer similar special enrollment periods, and many are going ahead and doing that. So what does it mean for Maximus? We think that given all of these dynamics, the guidance range that we've established that Rick spoke to in his prepared remarks likely covers the potential tailwinds that could be created from the executive orders. And, obviously, the effects of efforts to increase marketing and advertising and so forth will go well beyond the May end date of this special enrollment period and likely would manifest themselves in higher volumes of enrollment in the next open enrollment period in the fall. Hope that helps.",1537.77,1668.539,2,2021,1,0.4509999999999999,0.7629999999999999,0,-0.0569999999999999,-0.1149999999999998,0,0.347,0.7629999999999999,0,0.953,1.231,0,0.921,1.698,0,0.961,1.5579999999999998,0
"Great. Can you hear me okay, first of all? Just fine, Richard. Hope you're doing well. I am. Rick, congratulations. Looking forward to the next couple quarters with you, or three quarters. But congratulations on the retirement. yeah so rick first just a quick um housekeeping and i appreciate the information with respect to the census um and covid um but you know the 13.5 percent organic growth in federal um unless i'm doing the math wrong if i back out the 60 million per census this year and the 70 million for last year i'm getting like a 16.4 percent um organic growth um number not taking into account the covid but am i missing something there is there an acquisition an acquisition or something else uh that you're backing out to get to the 13.5 um yes","Good question. Yes, we're backing out the effects of that CQA contract. That's about 4.4%. The organic growth from other contracts is 12.5%, and the disposal of the businesses is 0.4%. So all of that together is a 16.5% change. Okay. then and we're going to spot we're going to follow our form 10q right after this call and and those calculations are in the mdna we actually do a roll forward from the and we do it by segment we do a roll forward of the three months uh revenue ended december 31 2019 to three months ended December 31, 2020. And we'll show you the effect of the CQA contract, which I think you're basically right. It was 1670, so about a reduction of $9.6 million. And then the amount of the disposal of the business. That's a business that we had a potential conflict of interest or a perceived conflict of interest with other work that we were bidding and we were asked to dispose of it with the rest of it being organic.",1754.019,1835.634,3,2021,1,0.315,1.0779999999999998,0,-0.0579999999999999,-0.1729999999999997,0,0.0219999999999999,0.7849999999999998,0,0.969,2.2,0,0.916,2.614,0,0.968,2.526,0
"Okay, great. I just figured there were some other moving parts in there. Bruce, I wanted to talk a little bit about the redeterminations. Obviously, Secretary Azar extended the public emergency, I think, into April. I'm not sure the specific date. There, but then there was also speculation from the Biden administration. I think there was a letter sent to some individuals about maybe extending the public health emergency program. um through 2021 um so i i'm curious your thoughts on redeterminations whether um if the emergency does get extended um you know are there opportunities that the you know states they're getting the f map um but is there opportunities where redeterminations begin or would they be extended all the way into 2022?","So, Richard, I'm going to pick that up in just a second, but first I wanted to return to Rick so he could clarify something from your prior question and then we'll look at that. Okay. Yeah, Richard, I think I read the percentage from the wrong column. I read the revenue correctly. But what it is is we went from $366,571 of revenue to $405,245 for 2020. CQA contract did go down $9.6 million, and the disposal went down 1.1. That gives you an organic growth of 49.4%. That's 13.5%, 49.4 million. So that gives you 13.5%. That's a clarification off that. I'm sorry. I was reading the gross profit. I read you the correct numbers on the dollars, and I read the percentages from the gross profit. My apologies. Maybe I'm getting a little... I don't know. Pull that forward. the wisdom's priceless so let me go to the public health emergency uh you're absolutely right um acting secretary of health and human services norris cochran uh sent a letter to governors on january 22nd and it's easy to find um and i'll quote from it saying to assure you of our commitment to the ongoing uh response we've determined that the public health emergency will likely remain in place through the entirety of 2021. When a decision is made to terminate the declaration or let it expire, HHS will provide states with 60 days notice prior to termination. So based on that, you know, it seems like the handwriting is on the wall. At the same time, as you know, we need to continue to work with our customers to get their guidance too. Because on the one hand, this would lead to likely further suspension of certain work, such as eligibility, redeterminations, and so forth. But on the other hand, the prolonged conditions that would unfortunately cause the sustainment of the public health emergency, thereby enabling states to qualify, as you've also noted, for the 6.2% enhanced FMAP, would suggest that at least certain COVID-related response work would continue well through the end of the current fiscal year. So given all of these considerations, when Rick and I looked at our guidance range, we felt that it's wide enough to accommodate multiple scenarios. And a public health emergency, to be clear, remaining in place for the entirety of fiscal year 2021 would likely result with us being a bit more in the middle of the fairway. So we always say it's kind of hard to predict COVID work. And interestingly, some of the temporary headwinds and program changes that we've seen relate to the public health emergency. For example, the pause in redeterminations is clearly linked to the maintenance of effort requirement for Medicaid to ensure individuals remain enrolled. And that's a qualification requirement for the enhanced funding. So unlikely, right, that states would, unless they're willing to give up that enhanced funding, you know, begin redeterminations or other, you know, kind of program administrative actions, you know, prematurely. However, there are other, you know, programs that we administer, for example, the Debt Management Program for Federal Student Aid or outside the U.S., the Haas Program, that aren't linked to this public health emergency so our guidance kind of accommodates all of those last thing i'd say is that the secretary retains a great deal of discretion not just in the declaration of the public health emergency and when it's over but also discretion to selectively modify the terms of it to reflect conditions and policy priorities as they evolve so All I can tell you right now is that we feel the guidance range we provided, you know, accommodates the variability, and we'll take guidance from our customers and respond to the conditions, you know, that they dictate for the administration and programs.",1911.536,2142.331,4,2021,1,0.302,1.38,0,-0.059,-0.2319999999999997,0,0.0689999999999999,0.8539999999999998,0,0.962,3.162,0,0.7879999999999999,3.402,0,0.958,3.484,0
"Okay, thank you. I appreciate everything you're doing for the states and federal government during this time. Thanks. Yeah, thank you.","Thanks, Richard. Next question, please.",2152.438,2154.5,5,2021,1,0.085,1.465,0,-0.058,-0.2899999999999997,0,0.067,0.9209999999999998,0,-0.253,2.909,0,0.369,3.771,0,0.489,3.973,0
"So I was curious. On your slide seven, you guys commented and highlighted that you think you can get to kind of a 10% to 15% operating margin, which is obviously a ton of upside in that out-of-the-U.S. Can you time scope that a bit? Just remind us kind of when would that margin potentially be achieved?","Thanks, Donald. It's Bruce. And I do want to note that the commentary on Stage 7, I'll begin and then I'll hand it off to Rick. The commentary about the 10% to 15% margin is over a program's life, and the illustrative program is employment services programs, right? So you have to consider the portfolio of contracts that we have outside the U.S. as you think about the long-term margin dynamics for that business. But I'll let Rick offer the commentary. Sure. Thanks. Yeah, exactly what Bruce said. And I think the simple chart on that page tells the story. When we go through and we are considering how to bid a program, you know, we have to respond to the request for proposal that's sitting in front of us. And what really winds up happening in most cases is that the costs that you incur are relatively flat over time, but you build volumes throughout the program's life. And so accordingly, what winds up happening is that your costs are steady, but your revenue grows over time. So in the early parts of the program, you have negative operating income, and you can see the area under the straight line shows you a negative OI for the first periods of the program, and then that builds. And so what we do is we try to make sure that when we price the work, that when we put all of the periods together, that we're having an operating income margin that's in the 10% to 15% range, which is the average that we seek for the work that we bid that is fixed price type of work. Did that help you?",2199.444,2296.631,6,2021,1,0.444,1.909,0,-0.066,-0.3559999999999997,1,0.116,1.0369999999999997,0,0.963,3.872,0,0.834,4.605,0,0.966,4.939,0
"Yeah, I guess I was trying to put you a little bit on the spot in terms of you guys. I understand it's not the entirety of the outside of the U.S. segment, but you guys are talking about a break-even margin in the outside of the U.S. segment, and then you talk about a 10% to 15% margin for this. these employment contracts, which are, which is a big part of the outside of the segment. And would that be like fiscal 22 or fiscal 23? I mean, what is the, I don't know if you can sort of time scope that. It would take a couple of years to get there. I mean, that is a, that is a big jump in operating margin, even if it's not all of the segment, it would certainly have a material impact. And again, not seeing if I could get any clarity around how quickly I could ramp.","Well, yeah, I think that it's pretty obvious that the outside the U.S. segment is the segment that's been most damaged during the pandemic. We've had over 50 percent of the work that we do outside the U.S. is on employment services and closed economies in Australia and the United Kingdom have been very detrimental to us in that regard. So I think that when we look forward and come out of FY21 and look into FY22, it will obviously be somewhat dependent on the pandemic. You know, we have a big program in the United Kingdom where we were scheduled to do 780,000 face-to-face assessments in this last contract period, and we're doing none. You know, that Haas contract is profitable, but not at the level that we would have projected if we were doing those face-to-face assessments. So I think that the return to open economies in Australia and the United Kingdom, some of the new geographies that we're working on with employment services, a return to normality in the United Kingdom, allowing us to do those face-to-face assessments, and those new contracts that we talked about are all tailwinds that ought to be able to allow us to improve the operating margin outside the U.S. over time. I can't sit here today and promise you what that's going to be in FY22, but it will be an improving OI margin profile over time.",2335.655,2419.082,7,2021,1,0.393,2.302,0,-0.0659999999999999,-0.4219999999999996,0,0.211,1.2479999999999998,0,0.945,4.817,0,0.893,5.498,0,0.96,5.899,0
"Okay. I'm not sure if I get to put my follow-up or not, but maybe I'll go ahead. You guys detailed the census revenues in the fiscal first quarter of the December quarter. What Can you remind us, and I apologize that I missed this, what would that round down to in the March, June, and September quarters? So, yeah, sort of set expectations.","Yeah. That program is very close to being over. It's in a heavy wind-down period. I think you're going to see less than $10 million of revenue going forward from January 1st, 2021 forward.",2442.381,2453.704,8,2021,1,0.176,2.478,0,-0.0679999999999999,-0.4899999999999995,0,-0.007,1.241,0,0.347,5.164,0,0.683,6.181,0,0.967,6.866,0
Good luck with everything.,"Thanks, Donald. All right. Next question, please.",2458.445,2464.264,9,2021,1,0.071,2.549,0,-0.06,-0.5499999999999995,0,0.0289999999999999,1.2699999999999996,0,-0.164,5.0,0,0.346,6.527,0,0.602,7.468,0
"Good morning. This is Brendan Popsin on for Charlie. Fantastic quarter, obviously, and I wanted to dig into the Outside the U.S. performance, and you guys alluded to this talking about Australia, but the high single-digit margin was unexpected. I know you talked about the employment services being strong and high retainment going on with the employees. I wanted to ask just like how sustainable that margin is and if you could just dig more into the puts and takes there and what we could see down the road.","Hey, Brendan. Good morning. It's Bruce. Thanks so much for the question. I'm going to turn it over to Rick to address and I'll add a little commentary perhaps at the end. Thanks so much. Yes, thank you. You know, with respect to Australia first, you know, the first quarter we told you that they were coming out of a lockdown. And they had strong demand during that Christmas period due to the fact that there was a lot of pent-up demand from the employers who needed to quickly fill some of those retail and travel-related jobs. Those are industries that we typically place a lot of people in. In Q2, our fiscal year Q2, they also achieved good financial performance on their caseload metrics and sustainments, or what we also call retentions. This really means that more people will be replaced and more people will be able to sustain their jobs or retain them. And that shows that Australia has really come out of their pandemic better than other countries around the world. The macro trend should really be in our favor down there. There is difficulty, though, predicting what happens quarter to quarter due to the pandemic, but Australia looks very good and is doing really well. I think embedded in your question is really also about those OUS startups, the outside US startups. Those are in multiple geographies, some of which are countries we've operated in for several years and others which are new to us. Those are outcomes-based contracts which typically take time to build up the volumes. This gives you economies of scale over time. However, in the early phases of a contract, our costs ramp up at a quicker rate and that will create initial losses. So the revenues will come slower than the costs that ramp up. So we anticipate several quarters of losses on these contracts before they turn profitable. This will be a bit of a drag to the OUS segment results in FY21. And as I noted, I think the startup contracts will drive an operating loss in the fourth quarter of our fiscal 2021. As Bruce mentioned, we do believe that these These contracts are a good investment for us. They make sense due to the overall favorable economics over the life of these contracts. We do expect these contracts to deliver 10% plus operating income margins over their life. Does that answer your question, Brandon?",1830.121,1975.714,1,2021,2,0.443,0.443,0,-0.0579999999999999,-0.0579999999999999,0,0.593,0.593,0,0.7889999999999999,0.7889999999999999,0,0.922,0.922,0,0.968,0.968,0
