Question,Answer,Q_Timestamp,A_Timestamp,QA_Index,year,quarter,assertive_expected_value,assertive_cumulative_tone,assertive_change_point,cautious_expected_value,cautious_cumulative_tone,cautious_change_point,optimistic_expected_value,optimistic_cumulative_tone,optimistic_change_point,specific_expected_value,specific_cumulative_tone,specific_change_point,clear_expected_value,clear_cumulative_tone,clear_change_point,relevant_expected_value,relevant_cumulative_tone,relevant_change_point
"Hi. A couple of questions. I was wondering if you might be able to expand on the six new logos you added, if there's any color you can provide either on verticals or type of customer or program.","Yes. So, Jim, this is Todd. I'll get us started, and I'll have Steve provide some of the details around the sectors and the opportunities. But The one thing I wanted to highlight about the new program wins that I think is significant, and I hope that people take away from this, is if you look at our business development approach, it's really to grow with existing customers, to find the right customers and then grow with those customers. And I talked about six new logos, and Steve talked about 14 new relationships. So that includes the six logos plus eight new divisions of existing logos. So when you look at this, we – We get a new logo in, we transition it, we potentially add additional divisions, and we grow with each of those, the original division or logo as well as the expanded relationship that we have with the other divisions. So I wanted to point that out, and then I want to turn it over to Steve to get into a bit more detail. Sure, Jim. In terms of color, they were equally split across the sector. So there was two in industrials, two in healthcare, life sciences, and two in aerospace. And some of the Wednesday details that I went into highlighted some of them. The anesthesia program that I talked about in healthcare was one of them. The device that's used for advanced manufacturing process control was one of them, as well as the air purification system. And so that gives you a little bit more insight into it was a pretty good mixed across all three of the sectors. Thanks for that color.",1821.274,1918.446,1,2021,1,0.488,0.488,0,-0.067,-0.067,0,0.3249999999999999,0.3249999999999999,0,0.913,0.913,0,0.8099999999999999,0.8099999999999999,0,0.967,0.967,0
"And by the way, I think you gave some good color on how we should be thinking about the second half of the year. But I wanted to go to that target that you're talking about for revenue of 9% to 12% growth. And clearly, last year was impacted unquestionably by COVID. And this year, you've got some moving parts as well. But I'm trying to get a sense What's given you that confidence about that 9% to 12% revenue growth? It sounds like it's the wins that are coming in. It's a question of when do you potentially see that conversion. It's obviously not going to, I think, happen this year.","Yeah, so I think, Jim, you're right on with your assessment about this year is that the 9 to 12 would be difficult in this year. And kind of the way I've characterized it in the release and in the script here is that if you do the math, it wouldn't add up to the 9 to 12. But there's a number of things that give us confidence that 9 to 12 is a success. a realistic and very achievable goal. And first of all, if we look backward looking over the period of 18 to 20, we were at 10%. So our sectors and our markets have shown that they can support that level of growth. Then if we look, and that includes last year with the pandemic and that number as well, I know as we go through our planning process and we do a bit of a bottoms-up planning, our teams, again, their results support our revenue growth goals. But there's really four factors that I think serve as catalysts for us as we go through fiscal 21 and into fiscal 22. First of all, we have the margin expansion and the sustainable margin expansion, which I think we're doing a nice job of showing that that's very achievable. Second, we've got the recovery of medical equipment used for elective procedures. And we're starting to see a hint of a sign of that right now, but I wouldn't say it's a recovery by any means. So there's great opportunity with that as we move forward. And there's also the increase in demand that we expect to see from commercial aerospace as we see travel upticks post the COVID vaccine rollout. So that may be an early 22 type event is what we're expecting. And then we have the new program ramps. And you saw the win success that we've had, the over billion-dollar trailing four-quarter funnel that we have. We've talked about some of the exciting new programs that have been long-term ramps within our healthcare life sciences sector. These all come to fruition in the F-22 issue. type timeframe here. So we've got a number of catalysts that are looking really good for us as we get beyond or go through fiscal 21 and get into fiscal 22.",1962.644,2100.352,2,2021,1,0.489,0.977,0,-0.059,-0.126,0,0.6519999999999999,0.977,0,0.969,1.882,0,0.901,1.711,0,0.964,1.931,0
"Got it. Just on commercial air, could you just remind us what that's representing right now of the A&D or maybe just historically what it was? And then I'll jump back in the queue.","Yeah, it's about, let me get the number. I think it's in the mid-30s right now, but I'm going to verify that. It's kind of low 30s is about where it's at right now, and it had been probably a little bit over 40 to even 45 percent at one point. Yeah, that's a plexus of the sector. It's about roughly a third.",2115.128,2136.391,3,2021,1,0.146,1.123,0,-0.065,-0.191,0,-0.0039999999999999,0.973,0,0.712,2.594,0,0.698,2.409,0,0.971,2.902,0
"okay thanks good morning and congrats to sean and heather um todd i just wanted to start uh with some questions around the second half comments where revenue is relatively consistent with the fiscal 2q guide just maybe the biggest drivers of why we would see effectively flat sequential trends in q3 and q4 because we normally expect to build up each quarter see it up sequentially on a seasonal basis Sounds like towards the end of the quarter, medical and industrial saw recent strength. You've got new customers coming on. So what would be the offsets that I'm missing to make Q3 and Q4 effectively below normal seasonality?","Yeah, I think the issue, Adam, is that the visibility is just fairly limited right now. So I would say it's more of a situation as we're just not sure or we just don't know. And if you think back to – A quarter ago when we had our call, we expected Q2 to be flat to Q1. I mean, obviously it's not. It's up substantially on the order of about $50 million. So we saw a lot of upside demand come in, particularly around the healthcare and in the industrial sector. So as our customers brought up forecasts, they just brought them up in the near term and not necessarily further out. So I'd say there's a lot of uncertainty to us as to whether we're going to see something similar as we move through the rest of the year or whether we won't. But based off of the visibility we have right now, it looks more like flat at this time. But I think in some sense we're a little bit of a victim of our success from an execution standpoint because our customers feel comfortable that they can drop in demand and we'll execute on it.",2189.472,2253.967,4,2021,1,0.429,1.552,0,-0.067,-0.258,0,0.199,1.172,0,0.885,3.479,0,0.823,3.232,0,0.974,3.876,0
"Right, that's understandable. And just to clarify, does that also mean that operating margin would kind of stick in that 5% to 5.5% range that was guided to Q2?","Yeah, it's a bit uncertain. I mean, I think obviously we're targeting to be above the 5% range, but it's a bit uncertain based on the revenue and the leverage that we get. So it's a little too early to call that one.",2263.867,2277.458,5,2021,1,0.137,1.689,0,-0.07,-0.328,0,-0.072,1.1,0,0.6990000000000001,4.178,0,0.742,3.974,0,0.968,4.843999999999999,0
"Okay. And just maybe a longer-term question. You talked about the record over $3 billion funnel. You talked about committed to the 9% to 12% long-term revenue growth. Just trying to understand, you know, does that imply, you know, potentially a supersized growth year in fiscal 22 such that the average of 21 and 22 can be in the 9% to 12% range? So maybe just help with expectations on timing and magnitude of what seems like a pretty big growth uptick upcoming.","Sure. This is Steve. I'll try to handle that one. Obviously, trying to give guidance up to 22 would be a bit challenging, but looking at the market dynamics of where we're at, which gives us some optimism, is, you know, we look at commercial aerospace and, you know, we're strong in there. We've gained market share. We talked about the fact that we've been bouncing around the bottom and we see this down. And so we see that as a catalyst for growth in terms of what could happen into 22 as things start to recover. We've talked about the elective procedures in healthcare life sciences. We believe we're continuing to take market share. We're winning new logos. And we think there's a catalyst there to help accelerate some growth as things start to recover post-COVID. And then we've talked for the last couple of calls talking about an industrial team in semi-cap and with semiconductor capital equipment. The signals are out there that demand for semiconductor equipment or equipment and devices is only going to increase over time. Looking at our forecast and Todd's comments, we see these flattish kind of forecasts and then we see the short-term drop-ins. I think at some point there's a potential for that to turn into real forecast demand. You know, the optimism of the 9% to 12% is driven by those types of factors combined with the fact that we continue to win decent amounts of new business. And so I think that's why we're optimistic about the growth. Could it outperform? I think if the economy takes off and all these things start to recover post-COVID, you know, I think there's a real chance that demand from our customers continues to increase at a pretty good clip with it.",2306.469,2408.35,6,2021,1,0.486,2.175,0,-0.063,-0.391,0,0.6639999999999999,1.7639999999999998,0,0.965,5.143,0,0.909,4.883,0,0.972,5.816,0
"Great. Thanks for letting me ask the question. And first, congrats to Sean for the transition. First, I wanted to ask maybe about the 2Q demand. And do you think that we're seeing any pull in maybe from some of the second half demands? Or is this mainly just the drop in the early demand or the short-term demand?","Go ahead, Steve. Yeah, I mean, specifically with the Q2 upside, it is upside that's not robbing from future quarters. So our forward-looking quarters have stayed consistent and actually have come up a bit. And so it is upside demand. It's not stealing from future quarters. And as Todd kind of highlighted earlier, You know, one of the things we're looking at is are we going to see this as a trend as we go through Q2, Q3, and Q4? It's just something we're watching.",2444.773,2472.755,7,2021,1,0.311,2.486,0,-0.0599999999999999,-0.4509999999999999,0,0.065,1.829,0,0.445,5.588,0,0.7699999999999999,5.653,0,0.58,6.396,0
"Okay, great. And then just kind of thinking about the COVID-related tailwinds, the shorter-term, the non-sticky. How much of your business, I guess, in the healthcare industry is the shorter-term COVID tailwinds that could potentially fade into next year or the year after?","Yeah, so... Right now there's not a lot beyond testing and point of care testing that I would call a true COVID tailwind where the demand is up as a result of COVID. Now we see that demand is progressing or continuing at least through calendar 2021 and even our customers are talking about it going beyond that in through 22. And one thing to point out too, I mean we call them COVID testers a lot, but what they are is they're testers that that can be used for COVID, so they can test many other things as well, too. But that's the only thing I would say is a true COVID increase that's in our forecast right now, other than the small amount of upside that Steve talked about on the one critical care product.",2490.962,2538.132,8,2021,1,0.416,2.902,0,-0.07,-0.5209999999999999,0,0.236,2.065,0,0.902,6.49,0,0.899,6.552,0,0.973,7.369,0
"Great. Thanks for the call. And one last, if I can, real quick, just kind of do any thoughts you might have on the transition from the political landscape, anything that you're watching it, thinking down in terms of positive or positive.","Yeah, so I mean the one thing we're looking at is on the demand side. I would say there's a few different opportunities that could come up as a result of the proposed stimulus that's out there. We have some heavy equipment business I think some of the COVID products could increase even further from a demand standpoint. Certainly, I think it bodes well for semi-cap as well, too. The other thing we're looking at on the other side of the equation is what happens with the tax landscape, and does that have any impact?",2550.717,2586.737,9,2021,1,0.301,3.203,0,-0.063,-0.584,0,0.5239999999999999,2.5889999999999995,0,0.1989999999999999,6.689,0,0.755,7.306999999999999,0,0.5319999999999999,7.901,0
"Yes, thanks. Just a question regarding the product or the component supply chain environment right now. You talked about inventory days up, Pat. We're hearing across the board of supply constraints in certain semiconductors and some passive components. Are you seeing that yet, and are your customers asking you to build inventory?","Yeah, so Matt, this is Steve. I'll take that one. First of all, there's a lot of news out there about the automotive market having shutdowns due to semiconductor shortages. And I just want to remind everybody, we don't do automotive. So in terms of our end market impact, there's nothing there. Specifically, what's causing those challenges in automotive is a tightening in semiconductor components, and we are seeing some of that. We don't foresee any issues here in the fiscal second quarter. From an inventory standpoint, we feel pretty comfortable where we're at. We do start to see lead times start to extend, a little pricing pressure here and there, so it's definitely real from our perspective. I feel actually pretty comfortable. Our teams definitely have to work harder through these periods, but at these times is when our teams have outperformed, and so I'm pretty optimistic in terms of what our teams will be able to do. The one part that I get a little nervous on is looking at those forecasts as we go into the back half of the year. If our customers start dropping in big demand, our ability to react and bring things in is really kind of the bigger challenge. And so we have been talking to our customers about inventory levels and what we're comfortable storing. Now, keep in mind, our customers are responsible for the inventory levels. Plexus doesn't speculate. So from our standpoint, it's really just working through with our customers where they need to be. And we do have some customers that have increased raw component inventories to be able to respond to upside demand in the back half of the year. And so, again, it's a mix with each customer, but we do see it coming a bit more But I think we're responding appropriately. And at this point, the teams are handling it really well. I'm at this, Pat. On the balance sheet, I just want to comment for the second quarter. We do expect a slight build in inventory dollars to the tune of about $20 million. But I had guided the midpoint of our cash cycle being down compared to the fiscal first quarter. And some of that's driven by inventory days just because of the increase in revenue we expect in the second quarter.",2632.222,2764.991,10,2021,1,0.4589999999999999,3.662,0,-0.062,-0.6459999999999999,0,0.4999999999999999,3.0889999999999995,0,0.739,7.428,0,0.7110000000000001,8.018,0,0.939,8.84,0
