Question,Answer,Q_Timestamp,A_Timestamp,QA_Index,year,quarter,assertive_expected_value,assertive_cumulative_tone,assertive_change_point,cautious_expected_value,cautious_cumulative_tone,cautious_change_point,optimistic_expected_value,optimistic_cumulative_tone,optimistic_change_point,specific_expected_value,specific_cumulative_tone,specific_change_point,clear_expected_value,clear_cumulative_tone,clear_change_point,relevant_expected_value,relevant_cumulative_tone,relevant_change_point
"Hey guys, thanks for taking my question. Nice to see the increase in backlog to 8.5 million today. But I wanted to ask regarding the C-band spectrum, do you think that has, you know, since that has happened, do you think that has maybe accelerated some conversations in regards to investment activity and network coverage and small cell deployment? Yeah, what are your initial thoughts on that?","Yeah, thanks, Amant. So, yeah, I mean, this has been a long time coming to get some additional spectrum out there. And I think, you know, today or yesterday was the day when carriers were actually able to start talking really about their plans. And, you know, Verizon in particular came out pretty aggressively, and obviously they spent a lot of money. They were $43 billion or more of the total spend there. in the C-band auction. I think what it does for them and for everyone is it gives some more usable spectrum, both on traditional tower kind of applications, but also augmenting the millimeter wave and ultra-wideband small cell sites that have been going out there for some time. So what this does for us is it it obviously shows commitment at a serious level of investment that's already been made, and there's strings attached to the spectrum. You have to build. You've got to get network online in a certain period of time. So our expectation is it will take the conversations we've already been having, some of which were already geared around the idea of C-band or a different kind of radio, and just make those more tangible and start to happen more rapidly. We've been... what is it, a year ago today, I guess, the pandemic was declared, and we've seen some pretty different spend than traditional carrier CapEx on the wireless side. A lot of fiber infrastructure has been laid, which is great. That's good backhaul, good solid network utilization by the carriers. That will really help in deployments of small cell and macro sites much more rapidly when that spend becomes tangible, which we think is, you know, in certainly the back half of this year, we expect that to accelerate.",1439.612,1542.691,1,2021,1,0.5,0.5,0,-0.062,-0.062,0,0.6589999999999999,0.6589999999999999,0,0.956,0.956,0,0.914,0.914,0,0.972,0.972,0
"Got it. That's helpful. And then, um, can you talk about some of the conversations you're having for your DAC deployment? Do you have maybe some better visibility, uh, in, in the timing, some of these deployments, um, that, you know, with the wins that you had last quarter, I know you, you had one, uh, customer that's looking to upgrade 5,000 sites. Uh, and then you also mentioned some cross selling opportunities with that customer. So any color on that front would be helpful.","Yeah, sure. So we've started to see some of that already this quarter. I talked about it in my comments. Some of the orders that we've taken even in the last few months, I think that the bigger expectation we have is that still this quarter and into Q3 from new orders being placed, It's not an overnight thing. You've got to test it, make sure that you have the right solution, that it works in network. DAC is one of a couple of different ways you can cool network infrastructure. So I think that the spend around it and the lifespan of some of the existing network equipment that's out there is coming due right around now with some of the big carriers. So we expect the orders to keep moving. We're two or three quarters into some of these conversations, which is the right time frame to start to have decisions made. It's encouraging to see things like a different kind of carrier network on a traditional MSO or cable company, as people would think of it, recognizing the power of DAC as well. So that's an order that came in. The bulk of that's already gone back out. The remaining amount is still going to go out probably this quarter or into next year. So I think we expect there to be a meaningful increase in the coming three to six months of getting those orders placed and getting them turned around and in network.",1570.317,1650.413,2,2021,1,0.434,0.934,0,-0.067,-0.129,0,0.472,1.1309999999999998,0,0.326,1.282,0,0.876,1.79,0,0.961,1.933,0
"Okay, got it. And then your distribution business has been a pretty steady contributor to sales. Can you talk about how should we think about that, the cadence for that business for the rest of the fiscal year?","Yeah, good question. So we don't really have a built-in recurring revenue stream. We're not an as-a-service kind of company. So making tangible hardware pieces of equipment, the real key that we set out to do three-plus years ago was get to some level of recurring revenue stream, and that's what I think distribution provides for us. We have a handful of great distribution partners that are spending a lot of money with us and sharing information Go-to-market strategies and project opportunities and then, you know, joint marketing plans. But the big thing for us is a lot of the similar kinds of products are moving through that channel. So we have stocking distributors all over the country. You know, it's the enablement of someone who needs to go do network marketing. you know, physical work on the network in a given day, they can back a truck up and get the equipment that they need right away. We could also have equipment dropped right on site where they're going to do the work, depending on the customer. So for us, it's a good way to get a baseline of recurring revenue from a consistent product set, whether that's fiber, coaxial, copper, or related components. But keeping those on the shelves with our distributors and having replenishment orders that come in and a certain cadence, whether that's weekly or monthly, depending on the, on the distributor, it really lets us make sure we have the right inventory. We've got the right inventory out there. And we've, you know, we've built that business up from, you know, it was probably certainly prior to the acquisition of C enterprises. You know, most of our, our coax business was that, which was a 10 or $11 million a year business that that business is now doing in the, in the low to mid twenties and, and increasing. So we've, We've built kind of this, call it six or seven million a quarter in distribution business at this point and going up consistently. And I think the thing that stands out to me is it's been in the background. That's not what gets... people to really notice what's going on in our business. The big wins that caused our numbers to swing around wildly were great for us, but I think they masked some of the good kind of grinded out work that was happening in the background of building a channel that could give us that sort of, you know, baseline of recurring revenue as a backstop.",1666.221,1807.519,3,2021,1,0.518,1.452,0,-0.067,-0.196,0,0.5269999999999999,1.658,0,0.906,2.188,0,0.914,2.704,0,0.967,2.9,0
"Yeah, definitely. And then looking into the numbers, SG&A was up about, you know, 200k sequentially, just trying to dig into that a little bit. What were you making from investments during the quarter to support growth later on in the year? Yeah, any color on that?","Did you say GNA? Sorry, I lost you there.",1828.621,1832.203,4,2021,1,0.071,1.523,0,-0.0689999999999999,-0.2649999999999999,0,-0.032,1.626,0,-0.3419999999999999,1.846,0,0.5750000000000001,3.279,0,0.877,3.777,0
"Yeah, GNA. It was up sequentially.","Yeah, Peter, do you want to comment on the 200,000 GNA increase? Sure. Yeah, so you touched on it there. We added some folks in Q1, and there was this timing of payments for professional services also that played an impact on that increase there of about 200,000 that you mentioned.",1836.625,1860.217,5,2021,1,0.114,1.637,0,-0.0699999999999999,-0.3349999999999998,0,-0.0049999999999999,1.621,0,0.322,2.168,0,0.859,4.138,0,0.96,4.737,0
"Got it. Okay. Last question from me, and I'll jump back in the queue. But I want you to talk about M&A. I know you're interested. I know your pipeline is growing. do you think we could maybe see an acquisition from RF Industries this fiscal year?","Yeah, so I hope so. That's the plan. I think my intent was to have one done last year, and this one-year anniversary of the pandemic has reminded me that we had a lot of things that had an issue thrown directly in front of them, and that was one of them, was it became really hard to do the kind of due diligence we need to do in a business like ours. You know, it's not a It's not a software business or a consumer business that everyone knows about, so you've got to get out, see the people, see the quality of what's going on, and meet everyone, and that's something that's been tough to do. It's getting easier. I think we feel better about our ability to do that now, and our pipeline of M&A has gotten stronger, so I certainly hope so. The other thing I mentioned in my comments was You know, we added a specific subcommittee to our board led by Mark Holdsworth, our newest board member, focused completely on M&A. That's the whole purpose of doing that, to get faster, better, even more focus and make sure that we're hitting on all cylinders there. So our hope is certainly that we can still do, you know, at least a decent-sized transaction this year.",1877.755,1948.56,6,2021,1,0.511,2.148,0,-0.069,-0.4039999999999998,0,0.638,2.259,0,0.1659999999999999,2.334,0,0.851,4.989,0,0.942,5.679,0
"Okay, I guess maybe if I could squeeze one more in, you know, in terms of capabilities, what do you think you'd be interested in acquiring? Do you think it would be something that you'd want to expand on your direct air cooling offering or your small cell offering? Any color on that front would be helpful.","Yeah, sure. So I think the biggest thing for us is a related but not duplicate product area where we already have success. I think we're looking to add additional product areas that are similar or even things that could slightly overlap, but not just buying another cable assembly production kind of business. isn't really what we're planning to do. Now, if an amazing one were to come across, sure, we're gonna take a look at it, but we'd like to get into additional distribution channels, additional product areas that help us fill out the full bill of materials in a lot of the applications that we're already seeing, and that may take us into some related but parallel market segments. That's really the big push. Passive components, we like passive components. They fit well with what we do overall. And there's a lot of things that go inside an integrated solution like a small cell cabinet that we don't currently have that we're a manufacturer of. So we'd like to potentially fill out more of that bill of materials if possible.",1967.888,2032.922,7,2021,1,0.52,2.668,0,-0.0689999999999999,-0.4729999999999997,0,0.33,2.589,0,0.74,3.074,0,0.912,5.901,0,0.977,6.656,0
"Thank you for taking my question. Rob, I was looking back at press releases, historical press releases for RF Industries, and I noted that June 20th, 2017, there was a press release announcing that you were hired. And at the time, at that date, your stock closed at $1.51. And now it's quadrupled. So I wanted to... to give you kudos for that. I think if the stock price suggests you're doing a good job, I would agree with that.","Well, thanks, Hal. It feels like just yesterday, and it's been really easy. I appreciate that.",2112.466,2118.15,8,2021,1,0.284,2.952,0,-0.0639999999999999,-0.5369999999999996,0,0.5309999999999999,3.12,0,-0.2059999999999999,2.868,0,0.52,6.421,0,0.763,7.419,0
"Well, yeah, and more to come. So I was quickly taking a look through your queue, and I had a question about the statement of cash flows. I guess this might be for Peter. Your other current assets line was noteworthy, but I noticed that that has to do with taxes and perhaps with PPP. So can you walk us through what's going on with the tax line and the other current assets?","Yeah, so, like you mentioned there, a majority of that is with the PPP loan and the shift from it coming from long term to short term. The other piece of that is just related to taxes that we're dealing with. So, a part of that is there were some, you know, at the end of last year when we filed did our provision there for the Q4, there were some rulings related to how we could treat the PPP and certain deductions we can take that we couldn't take that has subsequently been, rules have changed around that and we can now take a different stance on it. So you hit the nail on the head there related to taxes and PPP there.",2158.638,2202.446,9,2021,1,0.316,3.268,0,-0.067,-0.6039999999999996,0,0.014,3.134,0,0.6000000000000001,3.468,0,0.851,7.272,0,0.925,8.344,0
"Okay, thank you. I really like the addition of Mark Holdsworth, addition to Sherry Cefali, and putting together a subcommittee of the board focused on acquisitions. I think acquisitions can be a really powerful tool to grow a company, but also it's something that's tricky, so it's important to get it right. And so I think you've got a lot of firepower there on the board. So I think that looks really good to me. Can you talk about your guidance regarding revenues for fiscal 21 compared to fiscal 20? It sounds like it's going to be more of the second half of fiscal 21 where revenues ramp up. Of course, we've already had one quarter under our belt, so to speak, which was down year over year. But can you kind of walk us through what you're thinking, maybe quarter by quarter, like second quarter? How will that be? Things will get better and better as the year progresses?","Yeah, sure. So, yeah, I think you just described it the way we look at it is, you know, we think that as is sort of typical in our history is our first quarter is always our toughest for, you know, holiday reasons and less business days and timing. We expect to get better from there. So we are expecting sequential growth as you go throughout the year. The way we see it today, it, you know, would be sequential one, two, three, four, exactly the way it's laid out with growth happening over the course of that time. The other thing I'll note there is I mentioned in my comments, little tiny movements of orders by a day or two can cause the short-term change in a pretty significant way to our results because of the size of our results. I think that's the other piece of this. It's harder to give immediate guidance for us than it is to say, here's what our expectation is for the year. We think we're going to have nice growth over what we did last year. Last year was a bizarre year. We've started this year in kind of the same position. So we think as the recovery gets better and as CapEx starts to flow, we might get a more normalized build season, which anybody who's been in wireless for More than a few of these cycles, there's a normal spring-summer kind of build that you start to see happening. We've been talking about 5G for I don't know how many years. I like the densification play related to 5G, and I think that's going to add some serious steroids to a typical season. We're hitting springtime here, and we're starting to see things get better from a CapEx perspective, but I wouldn't say it's back to any kind of normalcy. We kind of hear that same thing from both our distributors and a lot of our manufacturer partners that we talk to, that everyone's kind of experiencing the same thing. Unless you're in the data center or bulk fiber or broadband radio space, they've all done very, very well in the last year as the shift in topology of the network has For us, we think that the more normalized wireless spend starts to return in the next couple of quarters, which should take our results on kind of a traditional sequential trajectory of growth.",2289.19,2422.719,10,2021,1,0.456,3.724,0,-0.059,-0.6629999999999996,0,0.612,3.746,0,0.902,4.37,0,0.84,8.112,0,0.924,9.268,0
