Question,Answer,Q_Timestamp,A_Timestamp,QA_Index,year,quarter,assertive_expected_value,assertive_cumulative_tone,assertive_change_point,cautious_expected_value,cautious_cumulative_tone,cautious_change_point,optimistic_expected_value,optimistic_cumulative_tone,optimistic_change_point,specific_expected_value,specific_cumulative_tone,specific_change_point,clear_expected_value,clear_cumulative_tone,clear_change_point,relevant_expected_value,relevant_cumulative_tone,relevant_change_point
"Yeah, thanks. Good morning, and congrats on the strong quarter here. I wanted to ask a couple questions about the Quest business. You know, I think you were surprised as you acquired the business, kind of the expandability of it, you know, kind of the performance and some of these adjacencies that were rolled out. Clearly, that appears to continue to be a catalyst As we see bars as a category sort of underperform, how quickly and how much of a focus is, you know, expanding into the chips, the cookies, you know, some of the frozen products, et cetera, the adjacencies for Quest that seem to be doing quite well?","Yeah, good morning, Brian. It's a good question. You know, I think, first of all, we had high expectations of the Quest business when we bought it. and it has exceeded our expectations over the past year. The question you're asking about is around the balance between the protein bar business at Quest and the all other forms. And I think it's important that we stay focused on ensuring that the bar business continues to recover and starts growing. And the metric I would point to is unlike the Atkins business, the Quest business overall brand awareness is still relatively low. For the most part, Most households in the United States are not familiar with the Quest brand. So the job from a brand standpoint is to continue to build brand awareness and get the brand better known. The easiest avenue to do that is through the protein bar business, which is the largest, most important part of the business. So you should expect us to continue to focus on that. That said, Alternative forms, especially right now when at-home consumption is more important, is an important component to the brand. So focusing on the chips, the cookies, and now the confections on that business helps us introduce the brand, build brand awareness, and drive consumption in at-home. So I think you should see us continue to balance between those two things because we believe that there's upside growth in the bar form as well as the alternative forms.",1363.234,1460.209,1,2021,1,0.5680000000000001,0.5680000000000001,0,-0.0699999999999999,-0.0699999999999999,0,0.716,0.716,0,0.857,0.857,0,0.901,0.901,0,0.954,0.954,0
"Understood. Appreciate the color. And then just one other follow-up there on the Quest business. Can you just remind us, you know, starting from a lower gross margin base, you know, product mix, et cetera, where we are in the integration of that asset and thinking about the synergies flowing through this year and any changes as far as opportunities there to take costs out of that business or get those margins back up comparable to legacy Atkins?","Yeah, so this is Todd. The margins are we're seeing improvement on the Quest side. They are definitely getting a bit closer to the legacy Atkins business, so we're probably about two points below from a gross margin perspective. Some of the synergies have kicked in from a logistics standpoint. We're starting to see some of those benefits. We have a number of other projects from a supply chain perspective that will kick in later in the year. So I think we'll continue to see some progress against those gross margins. Again, just the business channels that it's in, some of the forms that are in long-term, it's probably always going to be a little bit less than legacy Atkins, but we're definitely making some progress. I'll leave it there. I apologize, everyone. Okay. As a follow-up to that, given the size of the bar business in both of the brands, it tends to be the more profitable form from a company standpoint. So driving bar performance over time is a margin-enhancing opportunity for the company. Got it. Best of luck, everyone.",1491.187,1564.017,2,2021,1,0.4,0.968,0,-0.073,-0.1429999999999999,0,0.5800000000000001,1.296,0,0.874,1.731,0,0.882,1.783,0,0.713,1.6669999999999998,0
Thanks.,All right.,1564.358,1565.659,3,2021,1,0.11,1.078,0,-0.048,-0.1909999999999999,0,0.019,1.315,0,-0.112,1.619,0,0.378,2.161,0,0.626,2.293,0
Our next question comes from the line of Jason English with Goldman Sachs. Please proceed with your question.,"Hey, good morning, folks. Happy New Year, and congrats on the improving sales momentum throughout the quarter. I guess let's pick up where you just left off on margins. Looking out to 2Q, I get that 2Q is sequentially always a bit of a margin step down from 1Q given seasonality. But questions in the prior year base, why are we going to flip to so much margin compression year on year, at least based at the midpoint of your guidance? Yeah, I don't think we're going to have a lot of margin compression from a Q2 to Q2 perspective. We'll have potentially a little bit, depending on where the product and channel mix comes in. But I think the margins should be relatively in line with last Q2. From Q1 to Q2, as we talk about, Q2 is always the lowest gross margin and EBITDA margin. quarter for us just because of the heavy, intensive merchandising that occurs in this quarter. But year over year, we should be fairly similar. Are you referring to gross margin or EBITDA margin? I'm referring to gross margin. Okay. I think your guidance, and maybe I need to go back and check my math, but the midpoint of your guidance for the first half, and obviously we can back out one cue, implies the EBITDA margin. would be down year on year. Is there something happening in the belly of the P&L, like stepped up SG&A, or maybe it's just maybe I need to go back and check on that. Yeah, slight increase in the SG&A rate is what we're rejecting. A little bit on the marketing side, so we're going to see a little bit of a bump up in marketing. We will see G&A as a percent a little bit higher. We just have some projects going on there, which will have some increased And from quarter to quarter here, it always bumps up in the second quarter as the start of the new year. We get pay increases. FICA taxes start to, you know, kick in again. So the G&A always tends to be a bit higher in Q2 as well. So, again, gross margin should be similar. EBITDA margins may be a little bit lower, but no significant changes. Okay. And with most of the shelf resets either behind you or good visibility to them, Can you give us an update on how you believe your share of shelf has changed? Yeah, Jason, we had a good fall reset season. So far, early returns, right, you got to see consumption. But for the most part, it's consumption that gives you visibility to TDP growth. So both brands growing TDPs in the high single to low double digits on a percentage basis. So we did pretty well. Now it all comes down to how productive those items are and how incremental those items are to really understand the impact on consumption. So we need January, February, March to better understand that. As you know, November, December are low-consumption months, and so you don't want to read too much into early reads. But for the most part, most of our new products, offtake has been pretty positive early. We want to see a little bit more data before we – before we feel good about that. Got it. Good stuff. Thank you, guys. I'll pass it on. Yeah. Have a good day.",1572.043,1783.743,4,2021,1,0.374,1.452,0,-0.062,-0.2529999999999999,0,0.159,1.474,0,0.951,2.57,0,0.908,3.069,0,0.971,3.264,0
"Hi. Nice quarter there. I just had a question. Hi. Just a follow-on to Jason's question. As I think about you had some nice shelf space wins. Thank you for quantifying the TDPs there. I'm just curious to how you define the competitive situation in your categories and, you know, what you're seeing from other big brands that might be competing with Atkins and Quest. And if I could also add to that or maybe get some perspective on kind of the new products and how those are contributing to your sales growth. You have a pretty good new product lineup. You know, is there sort of an incremental contribution you could help define from those new products?","Yes, talking about ourselves first, still really early innings from a consumption of new items. So we just look at kind of week-to-week velocities. Offtake appears to be pretty good. So the peanut butter cup, the lemon bar on Quest, both performing well. On Atkins, the iced coffee shakes and the Engulge dessert bars, all off to pretty good starts. But again, November, December are typically soft consumption months, so you don't want to read too much into that. But Overall, we feel pretty good about the start. It looks like, and I'll steal a little bit of Jason's theory, but I think retailers are coming back, you know, kind of in a COVID environment, supporting bigger brands, it appears. So in our category, it looks like that Premier has done pretty well. Clearly, Atkins and Quest have done pretty well. I don't really look at the bar set. It appears that Kind has done pretty well most recently from a bar standpoint. So it looks like maybe retailers have invested in leadership brands in order to drive the category kind of in this COVID environment. I want to see a little bit more data before I form a stronger opinion than that. Consumption obviously becomes more important than just looking at shelf space.",1830.43,1915.047,5,2021,1,0.4589999999999999,1.911,0,-0.068,-0.3209999999999999,0,0.575,2.049,0,0.489,3.059,0,0.8119999999999999,3.881,0,0.953,4.217,0
"I just want one other follow-up, which is in relation to the channel performance. Are you seeing a stronger performance in the mass channel versus, say, grocery? And does that relate to retailers getting behind some of these big brands? Is that going to help at a large retailer, for example, kind of help to push your performance there?","Yeah, during the quarter and in the early part of Q2, in general, mass got a little bit better. So steadily improved their performance, I think, based upon the fact they got behind the bigger brands and their consumption improved. So in general, our business got better in mass. In general, mass business relative to other channels got better. So we saw kind of steady incremental improvement. Even the bar business in mass got a little bit better. So I think coming out of the fall resets, mass in general improved their position and Obviously, they were leaking market share for a while. They're starting to move in the right direction. And that's obviously, given our development in mass, that's important to us. Shopper traffic got a little bit better, but we didn't see significant improvements in shopper traffic yet. We haven't seen that yet. And obviously, with kind of COVID cases spiking as we close the year and enter the new year, I think that'll be one of the headwinds that we want to continue to keep our eye on. Okay, thank you for that, Kohar. You're welcome.",1934.007,2003.322,6,2021,1,0.487,2.398,0,-0.064,-0.3849999999999999,0,0.592,2.641,0,0.75,3.809,0,0.821,4.702,0,0.481,4.698,0
"Thanks for the question. I guess going back to Quest and the peanut butter cups specifically, still very early days, but the Nielsen takeway looks very good. It looks like annualized is running around $9 million or so. I'm wondering, Joe, if you could speak to the launch, you know, what sort of expectations you have for ACV as F21 progresses, you know, moving outside of Target. And then also, you know, how aggressive are you with this product in e-com, non-measured channels? And, you know, how do you expect the marketing and distribution push will compare, you know, coming out of the gate relative to the cookies when they launched a few years ago? Thanks.","Yeah, actually, I haven't looked at it relative to cookies. I think in general, peanut butter cups will build faster just because of the organization that's now driving it, right? The legacy SMPL organization, probably a little bit faster than building food drug mass distribution. And historically, within a year, 12 months of launching a new product, we can get it pretty close to 50% ACV through drug masks. So I wouldn't, you know, I think that's a reasonable target from a 12-month standpoint. It is performing exceptionally well in e-commerce. And, you know, we have pretty high expectations. Confections is a different use occasion. different need state than the existing business. It has proven, in particular, peanut butter cups in general have proven to be, whether it be on Atkins or on SlimFast, to be a pretty compelling item. So we have pretty high expectations for it, and it's off to a pretty good start. So we're very optimistic about it. And again, it ties back to use case and need state, and it brings in new consumers to the brand because it's a different It's a different type of product and appeals to a different consumer. So we're pretty optimistic. And, yeah, I'm sorry, I don't have that comparison to cookies. I'd have to go back and look at the build-out from the Legacy Quest business. I expect we'll do better, frankly. Yeah, I just want to follow on to that. Just want to follow on to that. I mean, it's off to a really strong start in C-Store as well. C-Store team has done a really nice job getting distribution. We'll continue to get distribution. It's a fantastic single serve item and not something we don't have a lot of history with on the Atkins side, but it has the potential to be a very large C-Store item for us as well.",2050.641,2170.683,7,2021,1,0.4659999999999999,2.864,0,-0.062,-0.4469999999999999,0,0.6609999999999999,3.302,0,0.931,4.74,0,0.885,5.587,0,0.967,5.665,0
"Okay, great. I think just to follow up briefly on the shelf sets, obviously autumn was the big shelf reset period for you. Very, very successful. not to get ahead of ourselves, but as you kind of think across the next 12 months, the resets that still have yet to come in the market, was there anything discreet that benefited you in this August reset period that may suggest future resets may not be as successful? Or do you think between new innovation coming through, the marketing ramping here in January, the more promotion that's shelved into kind of beach season, that you can kind of sustain this reset momentum as the rest of your retailers kind of come forward here?","So your question is right after I got my reset in the fall, you want me to project what the spring looks like. So we could, you know, we, you know, we don't like to talk about what might happen in our business going forward. We feel really good about our product pipeline. We said that before this reset, I continue to like the innovation that's coming on both brands. We feel good about our position and, from an innovation standpoint. And after all, it's the ideas that you have and the ability to attract consumers that attract customers to want to add our items. I think there appears to be a move to drive leadership brands in order to drive the category, so that appears to play to us in that we've got two of the bigger brands in the set, so I feel good about that. You know, we're still in early innings of the fall reset. Let's see how that performs in January, February, March, before we start declaring victories in March, April, and May.",2208.782,2264.877,8,2021,1,0.478,3.342,0,-0.065,-0.5119999999999999,0,0.71,4.012,0,0.3309999999999999,5.071,0,0.878,6.465,0,0.957,6.622,0
"Yes. Hi. Good morning, and congratulations from me also. So I wanted to get some perspective on the back half, even though you're not providing an outlook. But if I look at your results this quarter, you weren't actually that far away from what we were expecting a year ago in this quarter on the top line and actually better on EBITDA. So it seems that in some ways you've been able to offset on-the-go weakness by accelerating these other forms that we've been talking about and maybe even accelerating e-commerce. So just wanted to get a sense from you, how would you frame the uncertainty or the risks and opportunities when things hopefully normalize in the back half, especially in light of easy comps?","Yeah, so, wow, great question. To tell you the truth, we haven't given much thought to the second half of the year at this point. You know, I'll talk to it as, you know, from a perspective of brand by brand. If you look at the Atkins business, the fiscal year 2020 softness was almost exclusively driven by our inability to grow new buyers at the rate that we were accustomed to. And if you then multiply their volume input into the business in the second half of the year, that was our miss from a volume standpoint. Probably the most encouraging thing in the first quarter was Atkins grew new buyers for the first time since the pandemic That's a very encouraging sign. That means people are engaging to some degree back in the category and back into the brand. The opportunity in the quarter was buy rate, so we just didn't drive as much buy rate, and that has to do with the large component of our business in bars and the away-from-home consumption element of bars. I think if I would summarize on Atkins the second half of the year, there's two simple questions. Can we continue to bring new buyers to the brand at the rate we saw in the first quarter? And then can we improve on the buy rate? And obviously, that's the big uncertainty, both from a new buyer as well as a retained buyer. If we can get the buy rate back up, I think we can have, obviously, a good back half of the year. I want to see a little bit more data. It's a little dangerous to read a quarter of data from a panel buy rate standpoint is just a little dangerous because it's just not a lot of data at this point. But that's how I would characterize Atkins, right? Can we get buy rate up? Can the bars start to improve? And can we get back closer to historic numbers? On Quest, I think, you know, the one comparison in Quest is, you know, prior to COVID, the business started to step up its growth in the second half of the year. And obviously COVID slowed that down for a bit. But we saw more aggressive comps on Quest. So can we continue? And then, obviously, a big bar business, buy rate on Quest becomes really important. You know, can we grow through, you know, the challenges and away from home consumption? So for us, the big metric in the second half of the year is going to be what's mobility look like? How does it impact bars? And then how does that impact buy rate on both businesses as we go forward? I think the other metrics that we can control, which is share of shelf, marketing, media investment, I think will do the right things there. The overhang will be, you know, how does the vaccine roll out? How does it improve mobility? And then how quickly does the away from home consumption come back to the two businesses?",2324.406,2495.061,9,2021,1,0.4539999999999999,3.796,0,-0.066,-0.5779999999999998,0,0.583,4.595,0,0.946,6.017,0,0.884,7.349,0,0.967,7.588999999999999,0
"Great. And then as I think about sort of, again, these other forms, I mean, it doesn't sound like that's where the concern is. Like, it seems that you can continue to grow that business. You're not worried about the sustainability of trends in those forms, even as mobility increases. Is that the right way to characterize it?","They tend to be, particularly chips and confections, tend to be more at-home consumptions. So less affected by the pandemic. There's white space on both of those forms, so we have the ability to fill out white space. Consumption continues to be good. The job in Quest is to build brand awareness, consideration, and trial. Again, from a two-business standpoint, if you just step back and look at the marketing challenges, on Atkins, everybody is aware of the brand. The job is to change their perspective on what the brand stands for. The job on Quest is to create brand awareness. It's still relatively low. We have a big, loyal consumer group on Quest, but still relatively low brand awareness outside that group. So your marketing pressure to continue to build awareness consideration and trial on that business, right? I'm trying to remember the unaided brand awareness. I don't think it's over 20% on Quest. So lots of opportunity on Quest to build awareness. All the forms matter, right? Bars matter as do the other forms. So we tend to define the issue much more from a consumer standpoint than a product and form standpoint. Got to build brand awareness on Quest. Got to continue to change people's points of view of what they believe on Atkins in order to grow household penetration. But products clearly help us to do that because they attack different need states and use occasions. And that helps us.",2517.866,2612.945,10,2021,1,0.56,4.356,0,-0.067,-0.6449999999999999,0,0.518,5.113,0,0.861,6.878,0,0.906,8.255,0,0.97,8.559,0
