Question,Answer,Q_Timestamp,A_Timestamp,QA_Index,year,quarter,assertive_expected_value,assertive_cumulative_tone,assertive_change_point,cautious_expected_value,cautious_cumulative_tone,cautious_change_point,optimistic_expected_value,optimistic_cumulative_tone,optimistic_change_point,specific_expected_value,specific_cumulative_tone,specific_change_point,clear_expected_value,clear_cumulative_tone,clear_change_point,relevant_expected_value,relevant_cumulative_tone,relevant_change_point
"Hi. Nick, early in the downturn, you – you know, you frame the business with limited, you know, very limited visibility into the end market and top line. You framed the business in terms of how you were planning from the cost side. So you, you know, you spoke to what you assumed for each end market to therefore plan costs. And so I was wondering if, you know, at this point in lieu of official guidance and given the still limited visibility, is it possible to speak to how you're planning the cost side vis-a-vis the pace of end market recovery on the aerospace side?","I think, Noah, because we don't want to give guidance, I don't want to end up giving it piece by piece by the markets. But I think for the cost, essentially, what we expect here is that we basically will hold our costs tight and about flat. You know, now that's going to move one way or the other if we're, you know, if we're wrong on the volume. I'd be hopeful that we are and it gets better rather than worse and we go in the other direction. But I think that's about as much as I want to say. You know, the truth is we're just unclear on the rate of recovery.",1389.811,1431.37,1,2021,1,0.395,0.395,0,-0.073,-0.073,0,0.177,0.177,0,0.1579999999999999,0.1579999999999999,0,0.7010000000000001,0.7010000000000001,0,0.912,0.912,0
"Yeah, yeah, and I, you know, I wasn't sure if you'd answer that question or not, but you had taken a shot at it on the way down and it proved reasonably accurate, so... I thought I would check. The sequential increase in bookings in the aftermarket, can you quantify how much that picked up?","It was like 76%, and the OEM was up 88%. So a significant uptick, and like I said, book-to-bill slightly ahead, modest uptick. over shipments. So we did a nice quarter on the commercial aftermarket side. And I think that's encouraging, as is the OEM side, to see such a snapback in bookings.",1452.861,1481.837,2,2021,1,0.295,0.69,0,-0.079,-0.152,0,0.607,0.784,0,0.827,0.985,0,0.6900000000000001,1.391,0,0.949,1.861,0
I guess that's off very easy compares. Do you happen to know how far from the pre-pandemic level that order rate is?,"Yeah, it's about half, right?",1491.886,1495.249,3,2021,1,0.0559999999999999,0.7459999999999999,0,-0.049,-0.201,0,-0.022,0.762,0,-0.0549999999999999,0.93,0,0.644,2.035,0,0.882,2.743,0
It's still about half.,"It's about half of what it is. As I said in my comments, our Q1 bookings were in line with the fall and flight activity.",1496.805,1505.411,4,2021,1,0.144,0.8899999999999999,0,-0.039,-0.24,0,0.0049999999999999,0.7669999999999999,0,0.206,1.136,0,0.749,2.7840000000000003,0,0.741,3.484,0
Okay.,So we essentially were underbooking and now we're kind of caught up.,1506.992,1510.614,5,2021,1,0.0269999999999999,0.9169999999999998,0,-0.062,-0.302,0,-0.036,0.731,0,-0.198,0.938,0,0.581,3.365,0,0.6549999999999999,4.139,0
"So it kind of went to nothing and now it's matched up with revenue. That's right. And then just last one quickly, the Cobham business. I know you gave that margin range there, but what were the actual last margins right before you bought it? And is this a business that you can get to the trans time consolidated margin?","Yeah, we didn't disclose the actual margins before we bought it, but, you know, we just gave you some kind of range. The range, of course, is because we don't exactly know how much, you know, we're only very short into the ownership and the exact speed of which, you know, things change, we can't exactly calibrate yet. Can it get up to the trans-dime margins? We didn't model it that way. To get our return, it does not have to get that high. And we'll see. We'll see over time. But it's a good, solid, proprietary kind of aftermarket business. But you don't have to get the kind of trans-dime margins to get the return. And that's not how we model. We hope to model conservatively, as you know.",1533.138,1578.594,6,2021,1,0.397,1.3139999999999998,0,-0.0819999999999999,-0.3839999999999999,0,0.0519999999999999,0.7829999999999998,0,0.6990000000000001,1.637,0,0.851,4.216,0,0.954,5.093,0
"Hey, good morning, everyone. And roll tide, Kevin. That's right. I'll be quick here. Just a short little clarification, then one, you just give us some color. On the interiors, weaker piece in the aftermarket, can you give us a sense of just how much weaker that was. I mean, I assume it would be meaningfully weaker, just given that that's where you get a lot more of the discretionary sort of stuff there. Any color there would be helpful. And then just with respect to the sales that are going to distribution, if you've seen any difference in customer behavior, buying patterns, anything of that to know, just within that customer subsegment. Thank you.","On the interior side, I think What we are seeing is just, as you said, in general a slowdown. That's the last place people are looking to do work, although recently we've seen a nice uptick in activity. But it still is the lowest performing sector of the aftermarket business. On disty sales, I have not seen nor have I heard of any difference in ordering or any difference in behavior by the customer base.",1640.729,1680.706,7,2021,1,0.318,1.632,0,-0.0689999999999999,-0.4529999999999998,0,0.094,0.8769999999999998,0,-0.06,1.577,0,0.6930000000000001,4.909,0,0.864,5.957,0
"Okay, and just to be clear, on the interior piece, I mean, are we talking the whole thing's down 50 in the aftermarket? Are we talking down 80, 90, or is it that magnitude, or am I being too harsh?","No, it's not that far. It's just slightly worse than the rest of our business. It's not off so dramatically. Okay.",1694.755,1701.84,8,2021,1,0.1659999999999999,1.7979999999999998,0,-0.066,-0.5189999999999998,0,-0.0289999999999999,0.848,0,-0.104,1.473,0,0.616,5.525,0,0.6619999999999999,6.619,0
Okay. All right. Thanks. I'll let somebody else.,Kevin that's offset some in the other direction by the Frank business.,1704.589,1707.471,9,2021,1,0.0539999999999999,1.852,0,-0.065,-0.5839999999999999,0,-0.033,0.815,0,-0.229,1.244,0,0.4279999999999999,5.953,0,0.481,7.1,0
"Great. Thanks. Um, good morning. I just had a question on your, your incentive changes that you had to do, obviously given the backdrop of how quickly the financials changed and wanting to align to performance. And you move to EBITDA percentage as well as an absolute basis. And I know that there's, you know, historically we can track sort of a 10% to 17.5% IRR as your target. But I'm struggling. Could you maybe fill in the blanks on what the EBITDA percent margin range might look like? Is 44% at the midpoint, the low end, or the high end of that performance metric?","Yeah, I don't think we want to go into too many specifics on the margin target. Obviously, you know, the 44% is what we gave you all, so it's what we feel pretty good about for the year, and that's what we're, as you've been through the proxy details, it sounds like, Miles, you know that's what we're comped against here for this year, given the challenging industry circumstances. Okay. I might add, we would expect, assuming the world stabilizes, we would expect at the end of 21 to reset on the same kind of, you know, value creation parameters that we historically have had. Things got so disrupted that it was very hard to do that right now. Okay.",1755.16,1801.598,10,2021,1,0.391,2.2429999999999994,0,-0.067,-0.6509999999999998,0,0.276,1.091,0,0.749,1.993,0,0.7899999999999999,6.743,0,0.957,8.057,0
