tic,year,quarter,timestamp_Q,timestamp_A,timestamp_et_q_start,timestamp_et_q_end,timestamp_et_a_start,timestamp_et_a_end,section,speaker_name_Q,speaker_title_Q,question_text,speaker_name_A,speaker_title_A,answer_text,assertive_label,assertive_score,cautious_label,cautious_score,optimistic_label,optimistic_score,specific_label,specific_score,clear_label,clear_score,relevant_label,relevant_score,sent_section_id,qa_assertive_signed,qa_cautious_signed,qa_optimistic_signed,qa_specific_signed,qa_clear_signed,qa_relevant_signed,qa_assertive_cumulative,qa_cautious_cumulative,qa_optimistic_cumulative,qa_specific_cumulative,qa_clear_cumulative,qa_relevant_cumulative,qa_assertive_sentence_level_CP,qa_cautious_sentence_level_CP,qa_optimistic_sentence_level_CP,qa_specific_sentence_level_CP,qa_clear_sentence_level_CP,qa_relevant_sentence_level_CP
TRV,2021,1,1675.77,1766.983,2021-04-20 09:27:52.489000-04:00,2021-04-20 09:27:55.770000-04:00,2021-04-20 09:27:55.770000-04:00,2021-04-20 09:29:26.983000-04:00,QA,Michael Phillips,"Analyst, Morgan Stanley","Thanks. Good morning, everybody. First question on business insurance. I guess as we kind of think about the rest of the year and, Alan, your comments on pricing continuing to outpace loss trends, I just want to get your take on how the renewal premium change should ??we should expect that to continue to rise given the impact of maybe better exposure growth? for the year and how you think about that versus maybe a continued deceleration in pricing. So how we can think about maybe the RPC for business insurance.",Alan Schnitzer,Chairman and CEO,"Yeah, good morning, Michael. Thanks for the question. You know, we stopped getting outlook on price change, but I'll make a couple of comments that hopefully are responsive. We're now several years into compounding year-over-year improvement in rate and price. The three sequential quarters prior to this one, I think, in business insurance anyway, all made record prices. So that's pretty good progress. As a consequence, margins are improving. But having said that, the drivers of price change overall are environmental and still relevant. So We expect that overall pricing and pure rate, for that matter, will continue to be at levels that result in expanding margins for a while now. Whether prices in particular lines go up, down, or sideways, I don't think we're going to try to predict that, but it's all pretty rational. It's all pretty relative to the rate where we need it. Again, there's always a lot of focus on that headline number because that's what we provide, but we're looking hard at the granular execution underneath that takes into account all the variables of account rate adequacy. So we feel great about this pricing level. We are near all-time highs in pricing, and we expect the favorable vibrate to continue for some time.",positive,0.607,neutral,0.647,positive,0.723,positive,0.905,positive,0.866,positive,0.973,1,0.607,0.0,0.723,0.905,0.866,0.973,0.607,0.0,0.723,0.905,0.866,0.973,0,0,0,0,0,0
TRV,2021,1,1781.249,1812.964,2021-04-20 09:29:26.983000-04:00,2021-04-20 09:29:41.249000-04:00,2021-04-20 09:29:41.249000-04:00,2021-04-20 09:30:12.964000-04:00,QA,Michael Phillips,"Analyst, Morgan Stanley","Okay, thanks, Alan. I guess one more, if we could switch over then to the authorization. Anything to read there on that that would signify any interest or lack of interest in any kind of large-scale M&A?",Dan Fry,Chief Financial Officer,"Daniel, take that. Michael, it's Dan. No signal at all. It's simply the math I gave you. By the time we did the repurchases we did in the first quarter of this year, we were down to $800 million of Authorization remaining under the under the share repurchase. If you look at our history over the last 10 or 12 years, every time we sort of get down to this level, the board, the board authorizes an additional buyback. And this was just the timing to do that.",neutral,0.456,neutral,0.648,neutral,0.886,positive,0.697,positive,0.825,positive,0.973,2,0.0,0.0,0.0,0.697,0.825,0.973,0.607,0.0,0.723,1.6019999999999999,1.6909999999999998,1.946,1,0,1,0,0,0
TRV,2021,1,1857.084,1891.36,2021-04-20 09:30:12.964000-04:00,2021-04-20 09:30:57.084000-04:00,2021-04-20 09:30:57.084000-04:00,2021-04-20 09:31:31.360000-04:00,QA,,,"Hey, thanks. Good morning. So I guess following up on that one with rate, just trying to get a feel for, you know, if we look at the 8-4 rate increases, are we seeing, you know, more accounts that are closer to rate adequate and that 8-4 is a product of, you know, some accounts needing a lot and some not needing much at all? Or, you know, if we were to look at across the book of renewals, is it safe to say that you're still getting you know, positive rate on kind of the vast majority of accounts that are renewing.",Greg Teslowski,"President, Business Insurance","Morning, Ryan. Hey, this is Greg. Yes, we absolutely are getting the vast majority of our accounts are getting rate. And as Alan said, you know, with nine consecutive quarters with year-over-year rate change. Certain pockets, of course, are becoming more rate adequate. And, you know, just as a reminder, as we've shared with you in the past, you know, we really empower our local underwriters to look at, you know, every single account based on its own merit. And we think they've been doing a terrific job of retaining the book and continuing to get some pricing change across the portfolio.",positive,0.597,neutral,0.696,positive,0.675,positive,0.77,positive,0.929,positive,0.974,3,0.597,0.0,0.675,0.77,0.929,0.974,1.204,0.0,1.3980000000000001,2.372,2.62,2.92,1,0,0,0,0,0
TRV,2021,1,1918.339,1988.125,2021-04-20 09:31:31.360000-04:00,2021-04-20 09:31:58.339000-04:00,2021-04-20 09:31:58.339000-04:00,2021-04-20 09:33:08.125000-04:00,QA,,,"Got it. And then I guess for Alan... Just, I guess, looking for an update on your current thinking around M&A strategy there. I think in the past you haven't done any larger deals. I think maybe Simply Business might have been the last one I remember, which was, I think, less than a bill. How are you thinking about scale? How are you thinking about M&A appetite?",Alan Schnitzer,Chairman and CEO,"Yeah, Ryan, I understand the question and probably the thought process behind it. There's no change in our approach to M&A, and that's not to say that we're not interested. Our shareholders should expect that all the time we are evaluating transaction opportunities and thinking about them. And we often say some of the best deals we've done are the deals we didn't do. But that's not to say that we're not often looking and thinking strategically about what's out there. And so we have a view on all the things out there and all the markets we're in that might be attractive to us and under what terms and conditions we'd want to do them. And I would have given you the same answer a year ago or five years ago, frankly. And as we've said many times, the lens we would use for whether we would do a deal or not are, does it improve our long-term return profile? Does it reduce volatility? And or would it create shareholder value through some other important strategic benefit? So- I mean, of course we do the analysis as granularly and detailed as, as hopefully you would expect from us, but, but essentially that's the lens and that hasn't changed.",positive,0.585,neutral,0.676,neutral,0.766,positive,0.751,positive,0.857,positive,0.974,4,0.585,0.0,0.0,0.751,0.857,0.974,1.789,0.0,1.3980000000000001,3.123,3.477,3.894,0,0,0,0,0,0
TRV,2021,1,2027.072,2107.806,2021-04-20 09:33:08.125000-04:00,2021-04-20 09:33:47.072000-04:00,2021-04-20 09:33:47.072000-04:00,2021-04-20 09:35:07.806000-04:00,QA,David,"Analyst, Evercore ISI","Hi, good morning. Um, I, I guess I had a question, um, for Greg, um, Was there, just in business insurance, I'm wondering if there was any sort of COVID benefit that you guys had underneath, in that underlying loss ratio that we should be thinking about?",Dan Fry,Chief Financial Officer,"Hey, David, it's Dan Fry. I'll take that. You know, COVID's interesting this quarter in that, you know, it's We've been living with it for about a year now. Last year as it emerged, it was pretty apparent what you thought the impact was of COVID because you were looking at an immediately pre-COVID environment versus something new. It doesn't feel that way anymore. It's sort of woven into the fabric of the economy and overall results. That's one of the reasons that, you know, even going back to last year, we chose to leave everything related to COVID in our underlying combined ratio. In a way, it's really not feasible. to be able to specifically spike out, you know, what do we think the impact of COVID was in the quarter? Having said that, qualitatively, you know, we have some idea. You heard Michael talk about, you know, the impact of COVID on miles driven and PI. Didn't get a mention in business insurance because we think it was pretty modest. There was, again, some level of direct charges related to COVID-specific losses in things like workers' comp, but very modest. And we'd say probably largely offset, if not slightly more than offset, by related benefits and non-COVID frequency.",positive,0.528,neutral,0.677,neutral,0.764,positive,0.878,positive,0.913,positive,0.975,5,0.528,0.0,0.0,0.878,0.913,0.975,2.317,0.0,1.3980000000000001,4.001,4.39,4.869,0,0,0,0,0,0
TRV,2021,1,2162.437,2242.3,2021-04-20 09:35:07.806000-04:00,2021-04-20 09:36:02.437000-04:00,2021-04-20 09:36:02.437000-04:00,2021-04-20 09:37:22.300000-04:00,QA,David,"Analyst, Evercore ISI","Got it. Great. That's helpful. And then maybe if I could just follow up on that, you know, obviously great to see the margin expansion a little under two points of underlying loss ratio improvement in B.I., You know, that increased from, you know, I calculate around 150 basis points in the fourth quarter. It feels to me like that should continue to improve at an increasing rate. But when I look at the amount of renewal rate change that you guys have gotten over the last five to six quarters, I would have thought that there would have been a bit more than two points of improvement this quarter. So maybe you could help me just think about some of the moving pieces here as we think about margin improvement going forward.",Dan Fry,Chief Financial Officer,"Sure, David. Stan again. So I think the numbers that we see coming through business insurance for rate versus trend align with what we've seen from written results over the last several quarters if you just factor in what's earning its way through. So we did see a steadily increasing level of rate increase over last year and we are seeing a steadily increasing level of improvement in terms of the earned impact of rate versus trend. It moves slowly and it moves in sort of tenths of a point changes at a time. I guess the other thing I'd say to keep in mind is You know, it's not just the simple math of if we've got eight points of rate versus five points of trend, that's three points of margin expansion. It's not. It's rate versus trend. That's a three percentage point difference. But if you translate it into loss ratio points, when you consider, say, theoretically a 60th loss ratio, that translates into a little less than two points of margin expansion. So. being close to two points of margin expansion and expecting that number to increase maybe very slightly from here as the higher rates aren't through is right where we thought we'd be.",positive,0.53,neutral,0.671,positive,0.491,positive,0.966,positive,0.862,positive,0.979,6,0.53,0.0,0.491,0.966,0.862,0.979,2.847,0.0,1.889,4.967,5.252,5.848,0,0,0,0,0,0
TRV,2021,1,2290.646,2374.157,2021-04-20 09:37:22.300000-04:00,2021-04-20 09:38:10.646000-04:00,2021-04-20 09:38:10.646000-04:00,2021-04-20 09:39:34.157000-04:00,QA,Josh Shanker,"Analyst, Bank of America","Josh Shanker with Bank of America. Your line is open. Yeah, good morning, everyone. A few out-of-left-field questions that I hope I can get some information on. As you restated the personal line segment and, I guess, folded the direct-to-consumer business into homeowners and personal auto segments, what does that say about travelers' interest in the direct-to-consumer as a as a channel going forward? Should we expect that travelers will be a player in that market or it's not really important to your P&L in the long run and makes more sense just to fold it in?",Michael Klein,"President, Personal Insurance","Sure, Josh. It's Michael. I would say, you know, very specifically the restatement of the financials doesn't say anything about our commitment to direct the consumer one way or the other. It's still an important capability for us. It's still A segment of the business we're investing in, frankly, it got to the point where, you know, and you can see it in the, you know, the restatement that we gave you, it was north of 400Million dollars worth of revenue as of the end of last year. and it was a big enough portion of the business, frankly, that leaving it to the side of the line breakout on the P&L didn't make sense. Not that it moved the needle on those numbers that much, but it was an important enough part of the business that we thought it should be fully included in the P&L statistics and then in the domestic production statistics so that when we do make investments in, for example, marketing and advertising that drive growth in direct-to-consumer business, we want that to show up in the production results that you see. So I would say it doesn't indicate a change in our emphasis, and if anything, I would say it reinforces the importance of that business to us both as a business segment and as essentially a place to continue to build and test and learn and build capability.",positive,0.613,neutral,0.646,neutral,0.548,positive,0.812,positive,0.884,positive,0.973,7,0.613,0.0,0.0,0.812,0.884,0.973,3.46,0.0,1.889,5.779,6.136,6.821,0,0,0,0,0,0
TRV,2021,1,2401.97,2472.129,2021-04-20 09:39:34.157000-04:00,2021-04-20 09:40:01.970000-04:00,2021-04-20 09:40:01.970000-04:00,2021-04-20 09:41:12.129000-04:00,QA,Josh Shanker,"Analyst, Bank of America","And similarly, how should I think about Simply Business going forward? Sort of two parts. One, How big is it? How big does Travelers think it's going to be over the next few years? And two, not that we need numbers, but when you are taking a quote in from a direct consumer manner in business, is the loss ratio materially different than it is from your agency-directed book?",Greg Teslowski,"President, Business Insurance","You're talking about Simply Business, Josh? Simply Business, absolutely. Just as a reminder there, we're the intermediary in that business. We're not the market behind it, so we wouldn't comment on the profitability of that. And I would say about Simply Business, it continues to be a medium-term initiative that we feel urgent about. We're not going to break it out more than that, but we are investing in it. It is a very important capability for us. You know, so far, the small commercial market hasn't really adopted a direct ??approach to buying the product other than at the very micro end. But we're not betting that's going to stay the same, and we're investing in capabilities to make sure that we're prepared to address that market as it matures. Greg, anything? Just to give you a little more color on geographies, the thrust of the premium is still in the U.K., but we've invested in infrastructure in the United States to capture some of that value that Alan just articulated, but that we believe is going to take some time. Trust in the revenue, Greg. Not coming through premiums. Correct. Yeah.",positive,0.564,neutral,0.675,neutral,0.733,positive,0.764,positive,0.823,positive,0.816,8,0.564,0.0,0.0,0.764,0.823,0.816,4.024,0.0,1.889,6.543,6.959,7.637,0,0,0,0,0,0
TRV,2021,1,2518.871,2622.06,2021-04-20 09:41:12.129000-04:00,2021-04-20 09:41:58.871000-04:00,2021-04-20 09:41:58.871000-04:00,2021-04-20 09:43:42.060000-04:00,QA,Elise Greenspan,"Analyst, Wells Fargo","Hi, thanks. Good morning. My first question is on going back to the business insurance discussion. So it sounds like you guys are kind of looking for stable rates for you know, I guess across, you know, your businesses, hoping to kind of confirm, I guess that would be the case, kind of stable through the balance of this year, just based off of some commentary. And then would you guys expect, you know, workers comp, it sounds like that's still slightly negative. Would you expect that to inflect this year, or perhaps that's something that we should more be thinking about in 2022?",Alan Schnitzer,Chairman and CEO,"Elise, on the go-forward view of rate, we actually didn't give a view of direction other than to say we expect it to continue to be at levels that will continue to contribute to margin expansion. And we're just trying to get away from giving outlook and prognosticating. But we feel great about what we achieved in terms of pricing this quarter, and we feel very good about the outlook for pricing. In terms of workers' comp, We've said in recent quarters that it feels like we're pretty close to making a bottom and turning around, and we continue to feel that way. We saw progress in the quarter, both in terms of pure rate, which was slightly negative, but a steady improvement over the last several quarters. Premium change, as I said, including exposure, was positive for the first time in a few quarters, which we think really speaks to our customers' confidence. So that was a really good thing. So that's what we'd share about that. I guess the other point I would say, Elise, is it turns out that the workers' comp experience through COVID, at least so far, and we're being cautious about this, but... But at least so far, what we see in the data is that it's a little bit better than we expected. And that could impact pricing going forward. I think the likely result of that is maybe instead of hitting the bottom and inflecting positively, it hits the bottom and bounces around there a little bit before making the turn positive. Not a bad sign. It's reflective of the profitability of the line, which has been very strong. And we continue to think we're making a bottom and moving towards a turn north.",positive,0.546,neutral,0.642,positive,0.704,positive,0.932,positive,0.865,positive,0.953,9,0.546,0.0,0.704,0.932,0.865,0.953,4.57,0.0,2.593,7.475,7.824,8.59,0,0,1,0,0,0
TRV,2021,1,2652.673,2712.102,2021-04-20 09:43:42.060000-04:00,2021-04-20 09:44:12.673000-04:00,2021-04-20 09:44:12.673000-04:00,2021-04-20 09:45:12.102000-04:00,QA,Elise Greenspan,"Analyst, Wells Fargo","Okay, great. And then my second question, going back to the M&A discussion, Alan, I think you said you guys would consider yields as the caveat of not wanting to add to the volatility of the company. As you think about transactions, are there certain business lines that are higher up on the list as you evaluate potential M&A? Can you just help us think through potential transactions from where you might want to add to your business offering?",Alan Schnitzer,Chairman and CEO,"I guess, Elise, the comment was of the three prongs to the lenses we think about, reducing volatility is one of the virtues that we might look for. And I guess to your question, when we think about our portfolio, we think about our capabilities, we think about the breadth and depth of our business, we feel great. There's nothing missing from our portfolio of businesses. We can keep going exactly the way we are and compete very successfully. Having said that, there are various opportunities, and some of them could be for scale, some of them could be for products, some of them could be geography. I mean, there's all sorts of things that in one circumstance or another might contribute to an attractive acquisition opportunity for us. So it's hard for me to say, gee, this is what we're looking for, that's what we're looking for. Again, no gaps in capabilities, but potentially some opportunities.",positive,0.598,neutral,0.68,neutral,0.561,positive,0.538,positive,0.855,positive,0.969,10,0.598,0.0,0.0,0.538,0.855,0.969,5.168,0.0,2.593,8.013,8.679,9.559,0,0,1,0,0,0
