tic,name,name_tic
AAPL,Apple Inc.,Apple Inc. (AAPL)
AVGO,Broadcom Inc.,Broadcom Inc. (AVGO)
CPA,"Copa Holdings, S.A. ","Copa Holdings, S.A. (CPA)"
JOUT,Johnson Outdoors Inc.,Johnson Outdoors Inc. (JOUT)
MMS,"Maximus, Inc.","Maximus, Inc. (MMS)"
NX,Quanex Building Products Corporation,Quanex Building Products Corporation (NX)
PLXS,Plexus Corp.,Plexus Corp. (PLXS)
PSMT,"PriceSmart, Inc.","PriceSmart, Inc. (PSMT)"
RFIL,"RF Industries, Ltd.","RF Industries, Ltd. (RFIL)"
SMPL,The Simply Good Foods Company,The Simply Good Foods Company (SMPL)
TDG,Transdigm Group Incorporated,Transdigm Group Incorporated (TDG)
TRV,"The Travelers Companies, Inc.","The Travelers Companies, Inc. (TRV)"
