tic,name,year,quarter,timestamp_utc_start,timestamp_utc_end,timestamp_et_start,timestamp_et_end,is_sp500,mcap,mcap_rank
AAPL,Apple Inc.,2021,1,2021-01-27 22:00:00+00:00,2021-01-27 23:08:37.086000+00:00,2021-01-27 17:00:00-05:00,2021-01-27 18:08:37.086000-05:00,TRUE,4.03E+12,1
AAPL,Apple Inc.,2021,2,2021-04-28 20:00:00+00:00,2021-04-28 21:00:25.371000+00:00,2021-04-28 16:00:00-04:00,2021-04-28 17:00:25.371000-04:00,TRUE,4.03E+12,1
AAPL,Apple Inc.,2021,3,2021-07-27 20:00:00+00:00,2021-07-27 21:01:35.157000+00:00,2021-07-27 16:00:00-04:00,2021-07-27 17:01:35.157000-04:00,TRUE,4.03E+12,1
AAPL,Apple Inc.,2021,4,2021-10-28 20:00:00+00:00,2021-10-28 21:00:25.391000+00:00,2021-10-28 16:00:00-04:00,2021-10-28 17:00:25.391000-04:00,TRUE,4.03E+12,1
AVGO,Broadcom Inc.,2021,1,2021-03-04 22:00:00+00:00,2021-03-04 22:47:02.184000+00:00,2021-03-04 17:00:00-05:00,2021-03-04 17:47:02.184000-05:00,TRUE,1.61E+12,2
AVGO,Broadcom Inc.,2021,2,2021-06-03 21:00:00+00:00,2021-06-03 21:46:56.739000+00:00,2021-06-03 17:00:00-04:00,2021-06-03 17:46:56.739000-04:00,TRUE,1.61E+12,2
AVGO,Broadcom Inc.,2021,3,2021-09-02 21:00:00+00:00,2021-09-02 21:46:54.703000+00:00,2021-09-02 17:00:00-04:00,2021-09-02 17:46:54.703000-04:00,TRUE,1.61E+12,2
AVGO,Broadcom Inc.,2021,4,2021-12-09 22:00:00+00:00,2021-12-09 22:59:56.750000+00:00,2021-12-09 17:00:00-05:00,2021-12-09 17:59:56.750000-05:00,TRUE,1.61E+12,2
CPA,"Copa Holdings, S.A. ",2021,1,2021-05-06 15:00:00+00:00,2021-05-06 15:36:53.309000+00:00,2021-05-06 11:00:00-04:00,2021-05-06 11:36:53.309000-04:00,FALSE,5163176448,48
CPA,"Copa Holdings, S.A. ",2021,2,2021-08-05 15:00:00+00:00,2021-08-05 15:51:19.447000+00:00,2021-08-05 11:00:00-04:00,2021-08-05 11:51:19.447000-04:00,FALSE,5163176448,48
CPA,"Copa Holdings, S.A. ",2021,3,2021-11-18 16:00:00+00:00,2021-11-18 16:44:29.332000+00:00,2021-11-18 11:00:00-05:00,2021-11-18 11:44:29.332000-05:00,FALSE,5163176448,48
CPA,"Copa Holdings, S.A. ",2021,4,2021-02-10 16:00:00+00:00,2021-02-10 16:52:17.021000+00:00,2021-02-10 11:00:00-05:00,2021-02-10 11:52:17.021000-05:00,FALSE,5163176448,48
JOUT,Johnson Outdoors Inc.,2021,1,2021-02-05 16:00:00+00:00,2021-02-05 16:15:04.783000+00:00,2021-02-05 11:00:00-05:00,2021-02-05 11:15:04.783000-05:00,FALSE,398502336,72
JOUT,Johnson Outdoors Inc.,2021,2,2021-05-07 15:00:00+00:00,2021-05-07 15:13:37.710000+00:00,2021-05-07 11:00:00-04:00,2021-05-07 11:13:37.710000-04:00,FALSE,398502336,72
JOUT,Johnson Outdoors Inc.,2021,3,2021-08-09 15:00:00+00:00,2021-08-09 15:16:55.183000+00:00,2021-08-09 11:00:00-04:00,2021-08-09 11:16:55.183000-04:00,FALSE,398502336,72
JOUT,Johnson Outdoors Inc.,2021,4,2021-12-10 16:00:00+00:00,2021-12-10 16:46:44.413000+00:00,2021-12-10 11:00:00-05:00,2021-12-10 11:46:44.413000-05:00,FALSE,398502336,72
MMS,"Maximus, Inc.",2021,1,2021-02-04 14:00:00+00:00,2021-02-04 14:41:35.185000+00:00,2021-02-04 09:00:00-05:00,2021-02-04 09:41:35.185000-05:00,FALSE,4537271808,51
MMS,"Maximus, Inc.",2021,2,2021-05-06 13:00:00+00:00,2021-05-06 13:51:55.726000+00:00,2021-05-06 09:00:00-04:00,2021-05-06 09:51:55.726000-04:00,FALSE,4537271808,51
MMS,"Maximus, Inc.",2021,3,2021-08-05 13:00:00+00:00,2021-08-05 13:55:05.519000+00:00,2021-08-05 09:00:00-04:00,2021-08-05 09:55:05.519000-04:00,FALSE,4537271808,51
MMS,"Maximus, Inc.",2021,4,2021-11-18 14:00:00+00:00,2021-11-18 14:44:17.045000+00:00,2021-11-18 09:00:00-05:00,2021-11-18 09:44:17.045000-05:00,FALSE,4537271808,51
NX,Quanex Building Products Corporation,2021,1,2021-03-05 16:00:00+00:00,2021-03-05 16:37:36.214000+00:00,2021-03-05 11:00:00-05:00,2021-03-05 11:37:36.214000-05:00,FALSE,599151552,69
NX,Quanex Building Products Corporation,2021,2,2021-06-04 15:00:00+00:00,2021-06-04 15:42:51.398000+00:00,2021-06-04 11:00:00-04:00,2021-06-04 11:42:51.398000-04:00,FALSE,599151552,69
NX,Quanex Building Products Corporation,2021,3,2021-09-03 15:00:00+00:00,2021-09-03 15:43:46.597000+00:00,2021-09-03 11:00:00-04:00,2021-09-03 11:43:46.597000-04:00,FALSE,599151552,69
NX,Quanex Building Products Corporation,2021,4,2021-12-17 16:00:00+00:00,2021-12-17 16:41:52.605000+00:00,2021-12-17 11:00:00-05:00,2021-12-17 11:41:52.605000-05:00,FALSE,599151552,69
PLXS,Plexus Corp.,2021,1,2021-01-21 13:30:00+00:00,2021-01-21 14:28:56.742000+00:00,2021-01-21 08:30:00-05:00,2021-01-21 09:28:56.742000-05:00,FALSE,3768966144,53
PLXS,Plexus Corp.,2021,2,2021-04-22 12:30:00+00:00,2021-04-22 13:26:38.975000+00:00,2021-04-22 08:30:00-04:00,2021-04-22 09:26:38.975000-04:00,FALSE,3768966144,53
PLXS,Plexus Corp.,2021,3,2021-07-22 12:30:00+00:00,2021-07-22 13:24:31.494000+00:00,2021-07-22 08:30:00-04:00,2021-07-22 09:24:31.494000-04:00,FALSE,3768966144,53
PLXS,Plexus Corp.,2021,4,2021-10-28 12:30:00+00:00,2021-10-28 13:13:51.003000+00:00,2021-10-28 08:30:00-04:00,2021-10-28 09:13:51.003000-04:00,FALSE,3768966144,53
PSMT,"PriceSmart, Inc.",2021,1,2021-01-08 17:00:00+00:00,2021-01-08 17:40:09.930000+00:00,2021-01-08 12:00:00-05:00,2021-01-08 12:40:09.930000-05:00,FALSE,3586495232,54
PSMT,"PriceSmart, Inc.",2021,2,2021-04-09 16:00:00+00:00,2021-04-09 16:39:15.816000+00:00,2021-04-09 12:00:00-04:00,2021-04-09 12:39:15.816000-04:00,FALSE,3586495232,54
PSMT,"PriceSmart, Inc.",2021,3,2021-07-09 16:00:00+00:00,2021-07-09 16:35:54.137000+00:00,2021-07-09 12:00:00-04:00,2021-07-09 12:35:54.137000-04:00,FALSE,3586495232,54
PSMT,"PriceSmart, Inc.",2021,4,2021-10-22 16:00:00+00:00,2021-10-22 16:49:39.798000+00:00,2021-10-22 12:00:00-04:00,2021-10-22 12:49:39.798000-04:00,FALSE,3586495232,54
RFIL,"RF Industries, Ltd.",2021,1,2021-03-11 21:30:00+00:00,2021-03-11 22:15:50.063000+00:00,2021-03-11 16:30:00-05:00,2021-03-11 17:15:50.063000-05:00,FALSE,70511824,84
RFIL,"RF Industries, Ltd.",2021,2,2021-06-14 20:30:00+00:00,2021-06-14 21:08:05.824000+00:00,2021-06-14 16:30:00-04:00,2021-06-14 17:08:05.824000-04:00,FALSE,70511824,84
RFIL,"RF Industries, Ltd.",2021,3,2021-09-13 20:30:00+00:00,2021-09-13 21:02:07.905000+00:00,2021-09-13 16:30:00-04:00,2021-09-13 17:02:07.905000-04:00,FALSE,70511824,84
RFIL,"RF Industries, Ltd.",2021,4,2021-12-22 13:30:00+00:00,2021-12-22 14:20:00.734000+00:00,2021-12-22 08:30:00-05:00,2021-12-22 09:20:00.734000-05:00,FALSE,70511824,84
SMPL,The Simply Good Foods Company,2021,1,2021-01-06 13:30:00+00:00,2021-01-06 14:24:18.605000+00:00,2021-01-06 08:30:00-05:00,2021-01-06 09:24:18.605000-05:00,FALSE,1954218112,62
SMPL,The Simply Good Foods Company,2021,2,2021-04-07 12:30:00+00:00,2021-04-07 13:32:47.869000+00:00,2021-04-07 08:30:00-04:00,2021-04-07 09:32:47.869000-04:00,FALSE,1954218112,62
SMPL,The Simply Good Foods Company,2021,3,2021-07-01 12:30:00+00:00,2021-07-01 13:26:30.849000+00:00,2021-07-01 08:30:00-04:00,2021-07-01 09:26:30.849000-04:00,FALSE,1954218112,62
SMPL,The Simply Good Foods Company,2021,4,2021-10-22 12:30:00+00:00,2021-10-22 13:33:36.157000+00:00,2021-10-22 08:30:00-04:00,2021-10-22 09:33:36.157000-04:00,FALSE,1954218112,62
